Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,Spread,CumPips,MaxCumPips,Drawdown,Month,Date
12_UJ_Short_Core,UJ,Short,2026-01-20 09:55:00,2026-01-20 14:56:00,5.9,TimeExit,9,55,20,50,0.005,54658.10000000004,54658.10000000004,0.0,2026-01,2026-01-20
5_GJ_Port_Log2,GJ,Short,2026-01-20 09:55:00,2026-01-20 16:09:00,-90.0,SL,9,55,90,999,0.02,54568.10000000004,54658.10000000004,90.0,2026-01,2026-01-20
4_GJ_Port_Log1,GJ,Long,2026-01-21 00:00:00,2026-01-21 08:55:00,-18.6,TimeExit,0,0,130,90,0.02,54549.50000000005,54658.10000000004,108.59999999999854,2026-01,2026-01-21
2_EJ_NightBlitz_20,EJ,Long,2026-01-21 20:56:00,2026-01-22 04:45:00,5.5,TimeExit,20,56,45,70,0.01,54555.00000000005,54658.10000000004,103.09999999999854,2026-01,2026-01-22
1_EJ_Log1,EJ,Long,2026-01-21 13:55:00,2026-01-22 04:55:00,-17.7,TimeExit,13,55,70,250,0.01,54537.30000000005,54658.10000000004,120.79999999999563,2026-01,2026-01-22
3_EJ_NightBlitz_21,EJ,Long,2026-01-21 21:56:00,2026-01-22 05:27:00,-4.2,TimeExit,21,56,75,70,0.01,54533.10000000005,54658.10000000004,124.99999999999272,2026-01,2026-01-22
5_GJ_Port_Log2,GJ,Short,2026-01-22 09:55:00,2026-01-22 16:19:00,-90.0,SL,9,55,90,999,0.02,54443.10000000005,54658.10000000004,214.99999999999272,2026-01,2026-01-22
9_AJ_Core2,AJ,Short,2026-01-22 17:14:00,2026-01-23 01:14:00,-10.0,TimeExit,17,14,30,80,0.015,54433.10000000005,54658.10000000004,224.99999999999272,2026-01,2026-01-23
12_UJ_Short_Core,UJ,Short,2026-01-26 08:04:00,2026-01-26 08:48:00,-50.0,SL,8,4,50,999,0.005,54383.10000000005,54658.10000000004,274.9999999999927,2026-01,2026-01-26
8_AJ_Core1,AJ,Long,2026-01-26 08:01:00,2026-01-26 17:34:00,-70.0,SL,8,1,70,110,0.015,54313.10000000005,54658.10000000004,344.9999999999927,2026-01,2026-01-26
1_EJ_Log1,EJ,Long,2026-01-26 13:55:00,2026-01-26 17:35:00,-70.0,SL,13,55,70,250,0.01,54243.10000000005,54658.10000000004,414.9999999999927,2026-01,2026-01-26
7_GJ_Mon_Blitz,GJ,Long,2026-01-26 18:02:00,2026-01-26 23:02:00,5.4,TimeExit,18,2,130,250,0.02,54248.50000000005,54658.10000000004,409.59999999999127,2026-01,2026-01-26
2_EJ_NightBlitz_20,EJ,Long,2026-01-26 20:56:00,2026-01-27 00:59:00,70.0,TP,20,56,45,70,0.01,54318.50000000005,54658.10000000004,339.59999999999127,2026-01,2026-01-27
3_EJ_NightBlitz_21,EJ,Long,2026-01-26 21:56:00,2026-01-27 05:27:00,44.0,TimeExit,21,56,75,70,0.01,54362.50000000005,54658.10000000004,295.59999999999127,2026-01,2026-01-27
4_GJ_Port_Log1,GJ,Long,2026-01-27 00:00:00,2026-01-27 08:55:00,60.4,TimeExit,0,0,130,90,0.02,54422.90000000005,54658.10000000004,235.1999999999898,2026-01,2026-01-27
12_UJ_Short_Core,UJ,Short,2026-01-27 08:04:00,2026-01-27 14:56:00,-25.4,TimeExit,8,4,50,999,0.005,54397.50000000005,54658.10000000004,260.59999999999127,2026-01,2026-01-27
4_GJ_Port_Log1,GJ,Long,2026-01-28 00:00:00,2026-01-28 08:55:00,-21.4,TimeExit,0,0,130,90,0.02,54376.10000000005,54658.10000000004,281.9999999999927,2026-01,2026-01-28
1_EJ_Log1,EJ,Long,2026-01-28 13:55:00,2026-01-29 04:55:00,17.4,TimeExit,13,55,70,250,0.01,54393.50000000005,54658.10000000004,264.59999999999127,2026-01,2026-01-29
12_UJ_Short_Core,UJ,Short,2026-01-29 08:04:00,2026-01-29 14:56:00,34.3,TimeExit,8,4,50,999,0.005,54427.80000000005,54658.10000000004,230.2999999999884,2026-01,2026-01-29
13_UJ_Fix_MidWeek,UJ,Long,2026-01-29 18:04:00,2026-01-29 22:03:00,-1.7,TimeExit,18,4,95,95,0.005,54426.10000000006,54658.10000000004,231.99999999998545,2026-01,2026-01-29
5_GJ_Port_Log2,GJ,Short,2026-01-29 09:55:00,2026-01-29 23:55:00,-3.4,TimeExit,9,55,90,999,0.02,54422.700000000055,54658.10000000004,235.3999999999869,2026-01,2026-01-29
12_UJ_Short_Core,UJ,Short,2026-01-30 09:55:00,2026-01-30 10:07:00,-20.0,SL,9,55,20,50,0.005,54402.700000000055,54658.10000000004,255.3999999999869,2026-01,2026-01-30
10_AJ_SatA,AJ,Short,2026-01-30 10:58:00,2026-01-30 11:20:00,25.0,TP,10,58,50,25,0.015,54427.700000000055,54658.10000000004,230.3999999999869,2026-01,2026-01-30
11_AJ_SatB,AJ,Short,2026-01-30 18:57:00,2026-01-30 20:52:00,-55.0,SL,18,57,55,95,0.015,54372.700000000055,54658.10000000004,285.3999999999869,2026-01,2026-01-30
