Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
2026-03-30,7,28.57,0.128,-290.8,333.3,-0.87,-41.54,42.5,-333.3
2026-02-02,4,0.0,0.0,-228.6,178.6,-1.28,-57.15,0.0,-228.6
2026-03-23,7,28.57,0.312,-211.1,256.9,-0.82,-30.16,95.8,-306.9
2026-02-20,7,14.29,0.12,-207.3,235.7,-0.88,-29.61,28.4,-235.7
2026-02-24,8,25.0,0.178,-206.8,161.8,-1.28,-25.85,44.7,-251.5
2026-01-22,5,20.0,0.027,-196.4,201.9,-0.97,-39.28,5.5,-201.9
2026-01-26,6,33.33,0.031,-184.5,140.0,-1.32,-30.75,5.9,-190.4
2026-02-12,5,0.0,0.0,-181.0,137.1,-1.32,-36.2,0.0,-181.0
2026-03-05,7,28.57,0.493,-107.5,192.5,-0.56,-15.36,104.7,-212.2
2026-02-28,2,0.0,0.0,-99.2,9.2,-10.78,-49.6,0.0,-99.2
2026-02-03,5,20.0,0.215,-93.2,89.1,-1.05,-18.64,25.5,-118.7
2026-03-12,6,33.33,0.54,-92.3,140.6,-0.66,-15.38,108.3,-200.6
2026-03-24,7,28.57,0.462,-78.0,118.3,-0.66,-11.14,67.1,-145.1
2026-01-09,7,14.29,0.202,-74.4,45.5,-1.64,-10.63,18.8,-93.2
2026-02-23,4,25.0,0.387,-72.2,47.8,-1.51,-18.05,45.6,-117.8
2026-02-21,2,0.0,0.0,-70.6,60.6,-1.17,-35.3,0.0,-70.6
2026-02-13,8,37.5,0.683,-67.5,212.7,-0.32,-8.44,145.2,-212.7
2026-01-30,7,42.86,0.686,-64.3,149.3,-0.43,-9.19,140.7,-205.0
2026-02-05,3,66.67,0.354,-58.1,0.0,,-19.37,31.9,-90.0
2026-02-09,6,33.33,0.554,-43.9,23.6,-1.86,-7.32,54.5,-98.4
2026-01-05,4,50.0,0.685,-29.9,94.9,-0.32,-7.48,65.0,-94.9
2026-03-25,5,40.0,0.644,-26.1,66.8,-0.39,-5.22,47.2,-73.3
2026-01-16,5,40.0,0.765,-25.7,58.4,-0.44,-5.14,83.8,-109.5
2026-03-20,4,50.0,0.527,-23.6,29.9,-0.79,-5.9,26.3,-49.9
2026-01-28,1,0.0,0.0,-21.4,0.0,,-21.4,0.0,-21.4
2026-01-13,11,45.45,0.892,-12.9,90.7,-0.14,-1.17,106.9,-119.8
2026-01-15,6,33.33,0.856,-12.2,72.4,-0.17,-2.03,72.8,-85.0
2026-03-31,1,0.0,0.0,-9.6,0.0,,-9.6,0.0,-9.6
2026-03-28,2,50.0,0.935,-0.2,3.1,-0.06,-0.1,2.9,-3.1
2026-03-19,1,100.0,,3.1,0.0,,3.1,3.1,0.0
2026-01-07,2,50.0,2.975,7.9,0.0,,3.95,11.9,-4.0
2026-03-18,1,100.0,,11.1,0.0,,11.1,11.1,0.0
2026-02-04,4,75.0,1.344,15.5,45.0,0.34,3.88,60.5,-45.0
