Strategy,Pair,Direction,EntryTime,CloseTime,Pips,ExitReason,EntryHour,EntryMinute,SL,TP,PipSize,SpreadPips,SpreadPrice,CumPips,MaxCumPips,Drawdown,Group,Month,Date
9_AJ_Core2,AJ,Short,2026-02-19 17:14:00,2026-02-20 01:14:00,28.4,TimeExit,17,14,30,80,0.01,1.5,0.015,85805.90000000004,85805.90000000004,0.0,CrossJPY_16,2026-02,2026-02-20
22_GA_C_2,GA,Long,2026-02-19 16:56:00,2026-02-20 01:15:00,-41.8,TimeExit,16,56,70,80,0.0001,2.0,0.0002,85764.10000000003,85805.90000000004,41.80000000000291,GA,2026-02,2026-02-20
19_EA_3_WedThu_Long,EA,Long,2026-02-19 20:56:00,2026-02-20 10:00:00,-42.4,TimeExit,20,56,90,999,0.0001,1.5,0.00015,85721.70000000004,85805.90000000004,84.19999999999709,EA_Rev4,2026-02,2026-02-20
12_UJ_Short_Core,UJ,Short,2026-02-20 09:55:00,2026-02-20 10:29:00,-20.0,SL,9,55,20,50,0.01,0.5,0.005,85701.70000000004,85805.90000000004,104.19999999999708,CrossJPY_16,2026-02,2026-02-20
10_AJ_SatA,AJ,Short,2026-02-20 10:58:00,2026-02-20 13:51:00,-3.4,TimeExit,10,58,50,25,0.01,1.5,0.015,85698.30000000005,85805.90000000004,107.59999999999128,CrossJPY_16,2026-02,2026-02-20
23_GA_F_2,GA,Short,2026-02-20 19:42:00,2026-02-20 22:45:00,-38.1,TimeExit,19,42,90,200,0.0001,2.0,0.0002,85660.20000000004,85805.90000000004,145.6999999999971,GA,2026-02,2026-02-20
5_GJ_Port_Log2,GJ,Short,2026-02-20 09:55:00,2026-02-20 22:56:00,-90.0,SL,9,55,90,999,0.01,2.0,0.02,85570.20000000004,85805.90000000004,235.6999999999971,CrossJPY_16,2026-02,2026-02-20
11_AJ_SatB,AJ,Short,2026-02-20 18:57:00,2026-02-21 01:43:00,-10.0,TimeExit,18,57,55,95,0.01,1.5,0.015,85560.20000000004,85805.90000000004,245.6999999999971,CrossJPY_16,2026-02,2026-02-21
24_GA_D_1,GA,Long,2026-02-20 22:44:00,2026-02-21 03:08:00,-60.6,TimeExit,22,44,90,200,0.0001,2.0,0.0002,85499.60000000003,85805.90000000004,306.3000000000029,GA,2026-02,2026-02-21
8_AJ_Core1,AJ,Long,2026-02-23 08:01:00,2026-02-23 11:04:00,-70.0,SL,8,1,70,110,0.01,1.5,0.015,85429.60000000003,85805.90000000004,376.3000000000029,CrossJPY_16,2026-02,2026-02-23
12_UJ_Short_Core,UJ,Short,2026-02-23 08:04:00,2026-02-23 14:56:00,45.6,TimeExit,8,4,50,999,0.01,0.5,0.005,85475.20000000004,85805.90000000004,330.6999999999971,CrossJPY_16,2026-02,2026-02-23
20_EA_1A_MonTue_Short,EA,Short,2026-02-23 10:01:00,2026-02-23 16:00:00,-14.6,TimeExit,10,1,50,125,0.0001,1.5,0.00015,85460.60000000003,85805.90000000004,345.3000000000029,EA_Rev4,2026-02,2026-02-23
7_GJ_Mon_Blitz,GJ,Long,2026-02-23 18:02:00,2026-02-23 23:02:00,-33.2,TimeExit,18,2,130,250,0.01,2.0,0.02,85427.40000000004,85805.90000000004,378.5,CrossJPY_16,2026-02,2026-02-23
2_EJ_NightBlitz_20,EJ,Long,2026-02-23 20:56:00,2026-02-24 00:52:00,-45.0,SL,20,56,45,70,0.01,1.0,0.01,85382.40000000004,85805.90000000004,423.5,CrossJPY_16,2026-02,2026-02-24
18_EA_2_MonWed_Short,EA,Short,2026-02-23 09:59:00,2026-02-24 05:26:00,-30.9,TimeExit,9,59,90,180,0.0001,1.5,0.00015,85351.50000000004,85805.90000000004,454.3999999999942,EA_Rev4,2026-02,2026-02-24
3_EJ_NightBlitz_21,EJ,Long,2026-02-23 21:56:00,2026-02-24 05:27:00,-9.3,TimeExit,21,56,75,70,0.01,1.0,0.01,85342.20000000004,85805.90000000004,463.6999999999971,CrossJPY_16,2026-02,2026-02-24
4_GJ_Port_Log1,GJ,Long,2026-02-24 00:00:00,2026-02-24 08:55:00,-26.3,TimeExit,0,0,130,90,0.01,2.0,0.02,85315.90000000004,85805.90000000004,490.0,CrossJPY_16,2026-02,2026-02-24
21_GA_B_3,GA,Long,2026-02-23 21:02:00,2026-02-24 10:00:00,26.9,TimeExit,21,2,220,100,0.0001,2.0,0.0002,85342.80000000003,85805.90000000004,463.1000000000058,GA,2026-02,2026-02-24
12_UJ_Short_Core,UJ,Short,2026-02-24 08:04:00,2026-02-24 10:22:00,-50.0,SL,8,4,50,999,0.01,0.5,0.005,85292.80000000003,85805.90000000004,513.1000000000058,CrossJPY_16,2026-02,2026-02-24
20_EA_1A_MonTue_Short,EA,Short,2026-02-24 10:01:00,2026-02-24 16:00:00,17.8,TimeExit,10,1,50,125,0.0001,1.5,0.00015,85310.60000000003,85805.90000000004,495.3000000000029,EA_Rev4,2026-02,2026-02-24
5_GJ_Port_Log2,GJ,Short,2026-02-24 09:55:00,2026-02-24 16:12:00,-90.0,SL,9,55,90,999,0.01,2.0,0.02,85220.60000000003,85805.90000000004,585.3000000000029,CrossJPY_16,2026-02,2026-02-24
18_EA_2_MonWed_Short,EA,Short,2026-02-24 09:59:00,2026-02-25 05:26:00,6.0,TimeExit,9,59,90,180,0.0001,1.5,0.00015,85226.60000000003,85805.90000000004,579.3000000000029,EA_Rev4,2026-02,2026-02-25
4_GJ_Port_Log1,GJ,Long,2026-02-25 00:00:00,2026-02-25 08:55:00,-20.7,TimeExit,0,0,130,90,0.01,2.0,0.02,85205.90000000004,85805.90000000004,600.0,CrossJPY_16,2026-02,2026-02-25
