Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
UJ_Short,17,47.06,0.733,-66.7,100.9,-0.66,-3.92,182.8,-249.5
GJ_Short,26,42.31,0.953,-43.6,311.6,-0.14,-1.68,878.9,-922.5
EJ_Long,55,56.36,0.977,-16.9,245.1,-0.07,-0.31,718.1,-735.0
EA_Long,14,42.86,1.181,59.1,213.0,0.28,4.22,386.1,-327.0
GA_Short,24,37.5,1.194,69.3,141.4,0.49,2.89,426.0,-356.7
UJ_Long,7,71.43,2.593,74.4,45.0,1.65,10.63,121.1,-46.7
AU_Long,24,50.0,1.366,78.9,83.0,0.95,3.29,294.6,-215.7
AJ_Long,23,60.87,1.207,110.9,210.6,0.53,4.82,645.8,-534.9
AJ_Short,24,50.0,1.402,114.5,62.6,1.83,4.77,399.6,-285.1
EA_Short,61,50.82,1.217,217.9,309.9,0.7,3.57,1222.7,-1004.8
GA_Long,31,61.29,1.789,370.3,175.8,2.11,11.95,839.9,-469.6
GJ_Long,42,54.76,1.68,390.7,165.7,2.36,9.3,965.4,-574.7
