Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips,WinsPips,LossPips
1_EJ_Log1,15,53.33,0.344,-287.1,291.7,-0.98,-19.14,150.6,-437.7
12_UJ_Short_Core,15,40.0,0.621,-94.6,128.8,-0.73,-6.31,154.9,-249.5
8_AJ_Core1,13,46.15,0.831,-75.2,210.6,-0.36,-5.78,369.7,-444.9
5_GJ_Port_Log2,26,42.31,0.953,-43.6,311.6,-0.14,-1.68,878.9,-922.5
21_GA_B_3,12,58.33,0.877,-23.4,148.3,-0.16,-1.95,167.6,-191.0
27_EA_China_Demand,15,33.33,0.925,-20.8,120.0,-0.17,-1.39,257.8,-278.6
16_UJ_T10A,2,50.0,0.676,-14.6,45.0,-0.32,-7.3,30.4,-45.0
10_AJ_SatA,8,50.0,0.998,-0.2,75.5,-0.0,-0.03,84.6,-84.8
23_GA_F_2,9,33.33,0.999,-0.1,62.2,-0.0,-0.01,103.0,-103.1
14_UJ_Sat_3rd,2,100.0,,27.9,0.0,,13.95,27.9,0.0
9_AJ_Core2,8,37.5,1.285,36.0,36.1,1.0,4.5,162.1,-126.1
20_EA_1A_MonTue_Short,22,59.09,1.152,37.0,100.2,0.37,1.68,280.9,-243.9
6_GJ_Old_Mon,5,60.0,1.464,46.4,50.0,0.93,9.28,146.4,-100.0
17_EA_1B_Wed_Short,6,66.67,2.115,52.3,44.4,1.18,8.72,99.2,-46.9
19_EA_3_WedThu_Long,14,42.86,1.181,59.1,213.0,0.28,4.22,386.1,-327.0
28_GA_China_Demand,15,40.0,1.274,69.4,117.6,0.59,4.63,323.0,-253.6
11_AJ_SatB,8,62.5,2.061,78.7,55.0,1.43,9.84,152.9,-74.2
25_AU_China_Demand,24,50.0,1.366,78.9,83.0,0.95,3.29,294.6,-215.7
7_GJ_Mon_Blitz,13,53.85,1.376,81.8,114.1,0.72,6.29,299.6,-217.8
2_EJ_NightBlitz_20,20,60.0,1.408,83.8,104.4,0.8,4.19,289.4,-205.6
24_GA_D_1,9,55.56,1.524,84.9,150.6,0.56,9.43,246.9,-162.0
13_UJ_Fix_MidWeek,5,80.0,53.353,89.0,0.0,,17.8,90.7,-1.7
18_EA_2_MonWed_Short,18,50.0,1.343,149.4,119.7,1.25,8.3,584.8,-435.4
26_AJ_China_Demand,10,80.0,3.068,186.1,90.0,2.07,18.61,276.1,-90.0
3_EJ_NightBlitz_21,20,55.0,3.033,186.4,40.8,4.57,9.32,278.1,-91.7
4_GJ_Port_Log1,24,54.17,2.022,262.5,82.5,3.18,10.94,519.4,-256.9
22_GA_C_2,10,70.0,3.648,308.8,70.0,4.41,30.88,425.4,-116.6
