StrategyNo,Strategy,Pair,Direction,SL,TP,TP_LT_SL,TP_NONE,JPY_RELATED,AUD_RELATED,LONG,SHORT,OVERNIGHT,CHINA_DEMAND,MembershipBasis,BaselineSHA256,PlanBranch,MembershipFrozenDateJST
1,1_EJ_Log1,EJ,Long,70,250,False,False,True,False,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
2,2_EJ_NightBlitz_20,EJ,Long,45,70,False,False,True,False,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
3,3_EJ_NightBlitz_21,EJ,Long,75,70,True,False,True,False,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
4,4_GJ_Port_Log1,GJ,Long,130,90,True,False,True,False,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
5,5_GJ_Port_Log2,GJ,Short,90,,False,True,True,False,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
6,6_GJ_Old_Mon,GJ,Long,50,210,False,False,True,False,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
7,7_GJ_Mon_Blitz,GJ,Long,130,250,False,False,True,False,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
8,8_AJ_Core1,AJ,Long,70,110,False,False,True,True,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
9,9_AJ_Core2,AJ,Short,30,80,False,False,True,True,False,True,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
10,10_AJ_SatA,AJ,Short,50,25,True,False,True,True,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
11,11_AJ_SatB,AJ,Short,55,95,False,False,True,True,False,True,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
12,12_UJ_Short_Core,UJ,Short,20,50,False,True,True,False,False,True,False,False,mode_dependent_goto_tp_normal_no_tp,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
13,13_UJ_Fix_MidWeek,UJ,Long,95,95,False,False,True,False,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
14,14_UJ_Sat_3rd,UJ,Short,45,70,False,False,True,False,False,True,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
15,15_UJ_Sat_Aug,UJ,Short,20,35,False,False,True,False,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
16,16_UJ_T10A,UJ,Long,45,110,False,False,True,False,True,False,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
17,17_EA_1B_Wed_Short,EA,Short,70,175,False,False,False,True,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
18,18_EA_2_MonWed_Short,EA,Short,90,180,False,False,False,True,False,True,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
19,19_EA_3_WedThu_Long,EA,Long,90,,False,True,False,True,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
20,20_EA_1A_MonTue_Short,EA,Short,50,125,False,False,False,True,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
21,21_GA_B_3,GA,Long,220,100,True,False,False,True,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
22,22_GA_C_2,GA,Long,70,80,False,False,False,True,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
23,23_GA_F_2,GA,Short,90,200,False,False,False,True,False,True,False,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
24,24_GA_D_1,GA,Long,90,200,False,False,False,True,True,False,True,False,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
25,25_AU_China_Demand,AU,Long,40,40,False,False,False,True,True,False,False,True,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
26,26_AJ_China_Demand,AJ,Long,45,80,False,False,True,True,True,False,False,True,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
27,27_EA_China_Demand,EA,Short,60,60,False,False,False,True,False,True,False,True,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
28,28_GA_China_Demand,GA,Short,75,70,True,False,False,True,False,True,False,True,frozen_strategy_definition,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,research/strategy-selection-validation,2026-09-11
