AnalysisVersion,BaselineSHA256,MembershipSHA256,PlanBranch,ValidationRunJST,Segment,StrategyNo,Strategy,Pair,Direction,SL,TP,TP_LT_SL,TP_NONE,JPY_RELATED,AUD_RELATED,LONG,SHORT,OVERNIGHT,CHINA_DEMAND,MembershipBasis,Trades,TotalR,PF,WinRatePct,AvgR,AvgWinR,AvgLossR,MaxDDR,WorstDayR,WorstWeekR,PositiveYears,NegativeYears,NeutralYears,MaxLosingStreak,TPExitRatePct,SLExitRatePct,TimeExitRatePct,OtherExitRatePct,TotalR_2015,TotalR_2016,TotalR_2017,TotalR_2018,TotalR_2019,TotalR_2020,TotalR_2021
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,1,1_EJ_Log1,EJ,Long,70,250.0,False,False,True,False,True,False,True,False,frozen_strategy_definition,510,57.107143,1.470593,56.862745,0.11197479,0.615374384,-0.551597403,9.908571,-1.0,-2.0,6,1,0,6,0.392157,14.313725,85.294118,0.0,9.355714,19.87,-5.08,12.797143,8.442857,11.17,0.551429
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,2,2_EJ_NightBlitz_20,EJ,Long,45,70.0,False,False,True,False,True,False,True,False,frozen_strategy_definition,622,58.262222,1.345142,55.466238,0.093669168,0.658170693,-0.613842424,7.624444,-1.0,-2.0,7,0,0,9,9.807074,18.488746,71.70418,0.0,10.904444,14.811111,5.153333,8.602222,12.833333,2.331111,3.626667
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,3,3_EJ_NightBlitz_21,EJ,Long,75,70.0,True,False,True,False,True,False,True,False,frozen_strategy_definition,621,28.336,1.289131,54.589372,0.04562963,0.372684366,-0.351268817,5.096,-1.0,-2.0,7,0,0,11,8.373591,4.669887,86.956522,0.0,5.728,8.422667,2.204,4.690667,5.721333,0.821333,0.748
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,4,4_GJ_Port_Log1,GJ,Long,130,90.0,True,False,True,False,True,False,False,False,frozen_strategy_definition,572,17.488462,1.291176,56.293706,0.030574233,0.240838509,-0.241210998,2.578462,-1.0,-2.0,7,0,0,6,6.468531,2.272727,91.258741,0.0,3.309231,2.366923,3.693846,3.205385,1.374615,0.580769,2.957692
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,5,5_GJ_Port_Log2,GJ,Short,90,,False,True,True,False,False,True,False,False,frozen_strategy_definition,743,71.441111,1.326174,52.893674,0.096152236,0.739106588,-0.627586756,9.45,-1.0,-3.0,7,0,0,7,0.0,19.919246,80.080754,0.0,11.527778,31.944444,8.25,12.267778,4.778889,1.374444,1.297778
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,6,6_GJ_Old_Mon,GJ,Long,50,210.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,295,21.578,1.188933,48.813559,0.073145763,0.942972222,-0.756357616,13.148,-1.0,-1.0,5,2,0,8,1.016949,32.542373,66.440678,0.0,-0.678,0.112,0.874,8.866,-3.01,4.778,10.636
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,7,7_GJ_Mon_Blitz,GJ,Long,130,250.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,352,5.915385,1.137086,52.840909,0.01680507,0.263796526,-0.259944393,5.838462,-1.0,-1.0,5,2,0,5,0.0,1.988636,98.011364,0.0,-4.808462,4.543846,-0.950769,0.963846,0.233846,3.100769,2.832308
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,8,8_AJ_Core1,AJ,Long,70,110.0,False,False,True,True,True,False,False,False,frozen_strategy_definition,354,20.651429,1.305288,53.954802,0.058337369,0.462288706,-0.415004382,4.82,-1.0,-1.0,5,2,0,6,2.824859,7.909605,89.265537,0.0,1.961429,7.871429,-1.95,2.24,-1.444286,9.377143,2.595714
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,9,9_AJ_Core2,AJ,Short,30,80.0,False,False,True,True,False,True,True,False,frozen_strategy_definition,206,40.953333,1.558988,53.398058,0.198802589,1.038333333,-0.763159722,7.92,-1.0,-1.0,7,0,0,6,7.281553,29.61165,63.106796,0.0,2.82,5.953333,4.22,18.98,0.986667,4.566667,3.426667
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,10,10_AJ_SatA,AJ,Short,50,25.0,True,False,True,True,False,True,False,False,frozen_strategy_definition,239,-0.444,0.983335,45.606695,-0.001857741,0.240348624,-0.206527132,7.084,-1.0,-1.0,2,5,0,10,12.552301,1.67364,85.774059,0.0,2.172,2.342,-0.268,-2.35,-1.536,-0.762,-0.042
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,11,11_AJ_SatB,AJ,Short,55,95.0,False,False,True,True,False,True,True,False,frozen_strategy_definition,238,17.292727,1.372966,50.840336,0.072658518,0.526100676,-0.396285936,5.985455,-1.0,-1.0,6,1,0,8,2.941176,5.882353,91.176471,0.0,4.509091,7.250909,-0.972727,1.681818,1.285455,3.123636,0.414545
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,12,12_UJ_Short_Core,UJ,Short,20,50.0,False,True,True,False,False,True,False,False,mode_dependent_goto_tp_normal_no_tp,327,60.354,2.084977,60.244648,0.184568807,0.588736041,-0.431217054,4.09,-1.0,-2.444,7,0,0,4,2.140673,8.256881,89.602446,0.0,7.776,10.061,8.662,6.034,3.746,18.594,5.481
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,13,13_UJ_Fix_MidWeek,UJ,Long,95,95.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,132,9.896842,2.737893,61.363636,0.074976077,0.192488629,-0.111661507,0.551579,-0.394737,-0.334737,7,0,0,2,0.0,0.0,100.0,0.0,2.695789,2.466316,1.675789,0.430526,0.890526,0.276842,1.461053
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,14,14_UJ_Sat_3rd,UJ,Short,45,70.0,False,False,True,False,False,True,True,False,frozen_strategy_definition,43,8.462222,2.152891,65.116279,0.196795866,0.564365079,-0.489333333,1.502222,-1.0,-1.0,5,2,0,4,4.651163,9.302326,86.046512,0.0,3.793333,1.202222,1.493333,-0.848889,1.675556,1.271111,-0.124444
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,15,15_UJ_Sat_Aug,UJ,Short,20,35.0,False,False,True,False,False,True,False,False,frozen_strategy_definition,42,13.575,1.964134,57.142857,0.323214286,1.152291667,-0.782222222,2.325,-1.0,-1.0,5,2,0,3,26.190476,28.571429,45.238095,0.0,2.5,4.0,0.545,-0.125,3.93,-0.945,3.67
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,16,16_UJ_T10A,UJ,Long,45,110.0,False,False,True,False,True,False,False,False,frozen_strategy_definition,37,5.642222,1.919261,62.162162,0.152492492,0.512173913,-0.438412698,1.104444,-1.0,-1.0,5,2,0,3,2.702703,8.108108,89.189189,0.0,-0.331111,2.064444,2.035556,0.337778,-0.495556,1.873333,0.157778
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,17,17_EA_1B_Wed_Short,EA,Short,70,175.0,False,False,False,True,False,True,False,False,frozen_strategy_definition,215,35.625714,1.652349,58.604651,0.165700997,0.7161678,-0.613611557,3.977143,-1.0,-1.0,7,0,0,4,1.860465,18.604651,79.534884,0.0,2.142857,5.291429,7.12,2.301429,0.52,10.787143,7.462857
