AnalysisVersion,BaselineSHA256,MembershipSHA256,PlanBranch,ValidationRunJST,Segment,RemovedStrategyNo,RemovedStrategy,RemovedStrategyTotalR,RemovedStrategyPositiveYears,RemovedStrategyNegativeYears,Trades,TotalR,PF,WinRatePct,AvgR,AvgWinR,AvgLossR,MaxDDR,WorstDayR,WorstWeekR,PositiveYears,NegativeYears,NeutralYears,MaxLosingStreak,TPExitRatePct,SLExitRatePct,TimeExitRatePct,OtherExitRatePct,TotalR_2015,TotalR_2016,TotalR_2017,TotalR_2018,TotalR_2019,TotalR_2020,TotalR_2021,DeltaTotalR,DeltaMaxDDR,DeltaPF,DeltaWorstDayR,DeltaWorstWeekR,ClearNegativeMarginalCandidate,StableNegativeMarginalCandidate,TieBreakRule,OverallLOORank,CandidateRank
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,10,10_AJ_SatA,-0.444,2,5,9517,768.932273,1.377253,54.765157,0.080795658,0.53859766,-0.475335525,27.854956,-12.0,-14.563836,7,0,0,15,5.716087,11.894505,82.389408,0.0,89.999476,208.45998,102.32257,118.906513,56.337888,132.049851,60.855996,0.444,0.314,0.005082,0.0,-0.108,True,True,DeltaTotalR_desc_then_StrategyNo_asc,1,1
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,21,21_GA_B_3,5.376818,4,3,9405,763.111455,1.375741,54.641148,0.081138911,0.54369782,-0.478095961,27.604592,-12.0,-14.155836,7,0,0,14,5.603402,12.046784,82.349814,0.0,87.214658,206.961526,103.014115,115.417877,54.710069,132.471033,63.322177,-5.376818,0.063636,0.00357,0.0,0.3,False,False,DeltaTotalR_desc_then_StrategyNo_asc,2,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,16,16_UJ_T10A,5.642222,5,2,9719,762.846051,1.37054,54.511781,0.078490179,0.532576256,-0.467577323,27.8454,-12.0,-14.455836,7,0,0,15,5.895668,11.657578,82.446754,0.0,92.502587,208.737536,100.019014,116.218735,55.297443,129.414518,60.656218,-5.642222,0.304444,-0.001631,0.0,0.0,False,False,DeltaTotalR_desc_then_StrategyNo_asc,3,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,7,7_GJ_Mon_Blitz,5.915385,5,2,9404,762.572889,1.377188,54.604424,0.081090269,0.542220614,-0.475589265,25.578648,-11.0,-13.748143,7,0,0,14,6.103786,12.00553,81.890685,0.0,96.979937,206.258134,103.005339,115.592667,54.568041,128.187082,57.981688,-5.915384,-1.962308,0.005017,1.0,0.707693,False,False,DeltaTotalR_desc_then_StrategyNo_asc,4,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,14,14_UJ_Sat_3rd,8.462222,5,2,9713,760.026051,1.369386,54.493977,0.078248332,0.532319438,-0.467410435,27.376511,-12.0,-14.455836,7,0,0,15,5.889015,11.654484,82.456502,0.0,88.378142,209.599758,100.561237,117.405402,53.126332,130.01674,60.93844,-8.462222,-0.164445,-0.002785,0.0,0.0,False,False,DeltaTotalR_desc_then_StrategyNo_asc,5,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,13,13_UJ_Fix_MidWeek,9.896842,7,0,9624,758.591431,1.368394,54.447215,0.078822884,0.537743784,-0.471641318,27.765166,-12.0,-14.455836,7,0,0,15,5.964256,11.803824,82.23192,0.0,89.475686,208.335665,100.37878,116.125987,53.911361,131.011009,59.352943,-9.896842,0.22421,-0.003777,0.0,0.0,False,False,DeltaTotalR_desc_then_StrategyNo_asc,6,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,15,15_UJ_Sat_Aug,13.575,5,2,9714,754.913273,1.368107,54.529545,0.077713946,0.52967982,-0.46619703,27.67633,-12.0,-14.455836,7,0,0,15,5.795759,11.570929,82.633313,0.0,89.671476,206.80198,101.50957,116.681513,50.871888,132.232851,57.143996,-13.575,0.135374,-0.004064,0.0,0.0,False,False,DeltaTotalR_desc_then_StrategyNo_asc,7,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,24,24_GA_D_1,15.833333,5,2,9504,752.65494,1.373001,54.503367,0.079193491,0.534844296,-0.468610894,26.409844,-12.0,-14.949169,7,0,0,15,6.018519,11.752946,82.228535,0.0,93.952587,201.350869,98.845681,118.434291,52.152999,129.17674,58.741773,-15.833333,-1.131112,0.00083,0.0,-0.493333,False,False,DeltaTotalR_desc_then_StrategyNo_asc,8,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,11,11_AJ_SatB,17.292727,6,1,9518,751.195546,1.372153,54.633326,0.078923676,0.532636697,-0.469422158,26.777319,-12.0,-14.246745,7,0,0,15,5.957134,11.788191,82.254675,0.0,87.662385,203.551071,103.027297,114.874695,53.516433,128.164215,60.39945,-17.292727,-0.763637,-1.8e-05,0.0,0.209091,False,False,DeltaTotalR_desc_then_StrategyNo_asc,9,
strategy-selection-is-v1.0.0,cc32f32e3df57cb03416d111e3cf848fb6b2edc7f193b6da90201a2462420359,aad041b8cbc03611cbe535060c4887f30f9341c5d0f0010158f1d923e830756d,research/strategy-selection-validation,2026-09-11T15:28:55+09:00,IS_2015_2021,4,4_GJ_Port_Log1,17.488462,7,0,9184,750.999812,1.374597,54.43162,0.081772628,0.551274056,-0.481002686,25.682494,-12.0,-15.35199,7,0,0,14,5.847125,12.227787,81.925087,0.0,88.862245,208.435057,98.360724,113.351129,53.427272,130.707082,57.856303,-17.488461,-1.858462,0.002426,0.0,-0.896154,False,False,DeltaTotalR_desc_then_StrategyNo_asc,10,
