Pair,Method,Period,CandidateDays,ValidDays,ExcludedDays,ObservedWeeks,Tokyo09Missing,Tokyo15Missing,London08Missing,London11Missing
USDJPY,Primary,Historical,1827,1800,27,365,27,14,13,13
USDJPY,Robustness,Historical,1827,1800,27,365,27,0,13,13
EURJPY,Primary,Historical,1827,1800,27,365,27,14,13,13
EURJPY,Robustness,Historical,1827,1800,27,365,27,0,13,13
GBPJPY,Primary,Historical,1827,1800,27,365,27,15,14,14
GBPJPY,Robustness,Historical,1827,1800,27,365,27,0,14,14
AUDJPY,Primary,Historical,1827,1799,28,365,26,16,15,13
AUDJPY,Robustness,Historical,1827,1799,28,365,26,0,15,13
EURAUD,Primary,Historical,1827,1800,27,365,27,14,13,13
EURAUD,Robustness,Historical,1827,1800,27,365,27,0,13,13
GBPAUD,Primary,Historical,1827,1794,33,363,31,24,23,22
GBPAUD,Robustness,Historical,1827,1794,33,363,31,0,23,22
USDJPY,Primary,RecentA,520,517,3,104,2,2,1,1
USDJPY,Robustness,RecentA,520,517,3,104,2,0,1,1
EURJPY,Primary,RecentA,520,517,3,104,2,3,1,1
EURJPY,Robustness,RecentA,520,517,3,104,2,0,1,1
GBPJPY,Primary,RecentA,520,517,3,104,3,2,1,1
GBPJPY,Robustness,RecentA,520,517,3,104,3,0,1,1
AUDJPY,Primary,RecentA,520,517,3,104,2,3,2,2
AUDJPY,Robustness,RecentA,520,517,3,104,2,0,2,2
EURAUD,Primary,RecentA,520,517,3,104,2,3,1,2
EURAUD,Robustness,RecentA,520,517,3,104,2,0,1,2
GBPAUD,Primary,RecentA,520,517,3,104,2,2,2,1
GBPAUD,Robustness,RecentA,520,517,3,104,2,0,2,1
USDJPY,Primary,RecentB,523,514,9,105,6,8,8,7
USDJPY,Robustness,RecentB,523,514,9,105,6,0,8,7
EURJPY,Primary,RecentB,523,514,9,105,6,8,8,7
EURJPY,Robustness,RecentB,523,514,9,105,6,0,8,7
GBPJPY,Primary,RecentB,523,514,9,105,6,8,8,7
GBPJPY,Robustness,RecentB,523,514,9,105,6,0,8,7
AUDJPY,Primary,RecentB,523,514,9,105,6,8,8,7
AUDJPY,Robustness,RecentB,523,514,9,105,6,0,8,7
EURAUD,Primary,RecentB,523,514,9,105,6,8,8,7
EURAUD,Robustness,RecentB,523,514,9,105,6,0,8,7
GBPAUD,Primary,RecentB,523,514,9,105,6,8,8,7
GBPAUD,Robustness,RecentB,523,514,9,105,6,0,8,7
USDJPY,Primary,Monitor2026,180,176,4,37,4,3,3,3
USDJPY,Robustness,Monitor2026,180,176,4,37,4,0,3,3
EURJPY,Primary,Monitor2026,180,176,4,37,4,3,3,3
EURJPY,Robustness,Monitor2026,180,176,4,37,4,0,3,3
GBPJPY,Primary,Monitor2026,180,176,4,37,4,3,3,3
GBPJPY,Robustness,Monitor2026,180,176,4,37,4,0,3,3
AUDJPY,Primary,Monitor2026,180,176,4,37,4,3,3,3
AUDJPY,Robustness,Monitor2026,180,176,4,37,4,0,3,3
EURAUD,Primary,Monitor2026,180,176,4,37,4,3,3,3
EURAUD,Robustness,Monitor2026,180,176,4,37,4,0,3,3
GBPAUD,Primary,Monitor2026,180,176,4,37,4,3,3,3
GBPAUD,Robustness,Monitor2026,180,176,4,37,4,0,3,3
USDJPY,Primary,RecentCombined,1223,1207,16,245,12,13,12,11
USDJPY,Robustness,RecentCombined,1223,1207,16,245,12,0,12,11
EURJPY,Primary,RecentCombined,1223,1207,16,245,12,14,12,11
EURJPY,Robustness,RecentCombined,1223,1207,16,245,12,0,12,11
GBPJPY,Primary,RecentCombined,1223,1207,16,245,13,13,12,11
GBPJPY,Robustness,RecentCombined,1223,1207,16,245,13,0,12,11
AUDJPY,Primary,RecentCombined,1223,1207,16,245,12,14,13,12
AUDJPY,Robustness,RecentCombined,1223,1207,16,245,12,0,13,12
EURAUD,Primary,RecentCombined,1223,1207,16,245,12,14,12,12
EURAUD,Robustness,RecentCombined,1223,1207,16,245,12,0,12,12
GBPAUD,Primary,RecentCombined,1223,1207,16,245,12,13,13,11
GBPAUD,Robustness,RecentCombined,1223,1207,16,245,12,0,13,11
USDJPY,Primary,ALL,3050,3007,43,610,39,27,25,24
USDJPY,Robustness,ALL,3050,3007,43,610,39,0,25,24
EURJPY,Primary,ALL,3050,3007,43,610,39,28,25,24
EURJPY,Robustness,ALL,3050,3007,43,610,39,0,25,24
GBPJPY,Primary,ALL,3050,3007,43,610,40,28,26,25
GBPJPY,Robustness,ALL,3050,3007,43,610,40,0,26,25
AUDJPY,Primary,ALL,3050,3006,44,610,38,30,28,25
AUDJPY,Robustness,ALL,3050,3006,44,610,38,0,28,25
EURAUD,Primary,ALL,3050,3007,43,610,39,28,25,25
EURAUD,Robustness,ALL,3050,3007,43,610,39,0,25,25
GBPAUD,Primary,ALL,3050,3001,49,608,43,37,36,33
GBPAUD,Robustness,ALL,3050,3001,49,608,43,0,36,33
