Family,Method,Period,Members,PairCount,MeanStandardizedBeta,Status
JPY,Primary,Historical,USDJPY|EURJPY|GBPJPY|AUDJPY,4,-0.04685717072561659,DESCRIPTIVE_ONLY
AUD-cross,Primary,Historical,EURAUD|GBPAUD,2,-0.0757269034455331,DESCRIPTIVE_ONLY
All-6,Primary,Historical,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,-0.056480414965588754,DESCRIPTIVE_ONLY
JPY,Robustness,Historical,USDJPY|EURJPY|GBPJPY|AUDJPY,4,-0.05695148219432382,DESCRIPTIVE_ONLY
AUD-cross,Robustness,Historical,EURAUD|GBPAUD,2,-0.09225567456195845,DESCRIPTIVE_ONLY
All-6,Robustness,Historical,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,-0.0687195463168687,DESCRIPTIVE_ONLY
JPY,Primary,RecentA,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.012762541646748882,DESCRIPTIVE_ONLY
AUD-cross,Primary,RecentA,EURAUD|GBPAUD,2,0.028089361360249317,DESCRIPTIVE_ONLY
All-6,Primary,RecentA,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.017871481551249027,DESCRIPTIVE_ONLY
JPY,Robustness,RecentA,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.004709755186529112,DESCRIPTIVE_ONLY
AUD-cross,Robustness,RecentA,EURAUD|GBPAUD,2,0.02122255546239122,DESCRIPTIVE_ONLY
All-6,Robustness,RecentA,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.010214021945149815,DESCRIPTIVE_ONLY
JPY,Primary,RecentB,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.03402365643572513,DESCRIPTIVE_ONLY
AUD-cross,Primary,RecentB,EURAUD|GBPAUD,2,-0.012483306459805093,DESCRIPTIVE_ONLY
All-6,Primary,RecentB,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.01852133547054839,DESCRIPTIVE_ONLY
JPY,Robustness,RecentB,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.04826174364412912,DESCRIPTIVE_ONLY
AUD-cross,Robustness,RecentB,EURAUD|GBPAUD,2,-0.04255428608760714,DESCRIPTIVE_ONLY
All-6,Robustness,RecentB,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.01798973373355037,DESCRIPTIVE_ONLY
JPY,Primary,Monitor2026,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.08701130925022048,DESCRIPTIVE_ONLY
AUD-cross,Primary,Monitor2026,EURAUD|GBPAUD,2,-0.0859010028640837,DESCRIPTIVE_ONLY
All-6,Primary,Monitor2026,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.029373871878785752,DESCRIPTIVE_ONLY
JPY,Robustness,Monitor2026,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.023363131837062453,DESCRIPTIVE_ONLY
AUD-cross,Robustness,Monitor2026,EURAUD|GBPAUD,2,-0.11169898337013548,DESCRIPTIVE_ONLY
All-6,Robustness,Monitor2026,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,-0.021657573232003527,DESCRIPTIVE_ONLY
JPY,Primary,RecentCombined,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.028057834197775692,DESCRIPTIVE_ONLY
AUD-cross,Primary,RecentCombined,EURAUD|GBPAUD,2,0.003110776909469588,DESCRIPTIVE_ONLY
All-6,Primary,RecentCombined,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.01974214843500699,DESCRIPTIVE_ONLY
JPY,Robustness,RecentCombined,USDJPY|EURJPY|GBPJPY|AUDJPY,4,0.023889696703829413,DESCRIPTIVE_ONLY
AUD-cross,Robustness,RecentCombined,EURAUD|GBPAUD,2,-0.01397203797440598,DESCRIPTIVE_ONLY
All-6,Robustness,RecentCombined,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,0.01126911847775095,DESCRIPTIVE_ONLY
JPY,Primary,ALL,USDJPY|EURJPY|GBPJPY|AUDJPY,4,-0.01048837394011553,DESCRIPTIVE_ONLY
AUD-cross,Primary,ALL,EURAUD|GBPAUD,2,-0.05198712653567804,DESCRIPTIVE_ONLY
All-6,Primary,ALL,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,-0.024321291471969698,DESCRIPTIVE_ONLY
JPY,Robustness,ALL,USDJPY|EURJPY|GBPJPY|AUDJPY,4,-0.0163142626496504,DESCRIPTIVE_ONLY
AUD-cross,Robustness,ALL,EURAUD|GBPAUD,2,-0.06955044200485068,DESCRIPTIVE_ONLY
All-6,Robustness,ALL,USDJPY|EURJPY|GBPJPY|AUDJPY|EURAUD|GBPAUD,6,-0.03405965576805049,DESCRIPTIVE_ONLY
