Pair,Method,Period,ObservedWeeks,Status,N,Alpha,Beta,PearsonR,R2,XMean,XMedian,XStd,YMean,YMedian,YStd,CILow,CIHigh,PUnadjusted,ValidBootstraps
USDJPY,Primary,Historical,365,OK,1800,-0.11483532139867487,0.014568267205242723,0.021442708773495325,0.00045978975954493335,-1.9142222222222127,-0.6000000000000227,28.005953824943454,-0.14272222222222158,0.30000000000001137,19.027363705269355,-0.04185249216993043,0.06813086815125734,0.6234753049390122,5000
USDJPY,Robustness,Historical,365,OK,1800,-0.14280809320389148,-0.00015082725117663667,-0.0002438765530316065,5.947577311857798e-08,-0.5693333333333398,0.6999999999990791,30.76584528007747,-0.14272222222222158,0.30000000000001137,19.027363705269355,-0.04837725031429331,0.04565814063219277,0.997000599880024,5000
EURJPY,Primary,Historical,365,OK,1800,-0.6568475266549466,-0.03972783089871939,-0.04249951978548666,0.0018062091819969722,-0.7806666666666758,0.6000000000000227,31.781241099514304,-0.625833333333346,-0.19999999999882334,29.70856561499562,-0.12610204286499876,0.06520210072964648,0.4877024595080984,5000
EURJPY,Robustness,Historical,365,OK,1800,-0.6404982987226697,-0.04536335745107867,-0.055731881478268734,0.0031060426131077935,-0.32327777777777783,0.5500000000004945,36.49893550162998,-0.625833333333346,-0.19999999999882334,29.70856561499562,-0.11898269314371451,0.036218106044543605,0.2923415316936613,5000
GBPJPY,Primary,Historical,365,OK,1800,0.09025586276001527,-0.11281300896151009,-0.1203029694514954,0.014472804458847436,-2.0911666666666675,1.0500000000007503,49.308936539449654,0.3261666666666932,0.1999999999981128,46.2390041166047,-0.2228034454951447,0.07628342959694646,0.2571485702859428,5000
GBPJPY,Robustness,Historical,365,OK,1800,0.12937680167880772,-0.09555998623561919,-0.11705662943148341,0.013702254493859629,-2.059333333333337,0.899999999998613,56.6406733966307,0.3261666666666932,0.1999999999981128,46.2390041166047,-0.19792160636490644,0.05782815469805867,0.2621475704859028,5000
AUDJPY,Primary,Historical,365,OK,1799,-0.14958480956581258,-0.03025254987258792,-0.04606890243897962,0.002122343771932222,-0.26648137854364107,1.5999999999991132,34.34895413357888,-0.1415230683713051,0.40000000000048885,22.55628836336449,-0.08299176734745205,0.02293506254137632,0.27014597080583885,5000
AUDJPY,Robustness,Historical,365,OK,1799,-0.1298680079151973,-0.03297806505274959,-0.054773541314511495,0.0030001408281324976,0.353418565869924,1.5000000000000568,37.463926115633924,-0.1415230683713051,0.40000000000048885,22.55628836336449,-0.07820995984377116,0.015276898137156786,0.1803639272145571,5000
EURAUD,Primary,Historical,365,OK,1800,-0.4078531525898725,-0.040433603986926345,-0.051093200221356834,0.002610515108859658,-0.21483333333332855,-0.9499999999995623,47.802751414262374,-0.3991666666666813,0.0,37.82964292304882,-0.12135206960500262,0.03515538124881939,0.31593681263747253,5000
EURAUD,Robustness,Historical,365,OK,1800,-0.43075548323435714,-0.042748567642895925,-0.05815627755854994,0.0033821526194670994,-0.7389444444444522,-1.9000000000002348,51.464442789097035,-0.3991666666666813,0.0,37.82964292304882,-0.09347838452385895,0.010006049801453367,0.10557888422315537,5000
GBPAUD,Primary,Historical,363,OK,1794,0.38037559497256446,-0.09423514029208928,-0.10036060666970935,0.010072251371112109,-1.5977146042363681,-1.900000000001345,54.71254517336399,0.5309364548494985,-1.4500000000006175,51.37318855711297,-0.17870511012735882,-0.006595627673956526,0.03179364127174565,5000
GBPAUD,Robustness,Historical,363,OK,1794,0.24883872577466154,-0.10655058760769243,-0.12635507156536696,0.015965604110289005,-2.64754738015608,-3.049999999999997,60.921887550495896,0.5309364548494985,-1.4500000000006175,51.37318855711297,-0.18123504180602257,-0.030064781157395297,0.004799040191961607,5000
USDJPY,Primary,RecentA,104,OK,517,-0.2820875114001129,0.01576390679457955,0.020552099309811337,0.00042238878604034766,2.2870406189554546,2.1000000000000796,43.624550444633876,-0.24603481624748158,0.8000000000009777,33.460978209478846,-0.07535231782299956,0.106298762062815,0.7260547890421916,5000
USDJPY,Robustness,RecentA,104,OK,517,-0.3266519940700545,0.027431276118382798,0.040612562967382006,0.0016493802707795682,2.9388781431334183,2.899999999999636,49.53965971608514,-0.24603481624748158,0.8000000000009777,33.460978209478846,-0.06470536967173134,0.11157518620740686,0.5266946610677864,5000
EURJPY,Primary,RecentA,104,OK,517,1.1194565330145652,0.02203628369836875,0.021551049379277414,0.0004644477293480534,2.162862669245643,3.499999999999659,44.668117823888444,1.1671179883946732,3.700000000000614,45.673846285455014,-0.05990182968963996,0.12069852071665244,0.6294741051789642,5000
EURJPY,Robustness,RecentA,104,OK,517,1.1697853426008697,-0.0013518499407936834,-0.0015513548759936702,2.406701951269336e-06,1.9731141199226019,2.200000000001978,52.41435606286717,1.1671179883946732,3.700000000000614,45.673846285455014,-0.08967804371062373,0.0848505658689917,0.9694061187762447,5000
GBPJPY,Primary,RecentA,104,OK,517,0.4724198590765579,0.004050097457447482,0.004014103472918252,1.6113026691294374e-05,1.8429400386847123,3.900000000001569,53.230251765019204,0.47988394584146304,2.6999999999986812,53.70756105000487,-0.06283479426909669,0.0952077769623391,0.9154169166166767,5000
GBPJPY,Robustness,RecentA,104,OK,517,0.480766798017654,-0.001087007799692233,-0.0012529687984797083,1.5699308099636838e-06,0.8121856866537025,2.400000000000091,61.907465849972056,0.47988394584146304,2.6999999999986812,53.70756105000487,-0.0763509615770454,0.07900023352505012,0.9768046390721855,5000
AUDJPY,Primary,RecentA,104,OK,517,-1.1677670883378244,0.0033912476223956507,0.00493291442498853,2.4333644724259917e-05,2.3017408123791356,3.2000000000010687,40.40992635636065,-1.1599613152804726,-0.0999999999990564,27.780750864639224,-0.059683289476705474,0.08216369712792171,0.9272145570885822,5000
AUDJPY,Robustness,RecentA,104,OK,517,-1.12698216013182,-0.011757152952594914,-0.01896921854679218,0.00035983125227596446,2.8050290135397,3.2000000000010687,44.82200211820991,-1.1599613152804726,-0.0999999999990564,27.780750864639224,-0.06843514074134936,0.055034077716985985,0.6958608278344331,5000
EURAUD,Primary,RecentA,104,OK,517,3.3688665628646897,0.00815960624634935,0.010142226380768645,0.00010286475595875944,-1.1150870406189899,-1.2000000000012,45.115317839100136,3.3597678916828317,3.2999999999994145,36.29609667794251,-0.061696484973268746,0.07582001872614777,0.8158368326334733,5000
EURAUD,Robustness,RecentA,104,OK,517,3.374177246242073,0.00644432206498921,0.008997758827276466,8.095966391383157e-05,-2.2359767891683417,-5.499999999998284,50.67771613307538,3.3597678916828317,3.2999999999994145,36.29609667794251,-0.056677055646664684,0.06807354215896633,0.8362327534493101,5000
GBPAUD,Primary,RecentA,104,OK,517,2.7576665346058498,0.038369484755190454,0.04603649633972999,0.0021193589952379728,-1.8154738878143357,-2.4000000000001798,50.37004416557575,2.688007736943911,3.4999999999985043,41.98131472619065,-0.02392178191159139,0.10531861580223154,0.252749450109978,5000
GBPAUD,Robustness,RecentA,104,OK,517,2.794606853766293,0.025906897662375417,0.033447352097505975,0.0011187253623345373,-4.114700193423626,-7.299999999998974,54.200384525484054,2.688007736943911,3.4999999999985043,41.98131472619065,-0.03575159893623763,0.09028683683512002,0.4405118976204759,5000
USDJPY,Primary,RecentB,105,OK,514,2.202836791634442,0.06318073770260522,0.08190645667877189,0.006708667645671536,-1.2735408560310881,0.19999999999953388,45.64804888245644,2.1223735408559907,2.949999999999875,35.21184434078519,-0.038898870622737766,0.153983165650668,0.1959608078384323,5000
USDJPY,Robustness,RecentB,105,OK,514,2.1753181194535576,0.05982306748548968,0.08538848439245826,0.007291193266841088,-0.8850194552529196,1.649999999999352,50.259643099245785,2.1223735408559907,2.949999999999875,35.21184434078519,-0.01687215571416799,0.1313529425486485,0.11357728454309138,5000
EURJPY,Primary,RecentB,105,OK,514,3.692545038032799,-0.01613637945803966,-0.01811074664998462,0.00032799914421992906,-1.1733463035019578,1.3500000000007617,43.560681719864476,3.711478599221795,5.799999999999272,38.81185592551049,-0.1341840215757786,0.08014933451814966,0.7674465106978604,5000
EURJPY,Robustness,RecentB,105,OK,514,3.7263584018617806,0.01407215925842324,0.01799774670943683,0.0003239188866170443,-1.0573929961089057,2.049999999999841,49.63886063557536,3.711478599221795,5.799999999999272,38.81185592551049,-0.07264010550107304,0.08473545802717374,0.7298540291941612,5000
GBPJPY,Primary,RecentB,105,OK,514,4.697970927880212,0.03983604839472284,0.04536690664794916,0.0020581562188037336,-2.835408560311253,0.20000000000095497,53.28612778533613,4.585019455252842,7.899999999999352,46.78980609580517,-0.07965569787068649,0.13378749148589053,0.49150169966006796,5000
GBPJPY,Robustness,RecentB,105,OK,514,4.6838560004148935,0.0473943317597685,0.0628997976038859,0.0039563845386098116,-2.085408560311244,2.550000000000807,62.09749613664744,4.585019455252842,7.899999999999352,46.78980609580517,-0.0421884065928657,0.12209568713234904,0.27394521095780844,5000
AUDJPY,Primary,RecentB,105,OK,514,0.6495116170101678,0.018095418276009894,0.026932009066164074,0.0007253331123399439,-1.2309338521400885,2.1500000000003183,37.08835239447485,0.6272373540855928,1.2500000000002842,24.91939045829471,-0.051887545764955474,0.08173250066325657,0.584883023395321,5000
AUDJPY,Robustness,RecentB,105,OK,514,0.6260025461153593,0.016880087678183855,0.02676094587073545,0.0007161482238964328,0.07315175097279686,1.649999999999352,39.506101621025174,0.6272373540855928,1.2500000000002842,24.91939045829471,-0.048808295292053265,0.07910601273784933,0.5856828634273146,5000
EURAUD,Primary,RecentB,105,OK,514,2.7756262823770186,-0.01349289781564771,-0.019364961759277252,0.00037500174393827033,1.1206225680934472,-1.5999999999993797,41.620906835045,2.760505836575825,1.900000000001345,29.00014210721659,-0.09391317522029466,0.06923641872162402,0.7368526294741051,5000
EURAUD,Robustness,RecentB,105,OK,514,2.7326122151126695,-0.04272145837921076,-0.06261164017134387,0.003920217484945841,-0.6529182879376837,-3.549999999998832,42.50197749378488,2.760505836575825,1.900000000001345,29.00014210721659,-0.11515108704265145,0.033974112886243656,0.26754649070185965,5000
GBPAUD,Primary,RecentB,105,OK,514,3.520685026324905,-0.004265867341335719,-0.005601651160332935,3.137849572205932e-05,-0.12217898832692292,-3.6500000000017074,44.03449354929995,3.5212062256810066,5.749999999999922,33.533917508896145,-0.08362429661965354,0.07498387748955511,0.9188162367526495,5000
GBPAUD,Robustness,RecentB,105,OK,514,3.492897605910289,-0.01593192878807418,-0.02249693200387041,0.0005061119495867688,-1.776848249027309,-2.9999999999985594,47.352098547273734,3.5212062256810066,5.749999999999922,33.533917508896145,-0.09478144448945053,0.05954550394508306,0.6872625474905019,5000
USDJPY,Primary,Monitor2026,37,OK,176,-0.1754510787851933,0.10381149359519401,0.13091437992434798,0.017138574870976527,0.16306818181823377,2.7000000000001023,34.68329445080218,-0.1585227272727898,3.2499999999998863,27.50289618161372,-0.06949491055650694,0.24978166313462127,0.2019596080783843,5000
USDJPY,Robustness,Monitor2026,37,OK,176,-0.13087978714593246,0.03702555146367916,0.05133639023030727,0.0026354249618783876,-0.7465909090908244,1.7000000000010118,38.13310956969746,-0.1585227272727898,3.2499999999998863,27.50289618161372,-0.1348635752008913,0.17774924648951212,0.6474705058988203,5000
EURJPY,Primary,Monitor2026,37,OK,176,-0.5405894018701662,0.055879041920369334,0.07060176632587405,0.004984609408333322,-1.8664772727272707,-0.19999999999953388,36.277449289442266,-0.64488636363631,0.9499999999988518,28.71244184249127,-0.06586725802821265,0.18418435305043604,0.3879224155168966,5000
EURJPY,Robustness,Monitor2026,37,OK,176,-0.624634063806285,0.014668332387177574,0.021588746975009655,0.0004660739959509885,-1.380681818181919,2.549999999997965,42.2587670916214,-0.64488636363631,0.9499999999988518,28.71244184249127,-0.12110405822260417,0.12977007875195,0.8250349930013997,5000
GBPJPY,Primary,Monitor2026,37,OK,176,0.7837528768852229,0.10576245729789949,0.1326403245981926,0.0175934557095139,-2.3176136363636086,0.19999999999953388,43.71594383208342,0.5386363636362872,6.3500000000004775,34.85746628549111,-0.00959336209479689,0.23020175262818832,0.09438112377524495,5000
GBPJPY,Robustness,Monitor2026,37,OK,176,0.5831075583556923,0.04042835883582856,0.060032802879691906,0.0036039374215919447,-1.0999999999998424,2.1000000000015007,51.76048354819415,0.5386363636362872,6.3500000000004775,34.85746628549111,-0.0767206037062973,0.14938922516802797,0.47470505898820237,5000
AUDJPY,Primary,Monitor2026,37,OK,176,0.15333369927739018,0.008690585905970886,0.013888766152467293,0.0001928978252379211,-0.25284090909101825,2.6000000000003354,33.35699015023863,0.1511363636363909,2.550000000000807,20.872393219305174,-0.07625790395910832,0.09618147092054016,0.8374325134973005,5000
AUDJPY,Robustness,Monitor2026,37,OK,176,0.164193603807589,-0.022486049609892162,-0.03950541273675902,0.0015606776355016818,0.5806818181817888,1.999999999999602,36.670403349543065,0.1511363636363909,2.550000000000807,20.872393219305174,-0.10821764593715702,0.0709797652722694,0.622875424915017,5000
EURAUD,Primary,Monitor2026,37,OK,176,-0.8791271468906621,-0.0706947500116148,-0.10653292464762083,0.011349264033975659,-1.344318181818119,-2.849999999999797,33.82386598822805,-0.7840909090909616,-3.950000000000342,22.44535910727523,-0.17133861696181954,0.054232598503931057,0.21495700859828035,5000
EURAUD,Robustness,Monitor2026,37,OK,176,-0.9218152628034497,-0.06816503445837517,-0.11357837602454722,0.012900047500373444,-2.0204545454545215,-2.7500000000002522,37.39904860238617,-0.7840909090909616,-3.950000000000342,22.44535910727523,-0.15539308196104926,0.04660889619321432,0.1883623275344931,5000
GBPAUD,Primary,Monitor2026,37,OK,176,0.4250794390878783,-0.04826224239908507,-0.06526908108054656,0.004260052945098961,-1.5170454545453744,0.5999999999994898,37.864808302594135,0.4982954545455774,-0.4499999999996174,27.998564196721244,-0.15667528848244705,0.0835539615640414,0.42131573685262946,5000
GBPAUD,Robustness,Monitor2026,37,OK,176,0.3735712266231565,-0.07553841746161737,-0.10981959071572375,0.012060342504969079,-1.651136363636369,-0.2500000000005276,40.704994412600826,0.4982954545455774,-0.4499999999996174,27.998564196721244,-0.17542148353667436,0.0545815256358688,0.19376124775044992,5000
USDJPY,Primary,RecentCombined,245,OK,1207,0.7543917290898461,0.0453713980028321,0.05881429829592494,0.003459121684042039,0.46106048053024007,1.700000000002433,43.33486459065076,0.7753106876553606,2.199999999999136,33.43002374777089,-0.01835378349545553,0.10547311251308077,0.15016996600679863,5000
USDJPY,Robustness,RecentCombined,245,OK,1207,0.742523456775781,0.04241151824204578,0.06135775999790052,0.003764774711959961,0.7730737365368614,1.9000000000005457,48.364016636554595,0.7753106876553606,2.199999999999136,33.43002374777089,-0.012611600265057761,0.0935187264219482,0.1209758048390322,5000
EURJPY,Primary,RecentCombined,245,OK,1207,1.985116307285601,0.00838487195250706,0.008875411117017293,7.877292249607416e-05,0.1545981772990816,1.6999999999995907,43.068444428097834,1.9864125932063448,3.999999999999204,40.688074835301485,-0.05401828582057079,0.072101749541956,0.7836432713457309,5000
EURJPY,Robustness,RecentCombined,245,OK,1207,1.9851648711385719,0.006446920101891501,0.007898715793080779,6.238971117986371e-05,0.19353769676884003,2.2999999999996135,49.85070920878262,1.9864125932063448,3.999999999999204,40.688074835301485,-0.047720706867103065,0.05929507498372773,0.8152369526094781,5000
