Filename,SHA256,Bytes,Rows,Publication
tokyo_london_phase1_bootstrap_spot_check.csv,93f1fb3d7b1e753810afbb95a684d2fbb64785a293b9460b5e2271de38344b1d,159,1,GITHUB
tokyo_london_phase1_completion_validation.csv,2b3c0c5d94528d5e22c32c0028240f2dee2dd64d55abfbcd7ab795f142ed6e7a,290,8,GITHUB
tokyo_london_phase1_coverage.csv,26214fb435fd6ba51ba04c01bda55e986b05232a88632682e88aca12c0942a45,3822,72,GITHUB
tokyo_london_phase1_daily_assignment.csv,d6a243fa93e4ca19af68caeee84e034acb8dc2382a1c15b510c61ce5ff1f1236,7528403,36600,LOCAL_COLAB_ONLY
tokyo_london_phase1_direction_summary.csv,cd028e7af5f06650143d24cc61e672b2718e0c778952d10b62b0061cda25fb15,22227,216,GITHUB
tokyo_london_phase1_exclusions.csv,fdeebae095427ce332c1830af2b763e8561b4874f532f1a00f38e919f5053c79,91528,530,LOCAL_COLAB_ONLY
tokyo_london_phase1_family_summary.csv,2faf761ac13e90282231fe371e5e4c62d90b6cbb619fe5eeadd751169f4ff088,3437,36,GITHUB
tokyo_london_phase1_independent_validation.csv,df7a131b775da0589b64aae5478fd107521ce51783125454d4f945def1b7255d,44476,932,GITHUB
tokyo_london_phase1_input_audit.csv,8a6010bc55716bf9bd48eeeb7d949678fc6de3d220aedc75b60dc756bc1d7e00,8342,48,GITHUB
tokyo_london_phase1_manual_audit.csv,81ca9bf1adf2fea65591cdd31d00ee216b9884828ae627a4c7120c852639abaf,24812,96,GITHUB
tokyo_london_phase1_multiple_comparison.csv,4274fe0fedeba6b780927c77ba45bef165ad8d29ec740e084f6eb40a0a6f757a,270,6,GITHUB
tokyo_london_phase1_pair_summary.csv,8d06e109c5d02e062e4b92b164cf6c85f98fb7c1fa3dbe7160d71c1baf6b4074,2618,6,GITHUB
tokyo_london_phase1_period_summary.csv,0586c98451b1c6338e0368901881aafa97c9de6daffcbe9feba9e74f951729c8,21645,72,GITHUB
tokyo_london_phase1_run_record.csv,fe8e6cd442af45819bbcc17a2d0ab9f9dd12c520c22ce3375039ae749b03817e,931,1,GITHUB
tokyo_london_phase1_validation.csv,0661edc0262714d6c3ce6a543a4237df23903503443b0e4d6ec3b07eceecbf17,7398,144,GITHUB
