Pair,Method,Period,CandidateDays,ValidEndpointDays,MissingEndpointDays,RankHistoryExcluded,NeutralAfterRankExcluded,TokyoNeutralAllValid,EligibleDays,ObservedWeeks
USDJPY,Primary,Historical,1827,1800,27,252,5,5,1543,313
USDJPY,Robustness,Historical,1827,1800,27,252,2,2,1546,313
EURAUD,Primary,Historical,1827,1800,27,252,1,1,1547,314
EURAUD,Robustness,Historical,1827,1800,27,252,3,3,1545,314
GBPJPY,Primary,Historical,1827,1800,27,252,1,1,1547,314
GBPJPY,Robustness,Historical,1827,1800,27,252,2,2,1546,314
USDJPY,Primary,RecentA,520,517,3,0,3,3,514,104
USDJPY,Robustness,RecentA,520,517,3,0,0,0,517,104
EURAUD,Primary,RecentA,520,517,3,0,0,0,517,104
EURAUD,Robustness,RecentA,520,517,3,0,1,1,516,104
GBPJPY,Primary,RecentA,520,517,3,0,0,0,517,104
GBPJPY,Robustness,RecentA,520,517,3,0,0,0,517,104
USDJPY,Primary,RecentB,523,514,9,0,0,0,514,105
USDJPY,Robustness,RecentB,523,514,9,0,0,0,514,105
EURAUD,Primary,RecentB,523,514,9,0,1,1,513,105
EURAUD,Robustness,RecentB,523,514,9,0,1,1,513,105
GBPJPY,Primary,RecentB,523,514,9,0,0,0,514,105
GBPJPY,Robustness,RecentB,523,514,9,0,0,0,514,105
USDJPY,Primary,Monitor2026,180,176,4,0,1,1,175,37
USDJPY,Robustness,Monitor2026,180,176,4,0,0,0,176,37
EURAUD,Primary,Monitor2026,180,176,4,0,0,0,176,37
EURAUD,Robustness,Monitor2026,180,176,4,0,1,1,175,37
GBPJPY,Primary,Monitor2026,180,176,4,0,1,1,175,37
GBPJPY,Robustness,Monitor2026,180,176,4,0,0,0,176,37
USDJPY,Primary,RecentCombined,1223,1207,16,0,4,4,1203,245
USDJPY,Robustness,RecentCombined,1223,1207,16,0,0,0,1207,245
EURAUD,Primary,RecentCombined,1223,1207,16,0,1,1,1206,245
EURAUD,Robustness,RecentCombined,1223,1207,16,0,3,3,1204,245
GBPJPY,Primary,RecentCombined,1223,1207,16,0,1,1,1206,245
GBPJPY,Robustness,RecentCombined,1223,1207,16,0,0,0,1207,245
USDJPY,Primary,ALL,3050,3007,43,252,9,9,2746,558
USDJPY,Robustness,ALL,3050,3007,43,252,2,2,2753,558
EURAUD,Primary,ALL,3050,3007,43,252,2,2,2753,559
EURAUD,Robustness,ALL,3050,3007,43,252,6,6,2749,559
GBPJPY,Primary,ALL,3050,3007,43,252,2,2,2753,559
GBPJPY,Robustness,ALL,3050,3007,43,252,2,2,2753,559
