Pair,Method,Period,TokyoSign,Q,N,ObservedWeeks,Mean,Median,LowSample,SideDelta,SideDeltaLowSample
USDJPY,Primary,Historical,UP,1,151,120,0.8185430463575999,0.39999999999906777,False,-1.9000815078960223,False
USDJPY,Primary,Historical,UP,2,159,126,-1.9716981132075504,-1.999999999999602,False,-1.9000815078960223,False
USDJPY,Primary,Historical,UP,3,162,129,-0.49197530864188577,0.6999999999997897,False,-1.9000815078960223,False
USDJPY,Primary,Historical,UP,4,156,127,0.5410256410255917,-0.05000000000023874,False,-1.9000815078960223,False
USDJPY,Primary,Historical,UP,5,130,108,-1.0815384615384223,-1.4500000000005286,False,-1.9000815078960223,False
USDJPY,Primary,Historical,DOWN,1,175,137,0.7199999999999542,0.7999999999995566,False,-0.8328048780486581,False
USDJPY,Primary,Historical,DOWN,2,154,128,-0.05714285714281624,0.30000000000001137,False,-0.8328048780486581,False
USDJPY,Primary,Historical,DOWN,3,138,119,-1.012318840579704,-0.3999999999997783,False,-0.8328048780486581,False
USDJPY,Primary,Historical,DOWN,4,154,127,2.640909090909068,1.4999999999993463,False,-0.8328048780486581,False
USDJPY,Primary,Historical,DOWN,5,164,119,-0.11280487804870389,-1.8999999999998352,False,-0.8328048780486581,False
USDJPY,Robustness,Historical,UP,1,153,123,-2.0006535947712187,0.49999999999954525,False,0.01121697505293695,False
USDJPY,Robustness,Historical,UP,2,171,139,0.0017543859649622098,0.0,False,0.01121697505293695,False
USDJPY,Robustness,Historical,UP,3,170,138,-0.40470588235290916,0.9000000000000341,False,0.01121697505293695,False
USDJPY,Robustness,Historical,UP,4,158,125,-0.12151898734181274,-0.999999999999801,False,0.01121697505293695,False
USDJPY,Robustness,Historical,UP,5,142,114,-1.9894366197182818,-1.4500000000005286,False,0.01121697505293695,False
USDJPY,Robustness,Historical,DOWN,1,165,133,0.11939393939394105,0.6000000000000227,False,0.8347156496472137,False
USDJPY,Robustness,Historical,DOWN,2,147,121,1.3741496598639429,2.1000000000000796,False,0.8347156496472137,False
USDJPY,Robustness,Historical,DOWN,3,138,121,-1.4427536231883644,-1.8000000000000682,False,0.8347156496472137,False
USDJPY,Robustness,Historical,DOWN,4,156,136,-1.117307692307698,-2.049999999999841,False,0.8347156496472137,False
USDJPY,Robustness,Historical,DOWN,5,146,111,0.9541095890411547,-1.2499999999995737,False,0.8347156496472137,False
EURAUD,Primary,Historical,UP,1,173,134,2.494219653179038,1.0999999999983245,False,-4.681176174918079,False
EURAUD,Primary,Historical,UP,2,152,124,-0.04539473684224218,1.9499999999994522,False,-4.681176174918079,False
EURAUD,Primary,Historical,UP,3,149,118,1.2798657718121493,0.8999999999992347,False,-4.681176174918079,False
EURAUD,Primary,Historical,UP,4,148,116,2.9128378378378965,0.9500000000006725,False,-4.681176174918079,False
EURAUD,Primary,Historical,UP,5,138,106,-2.1869565217390408,-0.700000000000145,False,-4.681176174918079,False
EURAUD,Primary,Historical,DOWN,1,162,130,1.4086419753086592,2.3500000000009624,False,3.852469135802332,False
EURAUD,Primary,Historical,DOWN,2,145,119,-1.9951724137931266,-0.8999999999992347,False,3.852469135802332,False
EURAUD,Primary,Historical,DOWN,3,173,140,2.2485549132947424,-0.4999999999988347,False,3.852469135802332,False
EURAUD,Primary,Historical,DOWN,4,163,137,-4.050920245398911,-0.5000000000010552,False,3.852469135802332,False
EURAUD,Primary,Historical,DOWN,5,144,109,5.261111111110991,5.249999999999977,False,3.852469135802332,False
EURAUD,Robustness,Historical,UP,1,177,137,-1.149717514124286,-3.2999999999994145,False,6.947690487097345,False
EURAUD,Robustness,Historical,UP,2,153,126,-0.4660130718955891,-0.5999999999994898,False,6.947690487097345,False
EURAUD,Robustness,Historical,UP,3,139,112,2.8302158273382045,1.900000000001345,False,6.947690487097345,False
EURAUD,Robustness,Historical,UP,4,126,105,-1.5849206349206026,0.04999999999921734,False,6.947690487097345,False
EURAUD,Robustness,Historical,UP,5,148,117,5.797972972973059,2.900000000001235,False,6.947690487097345,False
EURAUD,Robustness,Historical,DOWN,1,156,125,1.495512820512967,2.5500000000000522,False,3.9866300366297858,False
EURAUD,Robustness,Historical,DOWN,2,167,133,-0.588023952095858,-0.8999999999992347,False,3.9866300366297858,False
EURAUD,Robustness,Historical,DOWN,3,175,143,-1.305714285714326,-4.8000000000003595,False,3.9866300366297858,False
EURAUD,Robustness,Historical,DOWN,4,164,128,-1.156097560975751,1.9999999999997797,False,3.9866300366297858,False
EURAUD,Robustness,Historical,DOWN,5,140,107,5.482142857142753,3.5999999999991594,False,3.9866300366297858,False
