Pair,Method,Selection,Date,X,Y,ReferenceStart,ReferenceEnd,ReferenceN,LessCount,EqualCount,Percentile,Q,AlignedLondonReturn,Pass
USDJPY,Primary,FirstQ1,2016-01-05,-4.600000000000648,-30.59999999999974,2015-01-06,2016-01-04,252,44,0,0.1746031746031746,1,30.59999999999974,True
USDJPY,Primary,FirstQ2,2016-01-27,-6.999999999999318,2.200000000000557,2015-01-28,2016-01-26,252,66,1,0.2638888888888889,2,-2.200000000000557,True
USDJPY,Primary,FirstQ3,2016-01-12,-14.700000000000557,40.399999999999636,2015-01-13,2016-01-11,252,124,0,0.49206349206349204,3,-40.399999999999636,True
USDJPY,Primary,FirstQ4,2016-01-11,26.39999999999958,29.399999999999693,2015-01-12,2016-01-08,252,187,1,0.7440476190476191,4,29.399999999999693,True
USDJPY,Primary,FirstQ5,2016-01-04,-93.50000000000023,2.200000000000557,2015-01-05,2015-12-31,252,250,0,0.9920634920634921,5,-2.200000000000557,True
USDJPY,Primary,First2022,2022-01-03,16.899999999999693,-20.90000000000032,2021-01-14,2021-12-31,252,194,1,0.7718253968253969,4,-20.90000000000032,True
USDJPY,Robustness,FirstQ1,2016-01-05,-4.5000000000001705,-30.59999999999974,2015-01-06,2016-01-04,252,46,1,0.18452380952380953,1,30.59999999999974,True
USDJPY,Robustness,FirstQ2,2016-02-03,11.099999999999,-70.29999999999887,2015-02-04,2016-02-02,252,95,0,0.376984126984127,2,-70.29999999999887,True
USDJPY,Robustness,FirstQ3,2016-01-22,14.60000000000008,10.599999999999454,2015-01-23,2016-01-21,252,119,1,0.4742063492063492,3,10.599999999999454,True
USDJPY,Robustness,FirstQ4,2016-01-11,25.900000000000034,29.399999999999693,2015-01-12,2016-01-08,252,177,0,0.7023809523809523,4,29.399999999999693,True
USDJPY,Robustness,FirstQ5,2016-01-04,-134.19999999999987,2.200000000000557,2015-01-05,2015-12-31,252,251,0,0.996031746031746,5,-2.200000000000557,True
USDJPY,Robustness,First2022,2022-01-03,14.999999999999147,-20.90000000000032,2021-01-14,2021-12-31,252,159,0,0.6309523809523809,4,-20.90000000000032,True
EURAUD,Primary,FirstQ1,2016-01-25,-8.700000000001484,28.300000000001102,2015-01-27,2016-01-22,252,33,0,0.13095238095238096,1,28.300000000001102,True
EURAUD,Primary,FirstQ2,2016-02-23,22.499999999998632,-68.39999999999957,2015-02-24,2016-02-22,252,87,0,0.34523809523809523,2,68.39999999999957,True
EURAUD,Primary,FirstQ3,2016-01-05,-22.799999999998377,20.800000000000818,2015-01-07,2016-01-04,252,102,0,0.40476190476190477,3,20.800000000000818,True
EURAUD,Primary,FirstQ4,2015-12-31,-57.000000000000384,-32.00000000000092,2015-01-05,2015-12-30,252,188,0,0.746031746031746,4,-32.00000000000092,True
EURAUD,Primary,FirstQ5,2016-01-04,203.1000000000005,0.10000000000065512,2015-01-06,2015-12-31,252,251,0,0.996031746031746,5,-0.10000000000065512,True
