Pair,Method,Period,Status,N,ObservedWeeks,Q1N,Q5N,Q1Mean,Q5Mean,Delta,CILow,CIHigh,PUnadjusted,ValidBootstraps
USDJPY,Primary,Historical,OK,1543,313,326,294,0.765644171779109,-0.541156462584974,-1.306800634364083,-4.430324908543183,1.9023481514853655,0.41291741651669667,5000
USDJPY,Robustness,Historical,OK,1546,313,318,288,-0.900628930817598,-0.49722222222217854,0.40340670859541944,-2.758527315759059,3.4392939280741217,0.7948410317936413,5000
EURAUD,Primary,Historical,OK,1547,314,335,282,1.969253731343213,1.6163120567375715,-0.3529416746056415,-6.573280423861124,5.660920892170468,0.9112177564487103,5000
EURAUD,Robustness,Historical,OK,1545,314,333,288,0.08948948948956208,5.644444444444438,5.554954954954876,-0.6286373155362615,11.938993337826528,0.08998200359928014,5000
GBPJPY,Primary,Historical,OK,1547,314,336,308,1.7770833333333893,0.877272727272699,-0.8998106060606903,-8.48040695970907,6.574626075352429,0.8218356328734253,5000
GBPJPY,Robustness,Historical,OK,1546,314,314,300,0.6942675159236096,1.0159999999998064,0.3217324840761968,-6.976871233660461,7.846450456967481,0.9296140771845631,5000
USDJPY,Primary,RecentA,OK,514,104,83,134,-2.3638554216866483,2.2723880597016106,4.636243481388259,-4.754110609835934,13.670706401119205,0.3161367726454709,5000
USDJPY,Robustness,RecentA,OK,517,104,95,140,0.6915789473683426,-0.4585714285714155,-1.150150375939758,-8.01465748291995,5.234193445468033,0.7388522295540891,5000
EURAUD,Primary,RecentA,OK,517,104,93,124,-2.180645161290426,1.6830645161290116,3.863709677419438,-5.928007022363677,13.335595750808046,0.4339132173565287,5000
EURAUD,Robustness,RecentA,OK,516,104,89,121,-0.6898876404494417,0.5818181818181225,1.2717058222675641,-8.240822027449878,10.664886983262768,0.7864427114577085,5000
GBPJPY,Primary,RecentA,OK,517,104,96,120,2.6239583333332797,8.39000000000008,5.766041666666801,-6.890948937387121,18.436081703524767,0.3727254549090182,5000
GBPJPY,Robustness,RecentA,OK,517,104,98,124,-2.1061224489793524,0.6935483870967852,2.7996708360761375,-10.931754917597429,16.34868054028189,0.6808638272345531,5000
USDJPY,Primary,RecentB,OK,514,105,97,113,-0.8618556701031646,1.0725663716815823,1.9344220417847469,-8.219728333333071,12.421712791215315,0.7104579084183164,5000
USDJPY,Robustness,RecentB,OK,514,105,101,102,1.0940594059404714,2.4098039215687095,1.3157445156282381,-8.295826777389218,10.391524743360645,0.7772445510897821,5000
EURAUD,Primary,RecentB,OK,513,105,110,90,-2.9181818181819206,3.802222222222238,6.7204040404041585,-1.9009783531408417,15.615941148090371,0.13717256548690263,5000
EURAUD,Robustness,RecentB,OK,513,105,107,90,1.894392523364591,1.4299999999999935,-0.4643925233645976,-8.981691316745199,8.077343547910754,0.9156168766246751,5000
GBPJPY,Primary,RecentB,OK,514,105,101,103,6.913861386138421,1.9757281553395818,-4.938133230798838,-19.589415248079366,8.732050843862819,0.50249950009998,5000
GBPJPY,Robustness,RecentB,OK,514,105,97,109,-4.626804123711457,2.2577981651373915,6.884602288848848,-6.634004271708651,20.784839055139894,0.33833233353329334,5000
USDJPY,Primary,Monitor2026,INSUFFICIENT_SAMPLE,175,37,55,23,6.934545454545545,8.973913043477983,2.0393675889324383,-19.94956573964916,20.86785929951675,0.8350329934013198,5000
USDJPY,Robustness,Monitor2026,INSUFFICIENT_SAMPLE,176,37,50,24,3.7739999999998872,8.429166666666651,4.655166666666764,-12.43067018442611,19.495265909090904,0.5518896220755849,5000
EURAUD,Primary,Monitor2026,INSUFFICIENT_SAMPLE,176,37,35,29,-1.3114285714286613,2.6103448275862338,3.921773399014895,-7.143681818181778,14.27858766233749,0.4709058188362327,5000
EURAUD,Robustness,Monitor2026,INSUFFICIENT_SAMPLE,175,37,41,25,-1.7243902439024714,3.2600000000000398,4.984390243902511,-5.150570175438686,13.88137310606056,0.29934013197360526,5000
GBPJPY,Primary,Monitor2026,OK,175,37,46,30,-3.9543478260872402,10.583333333332993,14.537681159420233,-3.183987103174182,32.98027362440218,0.10737852429514097,5000
GBPJPY,Robustness,Monitor2026,INSUFFICIENT_SAMPLE,176,37,41,29,2.397560975609558,5.824137931034066,3.4265769554245082,-8.749209742036644,15.938385871903638,0.5816836632673466,5000
USDJPY,Primary,RecentCombined,OK,1203,245,235,270,0.43234042553194135,2.3411111111112155,1.908770685579274,-4.223905057880255,7.942525300443429,0.5256948610277944,5000
USDJPY,Robustness,RecentCombined,OK,1207,245,246,266,1.4833333333332297,1.4432330827068038,-0.04010025062642586,-5.294670514584749,5.043275965307416,0.9896020795840832,5000
EURAUD,Primary,RecentCombined,OK,1206,245,238,243,-2.393697478991697,2.5786008230452655,4.972298302036963,-0.50717438476294,10.452887728248161,0.07798440311937613,5000
EURAUD,Robustness,RecentCombined,OK,1204,245,237,236,0.2978902953586901,1.1889830508474295,0.8910927554887393,-4.776157959520149,6.338225010656372,0.7490501899620076,5000
GBPJPY,Primary,RecentCombined,OK,1206,245,243,253,3.1617283950615733,6.03873517786552,2.8770067828039463,-5.821486597759345,10.959468256607249,0.4917016596680664,5000
GBPJPY,Robustness,RecentCombined,OK,1207,245,236,262,-2.3597457627118477,1.9122137404578816,4.271959503169729,-3.8237344586748514,13.020025757395587,0.3311337732453509,5000
USDJPY,Primary,ALL,OK,2746,558,561,564,0.6260249554367127,0.8386524822695849,0.21262752683287223,-3.2039139786142323,3.511921122933624,0.8980203959208158,5000
USDJPY,Robustness,ALL,OK,2753,558,564,554,0.13918439716308217,0.4344765342960693,0.29529213713298713,-2.75818300903484,3.2341716490042467,0.8406318736252749,5000
EURAUD,Primary,ALL,OK,2753,559,573,525,0.1570680628271418,2.061714285714275,1.9046462228871333,-2.320647442791247,6.013585600726562,0.366126774645071,5000
EURAUD,Robustness,ALL,OK,2749,559,570,524,0.17614035087725247,3.6377862595419685,3.461645908664716,-0.7223361985549446,7.666519611605827,0.10657868426314737,5000
GBPJPY,Primary,ALL,OK,2753,559,579,561,2.358203799654544,3.204991087343971,0.8467872876894269,-4.804635373250308,6.433014561206862,0.769246150769846,5000
GBPJPY,Robustness,ALL,OK,2753,559,550,562,-0.6161818181817863,1.4338078291813292,2.0499896473631156,-3.7553901954050044,7.679231185041012,0.48310337932413516,5000
