Pair,Method,Period,Q,N,ObservedWeeks,Mean,Median,Std,PositiveRate,NegativeRate,NeutralRate,CILow,CIHigh,ValidBootstraps
USDJPY,Primary,Historical,1,326,207,0.765644171779109,0.6999999999997897,15.4195355826226,0.5184049079754601,0.4785276073619632,0.003067484662576687,-0.918864574772009,2.48579443993504,5000
USDJPY,Primary,Historical,2,313,203,-1.0297124600638792,-0.7000000000005002,17.74638584315063,0.48242811501597443,0.5175718849840255,0.0,-2.7974500786936347,0.8016280481076831,5000
USDJPY,Primary,Historical,3,300,206,-0.7313333333332821,0.4499999999993065,16.11468777531467,0.5133333333333333,0.48333333333333334,0.0033333333333333335,-2.670868060099951,1.1268399045589839,5000
USDJPY,Primary,Historical,4,310,217,1.5841935483870604,0.5000000000002558,18.001687492670687,0.5096774193548387,0.4870967741935484,0.0032258064516129032,-0.5056898822840854,3.8224311594202445,5000
USDJPY,Primary,Historical,5,294,176,-0.541156462584974,-1.6000000000005343,24.43226004857593,0.46258503401360546,0.5340136054421769,0.003401360544217687,-3.2429809697601093,2.106116288026889,5000
USDJPY,Robustness,Historical,1,318,208,-0.900628930817598,0.549999999999784,16.763334997371892,0.5157232704402516,0.4811320754716981,0.0031446540880503146,-2.55001175548586,0.7101835820896238,5000
USDJPY,Robustness,Historical,2,318,207,0.6361635220126042,1.649999999999352,15.882420307525871,0.5408805031446541,0.4559748427672956,0.0031446540880503146,-1.1674012952311286,2.3416445145019082,5000
USDJPY,Robustness,Historical,3,308,212,-0.8698051948051586,-0.24999999999977263,17.29533359410295,0.4935064935064935,0.5064935064935064,0.0,-2.934874234068646,1.092662073285389,5000
USDJPY,Robustness,Historical,4,314,212,-0.6162420382165839,-1.5999999999998238,17.559784431566452,0.4394904458598726,0.5573248407643312,0.0031847133757961785,-2.5116526667156105,1.379401779689559,5000
USDJPY,Robustness,Historical,5,288,172,-0.49722222222217854,-1.2999999999998124,24.477813162225132,0.4652777777777778,0.53125,0.003472222222222222,-3.1435691713929423,2.1436383755493025,5000
EURAUD,Primary,Historical,1,335,219,1.969253731343213,2.100000000000435,29.178079773380762,0.5343283582089552,0.46567164179104475,0.0,-0.8898789708769763,4.788886181075443,5000
EURAUD,Primary,Historical,2,297,199,-0.997306397306479,0.2999999999997449,30.678970802110516,0.5084175084175084,0.49158249158249157,0.0,-4.43683123464383,2.331275951556959,5000
EURAUD,Primary,Historical,3,322,214,1.8003105590062132,-0.05000000000032756,36.83310046171614,0.4968944099378882,0.5,0.003105590062111801,-2.193660033276014,6.147661838882482,5000
EURAUD,Primary,Historical,4,311,212,-0.7369774919614592,0.0,33.24145025944425,0.49517684887459806,0.49517684887459806,0.00964630225080386,-4.159370630728676,2.7171921193643285,5000
EURAUD,Primary,Historical,5,282,175,1.6163120567375715,1.5500000000001624,45.54068006517981,0.5141843971631206,0.4858156028368794,0.0,-3.931605286738352,7.014415296582756,5000
EURAUD,Robustness,Historical,1,333,216,0.08948948948956208,-0.2999999999997449,29.692303230368186,0.4894894894894895,0.5105105105105106,0.0,-3.003239164086671,3.10014619883048,5000
EURAUD,Robustness,Historical,2,320,208,-0.5296875000001047,-0.6499999999998174,32.541319187265394,0.475,0.521875,0.003125,-4.09020472312721,2.9382769229880923,5000
EURAUD,Robustness,Historical,3,314,210,0.5251592356688004,-0.4499999999996174,31.9461333384508,0.4840764331210191,0.5095541401273885,0.006369426751592357,-3.1890541798106367,4.1645706954513075,5000
EURAUD,Robustness,Historical,4,290,194,-1.342413793103514,1.4500000000006175,35.50688944846749,0.5103448275862069,0.4862068965517241,0.0034482758620689655,-5.769307958477664,2.7825912462321347,5000
EURAUD,Robustness,Historical,5,288,184,5.644444444444438,3.049999999999997,45.80792466440294,0.5416666666666666,0.4583333333333333,0.0,0.323729079236613,11.160084745762736,5000
GBPJPY,Primary,Historical,1,336,221,1.7770833333333893,0.3500000000002501,40.201575432917465,0.5059523809523809,0.49404761904761907,0.0,-2.4007859878292512,5.8896064264664325,5000
GBPJPY,Primary,Historical,2,305,202,-1.1426229508197558,-2.199999999999136,36.42974068333991,0.46557377049180326,0.5311475409836065,0.003278688524590164,-4.856493901008832,2.581047529169475,5000
GBPJPY,Primary,Historical,3,317,209,2.7274447949527802,4.000000000002046,41.91419774071479,0.5615141955835962,0.4384858044164038,0.0,-1.9021462431156655,7.271400972513455,5000
GBPJPY,Primary,Historical,4,281,205,-4.58327402135235,-4.100000000002524,41.480235026020964,0.45195729537366547,0.5480427046263345,0.0,-9.66918641589343,0.4687050569908944,5000
GBPJPY,Primary,Historical,5,308,171,0.877272727272699,-0.4499999999993065,59.26891239851272,0.4837662337662338,0.5064935064935064,0.00974025974025974,-5.723547309929355,7.421519687162761,5000
