Pair,Method,Period,SpearmanFiveMeans,PositiveAdjacent,Q2MinusQ1,Q3MinusQ2,Q4MinusQ3,Q5MinusQ4,Q4Mean,Q5Mean
USDJPY,Primary,Historical,0.19999999999999998,2,-1.795356631842988,0.2983791267305971,2.3155268817203423,-2.1253500109720345,1.5841935483870604,-0.541156462584974
USDJPY,Robustness,Historical,0.39999999999999997,3,1.5367924528302022,-1.5059687168177627,0.25356315658857476,0.11901981599440531,-0.6162420382165839,-0.49722222222217854
EURAUD,Primary,Historical,-0.3,2,-2.966560128649692,2.7976169563126922,-2.5372880509676725,2.353289548699031,-0.7369774919614592,1.6163120567375715
EURAUD,Robustness,Historical,0.3,2,-0.6191769894896667,1.054846735668905,-1.8675730287723145,6.986858237547952,-1.342413793103514,5.644444444444438
GBPJPY,Primary,Historical,-0.3,2,-2.919706284153145,3.870067745772536,-7.310718816305131,5.460546748625049,-4.58327402135235,0.877272727272699
GBPJPY,Robustness,Historical,0.0,1,-1.8053786270346706,-1.2406460773872978,-0.8357004386201909,4.203457627118356,-3.1874576271185497,1.0159999999998064
USDJPY,Primary,RecentA,0.7,3,4.0093999761420855,-3.035906000238377,0.1947862245439398,3.4679632809406105,-1.195575221239,2.2723880597016106
USDJPY,Robustness,RecentA,0.19999999999999998,2,-2.8971345029238185,3.8155555555555463,6.050869565217492,-8.119440993788977,7.6608695652175625,-0.4585714285714155
EURAUD,Primary,RecentA,0.3,2,2.5311124510100025,-1.1956285800422024,-3.1128387096775016,5.6410645161291395,-3.9580000000001276,1.6830645161290116
EURAUD,Robustness,RecentA,0.6,2,-1.9292032686413463,5.298866189989606,-2.5797752808989505,0.4818181818182551,0.09999999999986742,0.5818181818181225
GBPJPY,Primary,RecentA,0.19999999999999998,3,0.10756340579709889,-8.913426501035262,1.2126739926742447,13.35923076923072,-4.969230769230639,8.39000000000008
GBPJPY,Robustness,RecentA,0.49999999999999994,3,2.6127891156459437,-3.7561512027489927,2.6152252768230615,1.3278076463561255,-0.6342592592593403,0.6935483870967852
USDJPY,Primary,RecentB,0.6,2,1.6785223367698359,-2.5208333333331856,8.281166666666627,-5.504433628318529,6.577000000000112,1.0725663716815823
USDJPY,Robustness,RecentB,0.6,2,-2.1069306930691805,5.486067163417484,0.9728218228264414,-3.0362137775465072,5.446017699115217,2.4098039215687095
EURAUD,Primary,RecentB,0.39999999999999997,3,1.8809269162211768,0.14529061624646278,-2.2827831890331107,6.976969696969629,-3.1747474747473916,3.802222222222238
EURAUD,Robustness,RecentB,-0.09999999999999999,2,-2.2916652506372364,3.382178387649972,-2.845905660377348,1.2910000000000152,0.13899999999997828,1.4299999999999935
GBPJPY,Primary,RecentB,-0.3,2,-6.427861386138175,1.2186728971960539,-4.167779693312894,4.438834951456176,-2.4631067961165938,1.9757281553395818
GBPJPY,Robustness,RecentB,0.49999999999999994,3,6.597713214620657,4.503164983164865,-7.86074074074091,3.644464831804237,-1.3866666666668455,2.2577981651373915
USDJPY,Primary,Monitor2026,0.39999999999999997,3,-12.139307359307196,1.9400560224088368,8.131372549019304,4.107246376811493,4.86666666666649,8.973913043477983
USDJPY,Robustness,Monitor2026,0.09999999999999999,2,-3.893148936170004,-5.112279635258342,1.601428571428463,12.059166666666647,-3.6299999999999955,8.429166666666651
