Pair,Method,Period,CandidateDays,ValidEndpointDays,RankHistoryExcluded,NeutralAfterRankExcluded,EligibleQ5Days,UPN,UPWeeks,DOWNN,DOWNWeeks
EURAUD,Primary,Historical,1827,1800,252,1,282,138,106,144,109
EURAUD,Robustness,Historical,1827,1800,252,3,288,148,117,140,107
USDJPY,Primary,Historical,1827,1800,252,5,294,130,108,164,119
USDJPY,Robustness,Historical,1827,1800,252,2,288,142,114,146,111
EURAUD,Primary,RecentA,520,517,0,0,124,59,48,65,49
EURAUD,Robustness,RecentA,520,517,0,1,121,54,47,67,55
USDJPY,Primary,RecentA,520,517,0,3,134,76,56,58,43
USDJPY,Robustness,RecentA,520,517,0,0,140,77,56,63,41
EURAUD,Primary,RecentB,523,514,0,1,90,49,39,41,37
EURAUD,Robustness,RecentB,523,514,0,1,90,43,38,47,37
USDJPY,Primary,RecentB,523,514,0,0,113,55,47,58,40
USDJPY,Robustness,RecentB,523,514,0,0,102,47,42,55,43
EURAUD,Primary,Monitor2026,180,176,0,0,29,16,13,13,10
EURAUD,Robustness,Monitor2026,180,176,0,1,25,10,9,15,10
USDJPY,Primary,Monitor2026,180,176,0,1,23,10,10,13,9
USDJPY,Robustness,Monitor2026,180,176,0,0,24,10,10,14,10
EURAUD,Primary,RecentCombined,1223,1207,0,1,243,124,100,119,96
EURAUD,Robustness,RecentCombined,1223,1207,0,3,236,107,94,129,102
USDJPY,Primary,RecentCombined,1223,1207,0,4,270,141,113,129,92
USDJPY,Robustness,RecentCombined,1223,1207,0,0,266,134,108,132,94
EURAUD,Primary,ALL,3050,3007,252,2,525,262,206,263,205
EURAUD,Robustness,ALL,3050,3007,252,6,524,255,211,269,209
USDJPY,Primary,ALL,3050,3007,252,9,564,271,221,293,211
USDJPY,Robustness,ALL,3050,3007,252,2,554,276,222,278,205
