Pair,Method,Period,TokyoDirection,Date,Q,ReferenceStart,ReferenceEnd,ReferenceN,Percentile,X,Y,Aligned,Tokyo09Open,Tokyo15Open,London08Open,London11Open,Tokyo09UTC,Tokyo15UTC,London08UTC,London11UTC,Status
EURAUD,Primary,Historical,UP,2016-01-04,5,2015-01-06,2015-12-31,252,0.996031746031746,203.1000000000005,0.10000000000065512,-0.10000000000065512,1.48956,1.50987,1.51183,1.51184,2016-01-04 00:00:00+00:00,2016-01-04 06:00:00+00:00,2016-01-04 08:00:00+00:00,2016-01-04 11:00:00+00:00,CHECKED
EURAUD,Primary,Historical,DOWN,2016-01-08,5,2015-01-12,2016-01-07,252,0.9563492063492064,-150.30000000000098,17.000000000000348,17.000000000000348,1.55767,1.54264,1.54683,1.54853,2016-01-08 00:00:00+00:00,2016-01-08 06:00:00+00:00,2016-01-08 08:00:00+00:00,2016-01-08 11:00:00+00:00,CHECKED
EURAUD,Primary,RecentCombined,UP,2022-01-05,5,2021-01-18,2022-01-04,252,0.8134920634920635,43.499999999998536,-18.699999999998163,18.699999999998163,1.55861,1.56296,1.56167,1.5598,2022-01-05 00:00:00+00:00,2022-01-05 06:00:00+00:00,2022-01-05 08:00:00+00:00,2022-01-05 11:00:00+00:00,CHECKED
EURAUD,Primary,RecentCombined,DOWN,2022-01-10,5,2021-01-21,2022-01-07,252,0.9047619047619048,-54.99999999999838,-0.700000000000145,-0.700000000000145,1.58147,1.57597,1.57414,1.57407,2022-01-10 00:00:00+00:00,2022-01-10 06:00:00+00:00,2022-01-10 08:00:00+00:00,2022-01-10 11:00:00+00:00,CHECKED
EURAUD,Robustness,Historical,UP,2016-01-04,5,2015-01-06,2015-12-31,252,0.996031746031746,222.7000000000001,0.10000000000065512,-0.10000000000065512,1.48956,1.50987,1.51183,1.51184,2016-01-04 00:00:00+00:00,2016-01-04 06:00:00+00:00,2016-01-04 08:00:00+00:00,2016-01-04 11:00:00+00:00,CHECKED
EURAUD,Robustness,Historical,DOWN,2016-01-08,5,2015-01-12,2016-01-07,252,0.8888888888888888,-108.40000000000182,17.000000000000348,17.000000000000348,1.55767,1.54264,1.54683,1.54853,2016-01-08 00:00:00+00:00,2016-01-08 06:00:00+00:00,2016-01-08 08:00:00+00:00,2016-01-08 11:00:00+00:00,CHECKED
EURAUD,Robustness,RecentCombined,UP,2022-01-06,5,2021-01-19,2022-01-05,252,0.9920634920634921,110.39999999999938,-5.699999999999594,5.699999999999594,1.56641,1.57635,1.57745,1.57688,2022-01-06 00:00:00+00:00,2022-01-06 06:00:00+00:00,2022-01-06 08:00:00+00:00,2022-01-06 11:00:00+00:00,CHECKED
EURAUD,Robustness,RecentCombined,DOWN,2022-01-10,5,2021-01-21,2022-01-07,252,0.9444444444444444,-73.29999999999836,-0.700000000000145,-0.700000000000145,1.58147,1.57597,1.57414,1.57407,2022-01-10 00:00:00+00:00,2022-01-10 06:00:00+00:00,2022-01-10 08:00:00+00:00,2022-01-10 11:00:00+00:00,CHECKED
USDJPY,Primary,Historical,UP,2016-01-08,5,2015-01-09,2016-01-07,252,0.9821428571428571,78.19999999999965,8.799999999999386,8.799999999999386,117.527,118.309,118.238,118.326,2016-01-08 00:00:00+00:00,2016-01-08 06:00:00+00:00,2016-01-08 08:00:00+00:00,2016-01-08 11:00:00+00:00,CHECKED
USDJPY,Primary,Historical,DOWN,2016-01-04,5,2015-01-05,2015-12-31,252,0.9920634920634921,-93.50000000000023,2.200000000000557,-2.200000000000557,120.312,119.377,118.97,118.992,2016-01-04 00:00:00+00:00,2016-01-04 06:00:00+00:00,2016-01-04 08:00:00+00:00,2016-01-04 11:00:00+00:00,CHECKED
USDJPY,Primary,RecentCombined,UP,2022-01-04,5,2021-01-15,2022-01-03,252,0.9761904761904762,41.70000000000016,15.600000000000591,15.600000000000591,115.329,115.746,115.738,115.894,2022-01-04 00:00:00+00:00,2022-01-04 06:00:00+00:00,2022-01-04 08:00:00+00:00,2022-01-04 11:00:00+00:00,CHECKED
USDJPY,Primary,RecentCombined,DOWN,2022-01-06,5,2021-01-19,2022-01-05,252,0.8888888888888888,-25.30000000000001,-0.39999999999906777,0.39999999999906777,116.121,115.868,115.871,115.867,2022-01-06 00:00:00+00:00,2022-01-06 06:00:00+00:00,2022-01-06 08:00:00+00:00,2022-01-06 11:00:00+00:00,CHECKED
USDJPY,Robustness,Historical,UP,2016-01-08,5,2015-01-09,2016-01-07,252,0.9603174603174603,71.09999999999985,8.799999999999386,8.799999999999386,117.527,118.309,118.238,118.326,2016-01-08 00:00:00+00:00,2016-01-08 06:00:00+00:00,2016-01-08 08:00:00+00:00,2016-01-08 11:00:00+00:00,CHECKED
USDJPY,Robustness,Historical,DOWN,2016-01-04,5,2015-01-05,2015-12-31,252,0.996031746031746,-134.19999999999987,2.200000000000557,-2.200000000000557,120.312,119.377,118.97,118.992,2016-01-04 00:00:00+00:00,2016-01-04 06:00:00+00:00,2016-01-04 08:00:00+00:00,2016-01-04 11:00:00+00:00,CHECKED
USDJPY,Robustness,RecentCombined,UP,2022-01-04,5,2021-01-15,2022-01-03,252,0.9642857142857143,40.9000000000006,15.600000000000591,15.600000000000591,115.329,115.746,115.738,115.894,2022-01-04 00:00:00+00:00,2022-01-04 06:00:00+00:00,2022-01-04 08:00:00+00:00,2022-01-04 11:00:00+00:00,CHECKED
USDJPY,Robustness,RecentCombined,DOWN,2022-01-06,5,2021-01-19,2022-01-05,252,0.8472222222222222,-25.0,-0.39999999999906777,0.39999999999906777,116.121,115.868,115.871,115.867,2022-01-06 00:00:00+00:00,2022-01-06 06:00:00+00:00,2022-01-06 08:00:00+00:00,2022-01-06 11:00:00+00:00,CHECKED
