Pair,Method,Period,TokyoDirection,N,CalendarWeeks,Mean,Median,Std,PositiveRate,NegativeRate,ZeroRate,TotalAlignedPips,CILow,CIHigh,PUnadjusted,ValidBootstraps,Status
EURAUD,Primary,Historical,UP,138,106,-2.1869565217390408,-0.700000000000145,52.783894671149675,0.4782608695652174,0.5217391304347826,0.0,-301.7999999999876,-11.496471450312775,7.0728278332609635,0.6266746650669867,5000,OK
EURAUD,Primary,Historical,DOWN,144,109,5.261111111110991,5.249999999999977,37.13241305727513,0.5486111111111112,0.4513888888888889,0.0,757.5999999999827,-1.2291446051169,11.792098047021213,0.11597680463907219,5000,OK
EURAUD,Robustness,Historical,UP,148,117,5.797972972973059,2.900000000001235,48.32026021125736,0.5472972972972973,0.4527027027027027,0.0,858.1000000000128,-1.3610305221080448,13.895142450142561,0.131373725254949,5000,OK
EURAUD,Robustness,Historical,DOWN,140,107,5.482142857142753,3.5999999999991594,43.16617258695481,0.5357142857142857,0.4642857142857143,0.0,767.4999999999854,-2.214319196428581,13.782637312475295,0.1861627674465107,5000,OK
USDJPY,Primary,Historical,UP,130,108,-1.0815384615384223,-1.4500000000005286,24.256746155428637,0.46153846153846156,0.5307692307692308,0.007692307692307693,-140.5999999999949,-5.975896584440158,4.214630398393137,0.674865026994601,5000,OK
USDJPY,Primary,Historical,DOWN,164,119,-0.11280487804870389,-1.8999999999998352,24.636214939858753,0.4634146341463415,0.5365853658536586,0.0,-18.499999999987438,-3.838484374999925,3.42151837524181,0.9524095180963807,5000,OK
USDJPY,Robustness,Historical,UP,142,114,-1.9894366197182818,-1.4500000000005286,23.633347961102924,0.4507042253521127,0.5422535211267606,0.007042253521126761,-282.499999999996,-6.312680118016578,2.640552577277924,0.3607278544291142,5000,OK
USDJPY,Robustness,Historical,DOWN,146,111,0.9541095890411547,-1.2499999999995737,25.26858517582468,0.4794520547945205,0.5205479452054794,0.0,139.3000000000086,-3.1691700487012313,5.046141455769698,0.6556688662267547,5000,OK
EURAUD,Primary,RecentA,UP,59,48,-3.1372881355933373,4.499999999998394,40.525057800826836,0.5423728813559322,0.4576271186440678,0.0,-185.1000000000069,-13.453101503759376,6.83406779660993,0.5444911017796441,5000,OK
EURAUD,Primary,RecentA,DOWN,65,49,6.058461538461603,9.699999999999154,34.68901975187767,0.5692307692307692,0.4307692307692308,0.0,393.80000000000416,-1.5701481481481045,14.166227477477625,0.1295740851829634,5000,OK
EURAUD,Robustness,RecentA,UP,54,47,-1.0296296296297545,6.499999999999284,42.49017035996336,0.5740740740740741,0.42592592592592593,0.0,-55.600000000006744,-12.284237882653182,9.518838343459803,0.8500299940011997,5000,OK
EURAUD,Robustness,RecentA,DOWN,67,55,1.8805970149253646,6.299999999999084,37.44690479099792,0.5223880597014925,0.47761194029850745,0.0,125.99999999999943,-7.660861969111903,11.760664362519059,0.6968606278744252,5000,OK
USDJPY,Primary,RecentA,UP,76,56,-0.20921052631549822,2.7999999999991587,43.08125710834214,0.5526315789473685,0.4473684210526316,0.0,-15.899999999977865,-9.33733030055163,7.994895382395717,0.9654069186162767,5000,OK
USDJPY,Primary,RecentA,DOWN,58,43,5.524137931034374,5.799999999999272,38.675316532549765,0.6206896551724138,0.3793103448275862,0.0,320.39999999999367,-4.325048076923124,14.787615131578752,0.24495100979804038,5000,OK
USDJPY,Robustness,RecentA,UP,77,56,-5.662337662337551,-1.6999999999995907,45.99841541595977,0.45454545454545453,0.5454545454545454,0.0,-435.9999999999914,-15.640275974025762,3.735746086105768,0.2479504099180164,5000,OK
USDJPY,Robustness,RecentA,DOWN,63,41,5.9015873015871945,5.5999999999997385,40.11694795929615,0.6031746031746031,0.3968253968253968,0.0,371.79999999999325,-3.5894026988634944,15.923247252747187,0.22535492901419715,5000,OK
EURAUD,Primary,RecentB,UP,49,39,0.4285714285712902,-0.700000000000145,37.448598104602084,0.4489795918367347,0.5510204081632653,0.0,20.99999999999322,-9.200163043478453,10.619673202614377,0.9306138772245551,5000,OK
EURAUD,Primary,RecentB,DOWN,41,37,7.8341463414636126,-1.0999999999983245,48.11600882116079,0.4634146341463415,0.5365853658536586,0.0,321.2000000000081,-4.4517823858341625,21.65333333333309,0.24315136972605478,5000,OK
