Period,Pair,CandidateDays,INSUFFICIENT_TOKYO_RANGE_DATA,OK,INSUFFICIENT_LONDON_EVENT_DATA,MISSING_LONDON_11_OPEN
Historical,USDJPY,1827,73,1750,4.0,
Historical,EURJPY,1827,47,1776,4.0,
Historical,GBPJPY,1827,61,1761,5.0,
Historical,AUDJPY,1827,45,1779,3.0,
Historical,AUDUSD,1827,69,1753,5.0,
Historical,EURAUD,1827,52,1771,4.0,
Historical,GBPAUD,1827,59,1766,2.0,
RecentA,USDJPY,520,11,507,2.0,
RecentA,EURJPY,520,7,511,2.0,
RecentA,GBPJPY,520,6,512,2.0,
RecentA,AUDJPY,520,7,511,2.0,
RecentA,AUDUSD,520,7,511,2.0,
RecentA,EURAUD,520,6,512,2.0,
RecentA,GBPAUD,520,6,512,2.0,
RecentB,USDJPY,523,14,506,2.0,1.0
RecentB,EURJPY,523,12,508,2.0,1.0
RecentB,GBPJPY,523,13,507,2.0,1.0
RecentB,AUDJPY,523,13,507,2.0,1.0
RecentB,AUDUSD,523,14,505,3.0,1.0
RecentB,EURAUD,523,12,508,2.0,1.0
RecentB,GBPAUD,523,12,508,2.0,1.0
Monitor2026,USDJPY,180,4,176,,
Monitor2026,EURJPY,180,4,176,,
Monitor2026,GBPJPY,180,4,176,,
Monitor2026,AUDJPY,180,4,176,,
Monitor2026,AUDUSD,180,4,176,,
Monitor2026,EURAUD,180,4,176,,
Monitor2026,GBPAUD,180,4,176,,
RecentCombined,USDJPY,1223,29,1189,4.0,1.0
RecentCombined,EURJPY,1223,23,1195,4.0,1.0
RecentCombined,GBPJPY,1223,23,1195,4.0,1.0
RecentCombined,AUDJPY,1223,24,1194,4.0,1.0
RecentCombined,AUDUSD,1223,25,1192,5.0,1.0
RecentCombined,EURAUD,1223,22,1196,4.0,1.0
RecentCombined,GBPAUD,1223,22,1196,4.0,1.0
ALL,USDJPY,3050,102,2939,8.0,1.0
ALL,EURJPY,3050,70,2971,8.0,1.0
ALL,GBPJPY,3050,84,2956,9.0,1.0
ALL,AUDJPY,3050,69,2973,7.0,1.0
ALL,AUDUSD,3050,94,2945,10.0,1.0
ALL,EURAUD,3050,74,2967,8.0,1.0
ALL,GBPAUD,3050,81,2962,6.0,1.0
