Period,Pair,Event,N,RawOutcomeMeanPips
Historical,USDJPY,UP_BREAKOUT,341,0.7686217008797807
Historical,USDJPY,DOWN_BREAKOUT,313,-0.24121405750805386
Historical,USDJPY,UP_SWEEP,229,-0.3253275109169767
Historical,USDJPY,DOWN_SWEEP,183,0.8792349726775306
Historical,USDJPY,BOTH_SIDES,15,-0.20666666666642186
Historical,USDJPY,NO_BREAK,669,0.4473841554559015
Historical,EURJPY,UP_BREAKOUT,395,0.2994936708861856
Historical,EURJPY,DOWN_BREAKOUT,362,-1.1790055248618354
Historical,EURJPY,UP_SWEEP,259,-0.19768339768349114
Historical,EURJPY,DOWN_SWEEP,241,-2.705394190871403
Historical,EURJPY,BOTH_SIDES,54,-1.5740740740741688
Historical,EURJPY,NO_BREAK,465,0.1264516129031328
Historical,GBPJPY,UP_BREAKOUT,416,0.978846153846134
Historical,GBPJPY,DOWN_BREAKOUT,417,0.8860911270983131
Historical,GBPJPY,UP_SWEEP,232,-2.387931034482773
Historical,GBPJPY,DOWN_SWEEP,233,1.9957081545064768
Historical,GBPJPY,BOTH_SIDES,85,1.7541176470588733
Historical,GBPJPY,NO_BREAK,378,3.9915343915344463
Historical,AUDJPY,UP_BREAKOUT,331,1.268580060423016
Historical,AUDJPY,DOWN_BREAKOUT,279,-0.8999999999999909
Historical,AUDJPY,UP_SWEEP,222,0.23198198198203984
Historical,AUDJPY,DOWN_SWEEP,193,-0.5139896373057239
Historical,AUDJPY,BOTH_SIDES,8,-0.7875000000000298
Historical,AUDJPY,NO_BREAK,746,-0.2470509383377935
Historical,AUDUSD,UP_BREAKOUT,350,0.31914285714282903
Historical,AUDUSD,DOWN_BREAKOUT,309,-0.8407766990291693
Historical,AUDUSD,UP_SWEEP,209,-0.62153110047844
Historical,AUDUSD,DOWN_SWEEP,218,0.2642201834862839
Historical,AUDUSD,BOTH_SIDES,11,3.1090909090908894
Historical,AUDUSD,NO_BREAK,656,-0.2314024390243611
Historical,EURAUD,UP_BREAKOUT,358,-1.6801675977653487
Historical,EURAUD,DOWN_BREAKOUT,354,0.1564971751411833
Historical,EURAUD,UP_SWEEP,207,-0.6724637681159599
Historical,EURAUD,DOWN_SWEEP,255,0.006666666666718896
Historical,EURAUD,BOTH_SIDES,20,-12.909999999999759
Historical,EURAUD,NO_BREAK,577,0.3932409012131004
Historical,GBPAUD,UP_BREAKOUT,345,4.564927536231933
Historical,GBPAUD,DOWN_BREAKOUT,414,3.032850241545886
Historical,GBPAUD,UP_SWEEP,216,-0.31064814814821956
Historical,GBPAUD,DOWN_SWEEP,253,2.5545454545454875
Historical,GBPAUD,BOTH_SIDES,37,-10.770270270270075
Historical,GBPAUD,NO_BREAK,501,0.8582834331337137
RecentA,USDJPY,UP_BREAKOUT,110,0.8500000000001312
RecentA,USDJPY,DOWN_BREAKOUT,87,-0.3333333333333242
RecentA,USDJPY,UP_SWEEP,53,1.35471698113227
RecentA,USDJPY,DOWN_SWEEP,48,5.6833333333335
RecentA,USDJPY,BOTH_SIDES,5,-1.820000000000448
RecentA,USDJPY,NO_BREAK,204,-0.6598039215685317
RecentA,EURJPY,UP_BREAKOUT,144,1.5402777777777605
RecentA,EURJPY,DOWN_BREAKOUT,97,-1.6103092783504545
RecentA,EURJPY,UP_SWEEP,67,-3.697014925372801
RecentA,EURJPY,DOWN_SWEEP,73,5.8191780821917485
RecentA,EURJPY,BOTH_SIDES,18,-4.266666666666828
RecentA,EURJPY,NO_BREAK,112,-1.9482142857142115
RecentA,GBPJPY,UP_BREAKOUT,117,-3.0333333333331933
RecentA,GBPJPY,DOWN_BREAKOUT,119,3.9352941176470764
RecentA,GBPJPY,UP_SWEEP,74,4.097297297297081
RecentA,GBPJPY,DOWN_SWEEP,61,-1.4262295081966823
RecentA,GBPJPY,BOTH_SIDES,22,-5.613636363636038
RecentA,GBPJPY,NO_BREAK,119,4.569747899159439
RecentA,AUDJPY,UP_BREAKOUT,101,-0.2772277227721799
RecentA,AUDJPY,DOWN_BREAKOUT,90,0.512222222222189
RecentA,AUDJPY,UP_SWEEP,80,-2.0850000000000612
RecentA,AUDJPY,DOWN_SWEEP,49,-1.3489795918368825
RecentA,AUDJPY,BOTH_SIDES,1,-13.49999999999909
RecentA,AUDJPY,NO_BREAK,190,-0.057368421052613805
RecentA,AUDUSD,UP_BREAKOUT,99,0.667676767676746
RecentA,AUDUSD,DOWN_BREAKOUT,96,-1.7187500000000189
RecentA,AUDUSD,UP_SWEEP,73,-1.2589041095890758
RecentA,AUDUSD,DOWN_SWEEP,59,-1.0932203389830624
RecentA,AUDUSD,BOTH_SIDES,4,-7.525000000000171
RecentA,AUDUSD,NO_BREAK,180,-0.10555555555553171
RecentA,EURAUD,UP_BREAKOUT,110,5.577272727272768
RecentA,EURAUD,DOWN_BREAKOUT,98,-0.08163265306132832
RecentA,EURAUD,UP_SWEEP,62,-6.856451612903233
RecentA,EURAUD,DOWN_SWEEP,79,2.711392405063291
RecentA,EURAUD,BOTH_SIDES,4,-0.7749999999995261
RecentA,EURAUD,NO_BREAK,159,-0.28993710691829455
RecentA,GBPAUD,UP_BREAKOUT,100,5.79700000000012
RecentA,GBPAUD,DOWN_BREAKOUT,127,-3.677952755905515
RecentA,GBPAUD,UP_SWEEP,50,5.611999999999994
