Pair,Season,Kind,Date,Event,TokyoHigh,TokyoLow,EventHigh,EventLow,London09Open,London11Open,IndependentOutcomePips,AlignedPips,London09File,London09SourceRow,London11File,London11SourceRow,Status
USDJPY,winter,BREAKOUT,2015-01-06,DOWN_BREAKOUT,119.507,118.885,119.237,118.751,118.878,118.964,8.599999999999852,-8.599999999999852,USDJPY_M1_201501020900_201612302359.csv,3001,USDJPY_M1_201501020900_201612302359.csv,3121,PASS
USDJPY,winter,SWEEP,2015-01-07,UP_SWEEP,119.167,118.642,119.203,118.97,119.072,119.153,8.100000000000307,-8.100000000000307,USDJPY_M1_201501020900_201612302359.csv,4441,USDJPY_M1_201501020900_201612302359.csv,4561,PASS
USDJPY,summer,BREAKOUT,2015-03-30,UP_BREAKOUT,119.292,119.117,119.709,119.346,119.671,119.665,-0.6000000000000227,-0.6000000000000227,USDJPY_M1_201501020900_201612302359.csv,87676,USDJPY_M1_201501020900_201612302359.csv,87796,PASS
USDJPY,summer,SWEEP,2015-04-02,DOWN_SWEEP,119.75,119.509,119.593,119.448,119.52,119.578,5.8000000000006935,5.8000000000006935,USDJPY_M1_201501020900_201612302359.csv,91996,USDJPY_M1_201501020900_201612302359.csv,92116,PASS
EURJPY,winter,BREAKOUT,2015-01-06,DOWN_BREAKOUT,142.671,142.149,142.343,141.695,141.993,141.544,-44.899999999998386,44.899999999998386,EURJPY_M1_201501020900_201612302359.csv,3002,EURJPY_M1_201501020900_201612302359.csv,3122,PASS
EURJPY,winter,SWEEP,2015-01-05,UP_SWEEP,144.055,143.606,144.152,143.875,143.882,143.468,-41.40000000000157,41.40000000000157,EURJPY_M1_201501020900_201612302359.csv,1562,EURJPY_M1_201501020900_201612302359.csv,1682,PASS
EURJPY,summer,BREAKOUT,2015-03-31,DOWN_BREAKOUT,130.248,129.499,129.558,129.194,129.223,128.758,-46.50000000000034,46.50000000000034,EURJPY_M1_201501020900_201612302359.csv,89154,EURJPY_M1_201501020900_201612302359.csv,89274,PASS
EURJPY,summer,SWEEP,2015-03-30,DOWN_SWEEP,129.777,129.435,129.728,129.299,129.625,129.788,16.30000000000109,16.30000000000109,EURJPY_M1_201501020900_201612302359.csv,87714,EURJPY_M1_201501020900_201612302359.csv,87834,PASS
GBPJPY,winter,BREAKOUT,2015-01-06,DOWN_BREAKOUT,182.301,181.387,181.575,180.909,181.196,180.658,-53.80000000000109,53.80000000000109,GBPJPY_M1_201501020900_201612302359.csv,3002,GBPJPY_M1_201501020900_201612302359.csv,3122,PASS
GBPJPY,winter,SWEEP,2015-01-07,UP_SWEEP,180.379,179.546,180.469,180.08,180.107,180.367,25.99999999999909,-25.99999999999909,GBPJPY_M1_201501020900_201612302359.csv,4442,GBPJPY_M1_201501020900_201612302359.csv,4562,PASS
GBPJPY,summer,BREAKOUT,2015-04-13,UP_BREAKOUT,176.07,175.448,176.262,175.679,176.123,176.209,8.600000000001273,8.600000000001273,GBPJPY_M1_201501020900_201612302359.csv,102085,GBPJPY_M1_201501020900_201612302359.csv,102205,PASS
GBPJPY,summer,SWEEP,2015-03-31,DOWN_SWEEP,178.052,177.458,177.683,177.385,177.511,177.324,-18.69999999999834,-18.69999999999834,GBPJPY_M1_201501020900_201612302359.csv,89153,GBPJPY_M1_201501020900_201612302359.csv,89273,PASS
AUDJPY,winter,BREAKOUT,2015-01-09,DOWN_BREAKOUT,97.416,96.987,97.007,96.859,96.928,96.977,4.900000000000659,-4.900000000000659,AUDJPY_M1_201501020900_201612302359.csv,7322,AUDJPY_M1_201501020900_201612302359.csv,7442,PASS
AUDJPY,winter,SWEEP,2015-01-06,DOWN_SWEEP,97.205,96.577,96.861,96.563,96.693,96.714,2.1000000000000796,2.1000000000000796,AUDJPY_M1_201501020900_201612302359.csv,3002,AUDJPY_M1_201501020900_201612302359.csv,3122,PASS
AUDJPY,summer,BREAKOUT,2015-03-31,DOWN_BREAKOUT,92.063,91.626,91.636,91.328,91.431,91.323,-10.80000000000041,10.80000000000041,AUDJPY_M1_201501020900_201612302359.csv,88515,AUDJPY_M1_201501020900_201612302359.csv,88635,PASS
AUDJPY,summer,SWEEP,2015-04-06,UP_SWEEP,90.952,90.647,90.995,90.883,90.92,90.863,-5.700000000000216,5.700000000000216,AUDJPY_M1_201501020900_201612302359.csv,94267,AUDJPY_M1_201501020900_201612302359.csv,94387,PASS
AUDUSD,winter,BREAKOUT,2015-01-12,DOWN_BREAKOUT,0.82515,0.82118,0.82244,0.81802,0.81847,0.81664,-18.299999999999983,18.299999999999983,AUDUSD_M1_201501020900_201612302359.csv,8762,AUDUSD_M1_201501020900_201612302359.csv,8882,PASS
AUDUSD,winter,SWEEP,2015-01-08,UP_SWEEP,0.81146,0.80736,0.81166,0.81028,0.81115,0.80993,-12.199999999999989,12.199999999999989,AUDUSD_M1_201501020900_201612302359.csv,5882,AUDUSD_M1_201501020900_201612302359.csv,6002,PASS
AUDUSD,summer,BREAKOUT,2015-03-30,DOWN_BREAKOUT,0.7739,0.77113,0.77085,0.76828,0.76873,0.76864,-0.900000000000345,0.900000000000345,AUDUSD_M1_201501020900_201612302359.csv,87708,AUDUSD_M1_201501020900_201612302359.csv,87828,PASS
AUDUSD,summer,SWEEP,2015-04-20,UP_SWEEP,0.7825,0.77987,0.78251,0.78057,0.78172,0.77888,-28.399999999999537,28.399999999999537,AUDUSD_M1_201501020900_201612302359.csv,109236,AUDUSD_M1_201501020900_201612302359.csv,109356,PASS
EURAUD,winter,BREAKOUT,2015-01-08,DOWN_BREAKOUT,1.46517,1.45674,1.45832,1.45355,1.45366,1.45271,-9.500000000000064,9.500000000000064,EURAUD_M1_201501020900_201612302359.csv,5882,EURAUD_M1_201501020900_201612302359.csv,6002,PASS
EURAUD,winter,SWEEP,2015-01-05,UP_SWEEP,1.48422,1.47605,1.48604,1.47997,1.48007,1.47773,-23.400000000000087,23.400000000000087,EURAUD_M1_201501020900_201612302359.csv,1562,EURAUD_M1_201501020900_201612302359.csv,1682,PASS
EURAUD,summer,BREAKOUT,2015-04-02,UP_BREAKOUT,1.42253,1.41559,1.4282,1.42502,1.42555,1.42991,43.59999999999919,43.59999999999919,EURAUD_M1_201501020900_201612302359.csv,92031,EURAUD_M1_201501020900_201612302359.csv,92151,PASS
EURAUD,summer,SWEEP,2015-03-30,UP_SWEEP,1.40937,1.40354,1.40966,1.40548,1.40862,1.4107,20.800000000000818,-20.800000000000818,EURAUD_M1_201501020900_201612302359.csv,87711,EURAUD_M1_201501020900_201612302359.csv,87831,PASS
GBPAUD,winter,BREAKOUT,2015-01-08,DOWN_BREAKOUT,1.87029,1.85926,1.85943,1.85288,1.85323,1.85846,52.30000000000068,-52.30000000000068,GBPAUD_M1_201501020900_201612302359.csv,5882,GBPAUD_M1_201501020900_201612302359.csv,6002,PASS
GBPAUD,winter,SWEEP,2015-01-06,DOWN_SWEEP,1.88646,1.87329,1.87499,1.87202,1.87374,1.86771,-60.2999999999998,-60.2999999999998,GBPAUD_M1_201501020900_201612302359.csv,3002,GBPAUD_M1_201501020900_201612302359.csv,3122,PASS
GBPAUD,summer,BREAKOUT,2015-03-30,UP_BREAKOUT,1.92718,1.91876,1.92918,1.92067,1.9291,1.92967,5.699999999999594,5.699999999999594,GBPAUD_M1_201501020900_201612302359.csv,87763,GBPAUD_M1_201501020900_201612302359.csv,87883,PASS
GBPAUD,summer,SWEEP,2015-04-02,UP_SWEEP,1.9593,1.95007,1.96011,1.95447,1.95549,1.95484,-6.500000000000394,6.500000000000394,GBPAUD_M1_201501020900_201612302359.csv,92080,GBPAUD_M1_201501020900_201612302359.csv,92200,PASS
