Pair,Hypothesis,RawP,HolmAdjustedP,CILow,CIHigh,C
USDJPY,BREAKOUT_CONTINUATION,0.09778044391121776,1.0,-0.17975138929749762,2.1172078607227935,FAIL
USDJPY,SWEEP_REVERSAL,0.8292341531693661,1.0,-1.1298088657863303,1.4095706611273886,FAIL
EURJPY,BREAKOUT_CONTINUATION,0.07618476304739052,1.0,-0.16827742346973307,2.5426637955878166,FAIL
EURJPY,SWEEP_REVERSAL,0.8294341131773645,1.0,-1.8421998811918847,1.460519713498263,FAIL
GBPJPY,BREAKOUT_CONTINUATION,0.8116376724655069,1.0,-1.5660186336225486,2.004891775266199,FAIL
GBPJPY,SWEEP_REVERSAL,0.4211157768446311,1.0,-1.2848785444164483,2.9879552188686085,FAIL
AUDJPY,BREAKOUT_CONTINUATION,0.3715256948610278,1.0,-0.6274340069224904,1.740298853754176,FAIL
AUDJPY,SWEEP_REVERSAL,0.6876624675064987,1.0,-1.5197399528513849,1.1172471136885613,FAIL
AUDUSD,BREAKOUT_CONTINUATION,0.11017796440711858,1.0,-0.14365995597847048,1.3918468415341854,FAIL
AUDUSD,SWEEP_REVERSAL,0.6032793441311738,1.0,-0.6063105811795038,1.1046610414657956,FAIL
EURAUD,BREAKOUT_CONTINUATION,0.5382923415316937,1.0,-1.9988646417877662,1.0961547998596826,FAIL
EURAUD,SWEEP_REVERSAL,0.4589082183563287,1.0,-1.0100992808817921,2.363323173367971,FAIL
GBPAUD,BREAKOUT_CONTINUATION,0.23095380923815237,1.0,-0.7477115708415802,3.094841823033744,FAIL
GBPAUD,SWEEP_REVERSAL,0.2445510897820436,1.0,-1.0946456061393206,4.308031541571673,FAIL
