Period,Pair,Hypothesis,N,Weeks,MeanAlignedPips,MedianAlignedPips,SDAlignedPips,TotalAlignedPips,PositiveRate,NegativeRate,ZeroRate,CILow,CIHigh,RawP,ValidBootstraps,Status,HolmAdjustedP,A,B,C,D,E,F,G,Verdict
ALL,USDJPY,BREAKOUT_CONTINUATION,1113,555,0.9858939802336272,0.40000000000190994,20.007348212492914,1097.300000000027,0.5103324348607368,0.4887690925426775,0.0008984725965858042,-0.17975138929749762,2.1172078607227935,0.09778044391121776,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,USDJPY,SWEEP_REVERSAL,664,433,0.14367469879511982,0.34999999999953957,16.640241499297858,95.39999999995956,0.5075301204819277,0.4924698795180723,0.0,-1.1298088657863303,1.4095706611273886,0.8292341531693661,5000,OK,1.0,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,NOT_SUPPORTED
ALL,EURJPY,BREAKOUT_CONTINUATION,1292,579,1.2205108359133463,0.10000000000047748,25.414459226420245,1576.9000000000433,0.5015479876160991,0.4969040247678019,0.0015479876160990713,-0.16827742346973307,2.5426637955878166,0.07618476304739052,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,EURJPY,SWEEP_REVERSAL,818,475,-0.18618581907097193,-0.0999999999990564,23.83079156386314,-152.30000000005504,0.49877750611246946,0.5012224938875306,0.0,-1.8421998811918847,1.460519713498263,0.8294341131773645,5000,OK,1.0,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,NOT_SUPPORTED
ALL,GBPJPY,BREAKOUT_CONTINUATION,1373,575,0.21886380189364654,0.10000000000047748,35.85804638901,300.4999999999767,0.5010924981791697,0.4981791697013838,0.0007283321194464676,-1.5660186336225486,2.004891775266199,0.8116376724655069,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,GBPJPY,SWEEP_REVERSAL,791,465,0.8816687737042009,0.39999999999906777,32.68379159707512,697.4000000000229,0.5056890012642224,0.49051833122629585,0.0037926675094816687,-1.2848785444164483,2.9879552188686085,0.4211157768446311,5000,OK,1.0,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,NOT_SUPPORTED
ALL,AUDJPY,BREAKOUT_CONTINUATION,1033,526,0.5421103581800898,0.7999999999995566,18.1754583182091,560.0000000000327,0.5150048402710552,0.484027105517909,0.000968054211035818,-0.6274340069224904,1.740298853754176,0.3715256948610278,5000,OK,1.0,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,NOT_SUPPORTED
ALL,AUDJPY,SWEEP_REVERSAL,682,431,-0.2639296187683739,-0.49999999999954525,17.033289194287846,-180.00000000003098,0.4736070381231672,0.5205278592375366,0.005865102639296188,-1.5197399528513849,1.1172471136885613,0.6876624675064987,5000,OK,1.0,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,NOT_SUPPORTED
ALL,AUDUSD,BREAKOUT_CONTINUATION,1076,534,0.619702602230486,0.20000000000020002,12.847051686194439,666.8000000000029,0.5055762081784386,0.491635687732342,0.0027881040892193307,-0.14365995597847048,1.3918468415341854,0.11017796440711858,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,AUDUSD,SWEEP_REVERSAL,720,441,0.23875000000001595,0.2999999999997449,11.757347826815499,171.9000000000115,0.5055555555555555,0.49444444444444446,0.0,-0.6063105811795038,1.1046610414657956,0.6032793441311738,5000,OK,1.0,PASS,FAIL,FAIL,PASS,FAIL,FAIL,PASS,NOT_SUPPORTED
ALL,EURAUD,BREAKOUT_CONTINUATION,1154,551,-0.476603119584001,-0.30000000000085514,26.379466644292076,-549.9999999999371,0.49220103986135183,0.5051993067590987,0.0025996533795493936,-1.9988646417877662,1.0961547998596826,0.5382923415316937,5000,OK,1.0,FAIL,FAIL,FAIL,FAIL,PASS,PASS,PASS,NOT_SUPPORTED
ALL,EURAUD,SWEEP_REVERSAL,762,471,0.642519685039418,0.24999999999941735,22.443664101358753,489.6000000000366,0.505249343832021,0.494750656167979,0.0,-1.0100992808817921,2.363323173367971,0.4589082183563287,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,GBPAUD,BREAKOUT_CONTINUATION,1224,551,1.1776960784313815,1.3499999999988521,35.251970724855234,1441.500000000011,0.5171568627450981,0.4812091503267974,0.0016339869281045752,-0.7477115708415802,3.094841823033744,0.23095380923815237,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
ALL,GBPAUD,SWEEP_REVERSAL,754,478,1.6152519893899009,0.20000000000131024,35.890567305585485,1217.8999999999853,0.5053050397877984,0.493368700265252,0.001326259946949602,-1.0946456061393206,4.308031541571673,0.2445510897820436,5000,OK,1.0,PASS,FAIL,FAIL,PASS,PASS,PASS,PASS,NOT_SUPPORTED
