Filename,SHA256,Bytes,Rows,Publication
tokyo_range_london_phase1_coverage.csv,05352263a23b70322311e24db3ca02107a85a338d1ad0faecfe8f7e882bc40bd,1558,42,GITHUB
tokyo_range_london_phase1_daily_assignment.csv,4450e8b6963949ab0923667f153fb79eed2bc03a0fdbbb13489fbd7450df4a31,3390608,21350,LOCAL_ONLY
tokyo_range_london_phase1_direction_summary.csv,1c0f7e16b96f4f5a6a19f8f9906897a9379883c59aee4308371e5c093dbdef48,21925,168,GITHUB
tokyo_range_london_phase1_event_counts.csv,94bb134e004a120c8c46f042890f06f2ffc45676c5101b8f96d60198cbc9fb2f,12677,252,GITHUB
tokyo_range_london_phase1_family_summary.csv,72ab51e90d3f334060503224a1f710ca589349649fded8c1ad0a70893571f5ec,669,6,GITHUB
tokyo_range_london_phase1_input_audit.csv,e31431fe876d24050e3c8dd6b595c70e83b128e6b359d76da9cb6620dfa29c4b,9421,56,GITHUB
tokyo_range_london_phase1_manual_audit.csv,bd2ac4d3af89068ba23f163bbe2719848a68d81889d22263ad01e77b3aa1a1bb,6479,28,GITHUB
tokyo_range_london_phase1_multiple_comparison.csv,8eb8a9b13324352df10f43bc0a2e8b8cca2b8e108df41e4b2c4cf86083f67baa,1346,14,GITHUB
tokyo_range_london_phase1_pair_hypothesis_summary.csv,5540a5fb1ad19592d14ec325b87a76228bdb2882aec9907bd3b3d90a3ad792f0,4237,14,GITHUB
tokyo_range_london_phase1_period_summary.csv,76701fedb2fac172782e6cbf19452995e22d6656d692706928e3e923b3ef0022,19575,84,GITHUB
tokyo_range_london_phase1_run_record.csv,f486ae03f728a050f7756dc18f714a1a4a3b1a2852f8e1f43f4607dc473f083b,378,1,GITHUB
tokyo_range_london_phase1_validation.csv,7bed0501f1ca83e31d98c9d1214c964d5cc197747e94cf0ad247a871bf54066f,360,11,GITHUB
