Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,RegimeOrder,HighMinusLowAvgR
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,-0.03332853356708723,0.03428026742933169,5000,trade_weighted,LOW,5129.0,435.454621841,0.08490049168278417,1.4304959768171972,55.488399298108796,0.5084234253973999,-0.44540662564509026,False,HIGH < LOW < NORMAL,-0.0001330011840756512
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.09221597330199444,,,,,,LOW < NORMAL < HIGH,0.01463620791500321
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,-0.03332853356708723,0.03428026742933169,5000,trade_weighted,NORMAL,4881.0,452.669481592,0.09274113533947961,1.4507061103069347,55.07068223724647,0.5420482490372024,-0.4596595935102975,False,HIGH < LOW < NORMAL,-0.0001330011840756512
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.09426582822772651,,,,,,LOW < NORMAL < HIGH,0.01463620791500321
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,-0.03332853356708723,0.03428026742933169,5000,trade_weighted,HIGH,5033.0,426.63477968,0.08476749049870852,1.3748509616418163,53.58633022054441,0.5801927567271041,-0.48868402113052806,False,HIGH < LOW < NORMAL,-0.0001330011840756512
FULL,primary,Portfolio,26,1|2|3|4|5|6|7|8|9|10|11|12|13|15|17|18|19|20|21|22|23|24|25|26|27|28,11,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.10685218121699765,,,,,,LOW < NORMAL < HIGH,0.01463620791500321
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,-0.05238569026776384,0.04293826998086445,5000,trade_weighted,LOW,2939.0,311.775681714,0.10608223263490982,1.5151998536950588,55.76726777815584,0.5594450977888957,-0.4673010297776062,False,HIGH < LOW < NORMAL,-0.0056737504858328375
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.11373186457956723,,,,,,LOW < NORMAL < HIGH,0.02111301178688811
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,-0.05238569026776384,0.04293826998086445,5000,trade_weighted,NORMAL,2884.0,325.846190812,0.11298411609292648,1.5301893648837201,55.89459084604715,0.5833937581476426,-0.48545382884834126,False,HIGH < LOW < NORMAL,-0.0056737504858328375
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.11583495338982464,,,,,,LOW < NORMAL < HIGH,0.02111301178688811
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,-0.05238569026776384,0.04293826998086445,5000,trade_weighted,HIGH,2871.0,288.27275225,0.10040848214907698,1.4450265246784995,54.30163706025775,0.6004092874778704,-0.49485510078533235,False,HIGH < LOW < NORMAL,-0.0056737504858328375
FULL,primary,JPY,15,1|2|3|4|5|6|7|8|9|10|11|12|13|15|26,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.13484487636645534,,,,,,LOW < NORMAL < HIGH,0.02111301178688811
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,-0.036693262676273285,0.053304546461632324,5000,trade_weighted,LOW,2190.0,123.678940127,0.05647440188447489,1.3043553509363774,55.11415525114155,0.43914047506628007,-0.4163561611454918,False,LOW < NORMAL < HIGH,0.00752283559471105
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.06287612155984976,,,,,,LOW < NORMAL < HIGH,0.005804202635160086
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,-0.036693262676273285,0.053304546461632324,5000,trade_weighted,NORMAL,1997.0,126.82329078000001,0.06350690574862294,1.3253784262212596,53.880821231847776,0.48010683576022306,-0.42412585908378675,False,LOW < NORMAL < HIGH,0.00752283559471105
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.06485338482486545,,,,,,LOW < NORMAL < HIGH,0.005804202635160086
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,-0.036693262676273285,0.053304546461632324,5000,trade_weighted,HIGH,2162.0,138.36202743,0.06399723747918594,1.2821528113515372,52.63644773358001,0.552497175496485,-0.48076446890686275,False,LOW < NORMAL < HIGH,0.00752283559471105
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,5,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.06868032419500984,,,,,,LOW < NORMAL < HIGH,0.005804202635160086
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,-0.041031087460432734,0.04044372060221933,5000,trade_weighted,LOW,2998.0,251.66975459900002,0.08394588212108073,1.4576182988378519,56.104069379586385,0.47659059045957197,-0.4198134492778626,False,HIGH < LOW < NORMAL,-0.0004896882749006459
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.09005413453178586,,,,,,NORMAL < HIGH < LOW,-0.007427417112562951
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,-0.041031087460432734,0.04044372060221933,5000,trade_weighted,NORMAL,2872.0,241.791839448,0.08418935913927576,1.4500532918703914,57.033426183844014,0.475606479525641,-0.4371453002563059,False,HIGH < LOW < NORMAL,-0.0004896882749006459
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.07783785499394218,,,,,,NORMAL < HIGH < LOW,-0.007427417112562951
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,-0.041031087460432734,0.04044372060221933,5000,trade_weighted,HIGH,2932.0,244.693560357,0.08345619384618008,1.411235141109051,54.91132332878581,0.5215618620801242,-0.4518003322642369,False,HIGH < LOW < NORMAL,-0.0004896882749006459
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,6,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.08262671741922291,,,,,,NORMAL < HIGH < LOW,-0.007427417112562951
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.05366291000373031,0.05702369782364844,5000,trade_weighted,LOW,2131.0,183.784867242,0.08624348533176912,1.3981795239544739,54.622243078366964,0.554422418838488,-0.4802943062289282,False,LOW < HIGH < NORMAL,0.0003539536606154553
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.09473811853390446,,,,,,LOW < NORMAL < HIGH,0.040377103780497026
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.05366291000373031,0.05702369782364844,5000,trade_weighted,NORMAL,2009.0,210.877642144,0.10496647194823294,1.4514569650495188,52.264808362369344,0.6456974094752381,-0.4886031776202929,False,LOW < HIGH < NORMAL,0.0003539536606154553
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.11343179700047491,,,,,,LOW < NORMAL < HIGH,0.040377103780497026
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,-0.05366291000373031,0.05702369782364844,5000,trade_weighted,HIGH,2101.0,181.94121932299998,0.08659743899238458,1.3349901741967447,51.73726796763446,0.6670333642539098,-0.5366838415227273,False,LOW < HIGH < NORMAL,0.0003539536606154553
FULL,primary,Short,12,5|9|10|11|12|15|17|18|20|23|27|28,7,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.13511522231440148,,,,,,LOW < NORMAL < HIGH,0.040377103780497026
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,-0.02218611287644207,0.046414264804885676,5000,trade_weighted,LOW,5037.0,394.290453791,0.07827882743517967,1.3744506083714947,54.059956323208255,0.5314999382937936,-0.4562321829215771,False,LOW < HIGH < NORMAL,0.011852517786179559
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.08169860551571353,,,,,,LOW < HIGH < NORMAL,0.005706176833016732
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,-0.02218611287644207,0.046414264804885676,5000,trade_weighted,NORMAL,4886.0,452.465945157,0.0926045733027016,1.4622393850780318,55.25992632009824,0.530119358844074,-0.449635426606339,False,LOW < HIGH < NORMAL,0.011852517786179559
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.09484426351284685,,,,,,LOW < HIGH < NORMAL,0.005706176833016732
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,-0.02218611287644207,0.046414264804885676,5000,trade_weighted,HIGH,5150.0,464.17642789,0.09013134522135922,1.4097917123661,54.737864077669904,0.5664737482153246,-0.48844892985295385,False,LOW < HIGH < NORMAL,0.011852517786179559
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,16,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.08740478234873027,,,,,,LOW < HIGH < NORMAL,0.005706176833016732
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,-0.0283591374790666,0.07002651321931047,5000,trade_weighted,LOW,2861.0,241.906598803,0.08455316281125481,1.378885730807876,53.65256903180706,0.5735342570065147,-0.48295649447957634,False,LOW < HIGH < NORMAL,0.02033819658495907
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.08465227822099461,,,,,,LOW < HIGH < NORMAL,0.012721525922693808
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,-0.0283591374790666,0.07002651321931047,5000,trade_weighted,NORMAL,2840.0,366.056434318,0.1288931106753521,1.6520671980015356,57.07746478873239,0.5721374615262184,-0.46203982783209874,False,LOW < HIGH < NORMAL,0.02033819658495907
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.13540512933387908,,,,,,LOW < HIGH < NORMAL,0.012721525922693808
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,-0.0283591374790666,0.07002651321931047,5000,trade_weighted,HIGH,3011.0,315.827883142,0.10489135939621388,1.4692737838410421,55.197608767851214,0.5949711216281589,-0.5011274169798957,False,LOW < HIGH < NORMAL,0.02033819658495907
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,9,NOT_SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.09737380414368842,,,,,,LOW < HIGH < NORMAL,0.012721525922693808
