Symbol,DailyDate,DailyIndex,LastM1,AvailableAt,Open,High,Low,Close,M1Count,ADX14,IndependentADX14,ER20,IndependentER20,ReferenceStart,ReferenceEnd,primary,robustness,Status
USDJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,122.238,123.135,122.221,123.062,1020,26.934074858689915,26.934074858689925,0.2851051315982926,0.2851051315982926,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,HIGH,PASS
USDJPY,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,122.812,123.059,122.349,122.589,1439,20.70282925873957,20.702829258739584,0.3672337278106515,0.3672337278106515,2015-02-03,2015-11-23,NORMAL,HIGH,PASS
USDJPY,2022-01-19,2197,2022-01-19 23:59:00,2022-01-20,114.522,114.788,114.206,114.351,1440,27.366298552314976,27.366298552314984,0.0678241996744435,0.0678241996744435,2021-03-31,2022-01-18,HIGH,LOW,PASS
EURJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,131.241,132.208,130.639,131.728,1020,41.5978286099736,41.5978286099736,0.2449032258064502,0.2449032258064502,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,NORMAL,PASS
EURJPY,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,130.75,130.794,130.349,130.405,1440,43.23718975931778,43.23718975931777,0.3680698967434474,0.3680698967434474,2015-02-03,2015-11-23,HIGH,HIGH,PASS
EURJPY,2022-01-04,2184,2022-01-04 23:59:00,2022-01-05,130.362,131.313,130.022,131.165,1440,34.350882318378275,34.35088231837828,0.3860904794058012,0.3860904794058012,2021-03-16,2022-01-03,HIGH,HIGH,PASS
GBPJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,186.109,187.166,185.981,186.964,1020,12.62312333569228,12.623123335692286,0.1213153258954768,0.1213153258954768,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,LOW,PASS
GBPJPY,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,186.336,186.55,184.48,184.746,1440,14.31746433527904,14.317464335279054,0.1435735310149323,0.1435735310149323,2015-02-03,2015-11-23,LOW,LOW,PASS
GBPJPY,2022-01-03,2183,2022-01-03 23:59:00,2022-01-04,155.636,155.918,155.115,155.198,1015,34.36594323634065,34.365943236340634,0.5637346641713504,0.5637346641713504,2021-03-15,2022-01-01,HIGH,HIGH,PASS
GBPJPY,2026-09-07,3644,2026-09-07 23:59:00,2026-09-08,210.709,211.211,208.644,208.991,1080,30.868895659802003,30.86889565980203,0.4378978734931588,0.4378978734931588,2025-11-15,2026-09-05,HIGH,HIGH,PASS
AUDJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,87.028,87.606,86.813,87.213,1020,13.92148698480851,13.921486984808508,0.0524947180237298,0.0524947180237298,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,LOW,PASS
AUDJPY,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,88.411,88.703,88.026,88.61,1440,18.201798267046748,18.20179826704674,0.4008988067565503,0.4008988067565503,2015-02-03,2015-11-23,LOW,HIGH,PASS
AUDJPY,2022-01-05,2185,2022-01-05 23:59:00,2022-01-06,83.868,84.171,83.756,84.07,1440,25.3078583283011,25.307858328301087,0.4669067987393043,0.4669067987393043,2021-03-17,2022-01-04,NORMAL,HIGH,PASS
AUDUSD,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,0.71185,0.71321,0.70866,0.7087,1019,13.624010412476975,13.624010412476968,0.2292858310181397,0.2292858310181397,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,NORMAL,PASS
AUDUSD,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,0.71987,0.72364,0.71814,0.72291,1440,12.705477720465,12.705477720465,0.1499063085571518,0.1499063085571518,2015-02-03,2015-11-23,LOW,NORMAL,PASS
AUDUSD,2022-01-08,2188,2022-01-08 06:54:00,2022-01-09,0.71677,0.71876,0.71523,0.71812,415,16.349679926088545,16.349679926088548,0.0276461295418653,0.0276461295418653,2021-03-20,2022-01-07,LOW,LOW,PASS
EURAUD,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,1.5066,1.51367,1.50397,1.51008,1020,22.10265690441927,22.10265690441925,0.1341503809208344,0.1341503809208344,2015-01-26,2015-11-14,INSUFFICIENT_TREND_HISTORY,NORMAL,PASS
EURAUD,2015-11-24,279,2015-11-24 23:59:00,2015-11-25,1.47837,1.48316,1.47043,1.47078,1440,33.00087999564708,33.00087999564707,0.5722450293809874,0.5722450293809874,2015-02-03,2015-11-23,HIGH,HIGH,PASS
EURAUD,2022-01-03,2183,2022-01-03 23:59:00,2022-01-04,1.5643,1.57281,1.56074,1.57098,1015,18.792222467709863,18.79222246770986,0.0546522605685508,0.0546522605685508,2021-03-15,2022-01-01,NORMAL,LOW,PASS
