Period,Method,StrategyNo,Group,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,Eligible,EligibleStrategies,SameSignStrategies,HighMinusLowAvgR,RegimeOrder
Historical,primary,1.0,,,LOW,138.0,5.987142852000001,0.0433850931304347,1.1690942100488928,55.072463768115945,0.5446616541052631,-0.5710829493548387,False,True,,,0.1362041925945652,LOW < NORMAL < HIGH
Historical,primary,1.0,,,NORMAL,149.0,12.357142859,0.0829338446912751,1.3511406999027904,59.06040268456376,0.5403246753409091,-0.5769086650983607,False,True,,,0.1362041925945652,LOW < NORMAL < HIGH
Historical,primary,1.0,,,HIGH,160.0,28.734285716,0.179589285725,1.9350999535223103,58.75,0.6325835866595745,-0.4655844156060605,False,True,,,0.1362041925945652,LOW < NORMAL < HIGH
Historical,primary,2.0,,,LOW,169.0,7.560000007,0.044733727852071,1.1643478262391305,55.62130177514793,0.5697872341170213,-0.6216216216216216,False,True,,,0.0728452195426658,LOW < NORMAL < HIGH
Historical,primary,2.0,,,NORMAL,185.0,19.226666671,0.1039279279513513,1.445910426310609,57.83783783783784,0.5826583593457944,-0.5527920228076924,False,True,,,0.0728452195426658,LOW < NORMAL < HIGH
Historical,primary,2.0,,,HIGH,190.0,22.340000005,0.1175789473947368,1.450544525708661,55.26315789473685,0.684994709047619,-0.5833464052352941,False,True,,,0.0728452195426658,LOW < NORMAL < HIGH
Historical,primary,3.0,,,LOW,168.0,1.504000001,0.0089523809583333,1.058823529450876,50.0,0.322285714297619,-0.3080481927710843,False,True,,,0.0484862154995614,LOW < HIGH < NORMAL
Historical,primary,3.0,,,NORMAL,185.0,12.358666665,0.0668036035945945,1.488459106218634,58.91891891891892,0.345504587119266,-0.3329122806710526,False,True,,,0.0484862154995614,LOW < HIGH < NORMAL
Historical,primary,3.0,,,HIGH,190.0,10.913333327,0.0574385964578947,1.3847419382841797,54.736842105263165,0.377679487125,-0.3337098039294117,False,True,,,0.0484862154995614,LOW < HIGH < NORMAL
Historical,primary,4.0,,,LOW,158.0,1.5684615319999995,0.0099269717215189,1.09951195662041,50.63291139240506,0.2166249999625,-0.2020710059615384,False,True,,,-0.0008958130063291,HIGH < LOW < NORMAL
Historical,primary,4.0,,,NORMAL,174.0,11.206153845,0.0644031830172413,1.714678179027043,62.06896551724138,0.2489458689074073,-0.2412307691846154,False,True,,,-0.0008958130063291,HIGH < LOW < NORMAL
Historical,primary,4.0,,,HIGH,158.0,1.4269230769999997,0.0090311587151898,1.07671629446649,56.32911392405063,0.2250216075955056,-0.2695652173768116,False,True,,,-0.0008958130063291,HIGH < LOW < NORMAL
Historical,primary,5.0,,,LOW,214.0,31.54222222,0.1473935617757009,1.6003468256794957,58.87850467289719,0.667319223952381,-0.603908045954023,False,True,,,-0.0670112987757009,NORMAL < HIGH < LOW
Historical,primary,5.0,,,NORMAL,218.0,14.165555554,0.0649796126330275,1.2145862788372404,50.917431192660544,0.7223323323333334,-0.6169470405140187,False,True,,,-0.0670112987757009,NORMAL < HIGH < LOW
Historical,primary,5.0,,,HIGH,218.0,17.523333334,0.080382263,1.2666317266629477,50.917431192660544,0.749949949963964,-0.6142159917009345,False,True,,,-0.0670112987757009,NORMAL < HIGH < LOW
Historical,primary,6.0,,,LOW,75.0,15.422,0.2056266666666666,1.7008725686238866,54.666666666666664,0.912829268292683,-0.6471764705882354,False,True,,,-0.3029016666666667,HIGH < NORMAL < LOW
Historical,primary,6.0,,,NORMAL,102.0,13.266,0.1300588235294117,1.3585793058709048,55.88235294117647,0.8817894736842106,-0.8221333333333334,False,True,,,-0.3029016666666667,HIGH < NORMAL < LOW
Historical,primary,6.0,,,HIGH,80.0,-7.782,-0.097275,0.7956944079810974,37.5,1.0102666666666666,-0.7618,False,True,,,-0.3029016666666667,HIGH < NORMAL < LOW
Historical,primary,7.0,,,LOW,95.0,4.037692304,0.0425020242526315,1.4109449615859244,52.63157894736842,0.27726153842,-0.2183418803777778,False,True,,,-0.0300789473826315,HIGH < LOW < NORMAL
