File,LocalFullSHA256,GitHubSHA256,LocalBytes,GitHubBytes,Publication
trend_strength_phase1_assignment_audit_light.csv,eafcd0a31a72b2c3573cc4041d412356f8989dc5d3bb58fd411739eb100f0034,5e6ca2a784e3430c17a49eafa77aa9eeb083d274eddfd4c53866c7a4f3547d70,41667,17595,"Symbol-day indicator audit only; no TradeID, Strategy, EntryTime, R or trade records"
trend_strength_phase1_combined_decision.csv,5aab57e33b1432d07d383fc7ef3b15a73875339ff9ab5ca68a1902ab7ca4fd02,5aab57e33b1432d07d383fc7ef3b15a73875339ff9ab5ca68a1902ab7ca4fd02,370,370,Byte-identical to run output
trend_strength_phase1_decision.csv,409bcade8f94f1583b7f3f3dc504de7ecb8c98c0702ad0287579cf9dbf0cb8e7,409bcade8f94f1583b7f3f3dc504de7ecb8c98c0702ad0287579cf9dbf0cb8e7,1846,1846,Byte-identical to run output
trend_strength_phase1_group_summary.csv,aa7adb05e986bb813c75a51abc20a699642b9f9b35eadee97d7220dd130721be,aa7adb05e986bb813c75a51abc20a699642b9f9b35eadee97d7220dd130721be,15115,15115,Byte-identical to run output
trend_strength_phase1_input_manifest.csv,8a149ea43feecc1e007bb210c96164b868a4cc417d621bac9575b69787f4f78f,8a149ea43feecc1e007bb210c96164b868a4cc417d621bac9575b69787f4f78f,8998,8998,Byte-identical to run output
trend_strength_phase1_manual_audit.csv,f3700528d995e470ea6f7de6d52772ecc988f75e3fcbbc41137c9a46f116ba91,d3043945fcdb06dc1b3f1e0ce2516e7a28aca3b146abdf6f35c9059f10302b80,5329,4959,Daily OHLC/indicator audit only; representative trade timestamps local only
trend_strength_phase1_period_summary.csv,7c2d8e8a856ea00ba76dd43b9a9a7a8ac0b9103fe07ffb89b33e2b232f02085c,db30c95b5be20d9bb6136def79843a0dbce92f7d63af08f8521e395acf36d2dd,218202,163281,All rows and metrics retained; redundant identity/metadata columns omitted
trend_strength_phase1_regime_coverage.csv,9c4b2445d5c3bc606aa1b91920ca1d7b6dab595d22ebd2cf18e1a7ca7b21bb48,9c4b2445d5c3bc606aa1b91920ca1d7b6dab595d22ebd2cf18e1a7ca7b21bb48,71977,71977,Byte-identical to run output
trend_strength_phase1_run_record.csv,6fd66443dfe6edfe59c5b4d29e4c95f47d4ca76a590e6de77568b57b792fec1c,6fd66443dfe6edfe59c5b4d29e4c95f47d4ca76a590e6de77568b57b792fec1c,2637,2637,Byte-identical to run output
trend_strength_phase1_strategy_primary.csv,74d6ca37ee65a9703bc0e47fd4b6d13d87f8e0704fe33772711a2fcf7e44e7d4,74d6ca37ee65a9703bc0e47fd4b6d13d87f8e0704fe33772711a2fcf7e44e7d4,23971,23971,Byte-identical to run output
trend_strength_phase1_strategy_robustness.csv,76bba394290fd7f2e5b5cc47042e5226f435cf37bb680345ec7455755e263f4e,76bba394290fd7f2e5b5cc47042e5226f435cf37bb680345ec7455755e263f4e,24168,24168,Byte-identical to run output
trend_strength_phase1_verification.csv,a391259c4bd487ecd41fdf2c0ce3675e0aa1bf9533e4103ff69b2b5e723d138f,a391259c4bd487ecd41fdf2c0ce3675e0aa1bf9533e4103ff69b2b5e723d138f,460,460,Byte-identical to run output
