Period,Method,Scope,Regime,Trades,TotalTrades,CoveragePct
FULL,primary,Portfolio,LOW,5129,16298,31.470119033010185
FULL,primary,Portfolio,NORMAL,4881,16298,29.9484599337342
FULL,primary,Portfolio,HIGH,5033,16298,30.88108970425819
FULL,primary,Portfolio,INSUFFICIENT_TREND_HISTORY,1255,16298,7.700331328997423
FULL,primary,JPY,LOW,2939,9420,31.19957537154989
FULL,primary,JPY,NORMAL,2884,9420,30.615711252653927
FULL,primary,JPY,HIGH,2871,9420,30.477707006369425
FULL,primary,JPY,INSUFFICIENT_TREND_HISTORY,726,9420,7.707006369426751
FULL,primary,AUD_nonJPY,LOW,2190,6878,31.84065135213725
FULL,primary,AUD_nonJPY,NORMAL,1997,6878,29.034603082291365
FULL,primary,AUD_nonJPY,HIGH,2162,6878,31.4335562663565
FULL,primary,AUD_nonJPY,INSUFFICIENT_TREND_HISTORY,529,6878,7.691189299214889
FULL,primary,Long,LOW,2998,9540,31.42557651991614
FULL,primary,Long,NORMAL,2872,9540,30.10482180293501
FULL,primary,Long,HIGH,2932,9540,30.733752620545076
FULL,primary,Long,INSUFFICIENT_TREND_HISTORY,738,9540,7.735849056603773
FULL,primary,Short,LOW,2131,6758,31.532997928381178
FULL,primary,Short,NORMAL,2009,6758,29.727730097662032
FULL,primary,Short,HIGH,2101,6758,31.089079609351877
FULL,primary,Short,INSUFFICIENT_TREND_HISTORY,517,6758,7.650192364604913
FULL,primary,1,LOW,265,852,31.103286384976524
FULL,primary,1,NORMAL,252,852,29.577464788732392
FULL,primary,1,HIGH,272,852,31.92488262910798
FULL,primary,1,INSUFFICIENT_TREND_HISTORY,63,852,7.394366197183098
FULL,primary,2,LOW,328,1029,31.875607385811467
FULL,primary,2,NORMAL,312,1029,30.32069970845481
FULL,primary,2,HIGH,311,1029,30.223517978620016
FULL,primary,2,INSUFFICIENT_TREND_HISTORY,78,1029,7.580174927113703
FULL,primary,3,LOW,327,1029,31.778425655976676
FULL,primary,3,NORMAL,312,1029,30.32069970845481
FULL,primary,3,HIGH,312,1029,30.32069970845481
FULL,primary,3,INSUFFICIENT_TREND_HISTORY,78,1029,7.580174927113703
FULL,primary,4,LOW,296,956,30.962343096234306
FULL,primary,4,NORMAL,295,956,30.857740585774057
FULL,primary,4,HIGH,283,956,29.602510460251047
FULL,primary,4,INSUFFICIENT_TREND_HISTORY,82,956,8.577405857740587
FULL,primary,5,LOW,409,1252,32.66773162939297
FULL,primary,5,NORMAL,360,1252,28.753993610223645
FULL,primary,5,HIGH,390,1252,31.150159744408946
FULL,primary,5,INSUFFICIENT_TREND_HISTORY,93,1252,7.4281150159744405
FULL,primary,6,LOW,150,491,30.549898167006113
FULL,primary,6,NORMAL,155,491,31.568228105906314
FULL,primary,6,HIGH,148,491,30.14256619144603
FULL,primary,6,INSUFFICIENT_TREND_HISTORY,38,491,7.739307535641547
FULL,primary,7,LOW,184,589,31.239388794567063
