Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,RegimeOrder,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,primary,1,1_EJ_Log1,EURJPY,Long,LOW,265,35.048571422,0.13225876008301887,1.5133280326671834,57.73584905660377,0.6753314659150327,-0.6096173469910714,False,0.03440615588756937,LOW < NORMAL < HIGH,0.03440615588756937,True,-0.09096939126398951,0.1536937017283346,5000,False
FULL,primary,1,1_EJ_Log1,EURJPY,Long,NORMAL,252,39.452857142,0.15655895691269842,1.6193541152590267,59.12698412698413,0.6923010546442954,-0.6184466019417476,False,0.03440615588756937,LOW < NORMAL < HIGH,0.03440615588756937,True,-0.09096939126398951,0.1536937017283346,5000,False
FULL,primary,1,1_EJ_Log1,EURJPY,Long,HIGH,272,45.332857144,0.16666491597058825,1.7058051601334545,58.08823529411765,0.6934267631329114,-0.5634085213245614,False,0.03440615588756937,LOW < NORMAL < HIGH,0.03440615588756937,True,-0.09096939126398951,0.1536937017283346,5000,False
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,LOW,328,32.751111128000005,0.09985094856097562,1.3518682107647484,57.3170731707317,0.6693026005531915,-0.6696243005467626,False,0.003978990738059754,LOW < HIGH < NORMAL,0.02442255575953721,True,-0.12303776557248776,0.1297791654135585,5000,False
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,NORMAL,312,38.773333348,0.12427350432051283,1.4749952360762801,56.41025641025641,0.6841035354318182,-0.6002124182941176,False,0.003978990738059754,LOW < HIGH < NORMAL,0.02442255575953721,True,-0.12303776557248776,0.1297791654135585,5000,False
FULL,primary,2,2_EJ_NightBlitz_20,EURJPY,Long,HIGH,311,32.291111122000004,0.10382993929903538,1.3515252680306655,55.948553054662376,0.7135121328965517,-0.6705109489197081,False,0.003978990738059754,LOW < HIGH < NORMAL,0.02442255575953721,True,-0.12303776557248776,0.1297791654135585,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,LOW,327,14.598666665,0.044644240565749234,1.2834912743708249,55.35168195718655,0.36516390422651934,-0.3551448275862069,False,0.02877456281245589,LOW < HIGH < NORMAL,0.04508652864899435,True,-0.043313305412405544,0.10511749158575935,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,NORMAL,312,27.995999995,0.08973076921474359,1.6198193410432085,59.93589743589743,0.3912513368609626,-0.3672195121788618,False,0.02877456281245589,LOW < HIGH < NORMAL,0.04508652864899435,True,-0.043313305412405544,0.10511749158575935,5000,False
FULL,primary,3,3_EJ_NightBlitz_21,EURJPY,Long,HIGH,312,22.906666654,0.07341880337820512,1.4716152407496539,55.769230769230774,0.4107892719655173,-0.3545304136350365,False,0.02877456281245589,LOW < HIGH < NORMAL,0.04508652864899435,True,-0.043313305412405544,0.10511749158575935,5000,False
FULL,primary,4,4_GJ_Port_Log1,GBPJPY,Long,LOW,296,7.199999996,0.02432432431081081,1.250844187012191,52.702702702702695,0.23014792898076925,-0.2050219780357143,False,-0.0006738758549804207,HIGH < LOW < NORMAL,0.05106923860518656,True,-0.04828966052321614,0.046323485295348694,5000,False
