Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,RegimeOrder,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,LOW,273,22.817142851,0.08357927784249085,1.301472253574434,53.11355311355312,0.679330049262069,-0.59129464290625,False,0.10285949765750914,LOW < HIGH < NORMAL,0.10365399522501971,True,-0.0314358744334603,0.23673449599083757,5000,False
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,NORMAL,237,44.374285717,0.18723327306751056,1.7993926448603965,59.91561181434599,0.7034104628028169,-0.5843157894842106,False,0.10285949765750914,LOW < HIGH < NORMAL,0.10365399522501971,True,-0.0314358744334603,0.23673449599083757,5000,False
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,HIGH,280,52.20285714,0.1864387755,1.7975990395600059,61.78571428571429,0.6800743187341041,-0.6116822430000001,False,0.10285949765750914,LOW < HIGH < NORMAL,0.10365399522501971,True,-0.0314358744334603,0.23673449599083757,5000,False
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,LOW,330,20.088888901,0.06087542091212121,1.204026361047368,54.54545454545454,0.6586172840277779,-0.6608202833825504,False,0.06376568041236257,LOW < HIGH < NORMAL,0.08184758383435765,True,-0.054119991023283784,0.18727690279771372,5000,False
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,NORMAL,284,40.533333348,0.14272300474647887,1.5549132950322428,58.80281690140845,0.6801064538203593,-0.624311490940171,False,0.06376568041236257,LOW < HIGH < NORMAL,0.08184758383435765,True,-0.054119991023283784,0.18727690279771372,5000,False
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,HIGH,339,42.253333349,0.12464110132448378,1.4398639740591328,56.63716814159292,0.7203819445364584,-0.6534693877687074,False,0.06376568041236257,LOW < HIGH < NORMAL,0.08184758383435765,True,-0.054119991023283784,0.18727690279771372,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,LOW,329,7.501333337,0.02280040527963526,1.1335422156531316,51.671732522796354,0.3745490196,-0.3555189873101266,False,0.06941135939389416,LOW < HIGH < NORMAL,0.06951884350557601,True,-0.004964883448351287,0.1420350691610392,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,NORMAL,284,26.218666655,0.09231924878521126,1.7019598040015385,59.859154929577464,0.3739372548529412,-0.33053687318584074,False,0.06941135939389416,LOW < HIGH < NORMAL,0.06951884350557601,True,-0.004964883448351287,0.1420350691610392,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,HIGH,340,31.351999989,0.09221176467352941,1.6008892975390814,59.705882352941174,0.41146798024630543,-0.3864888888962963,False,0.06941135939389416,LOW < HIGH < NORMAL,0.06951884350557601,True,-0.004964883448351287,0.1420350691610392,5000,False
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,LOW,288,12.771538453,0.04434561962847222,1.4768099706291848,55.55555555555556,0.24723076919375,-0.209260817328125,False,-0.017516351353210897,HIGH < LOW < NORMAL,0.02451306485718901,True,-0.06764392099132803,0.03359525505872007,5000,False
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,NORMAL,302,15.505384606,0.05134233313245033,1.5712949575190105,58.609271523178805,0.2409387222542373,-0.21887717123387096,False,-0.017516351353210897,HIGH < LOW < NORMAL,0.02451306485718901,True,-0.06764392099132803,0.03359525505872007,5000,False
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,HIGH,287,7.699999995,0.026829268275261324,1.2492716087730658,55.749128919860624,0.24118749996875,-0.24515873015873016,False,-0.017516351353210897,HIGH < LOW < NORMAL,0.02451306485718901,True,-0.06764392099132803,0.03359525505872007,5000,False
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,LOW,382,38.156666668,0.09988656195811518,1.3310550264280234,50.523560209424076,0.7948934945336786,-0.6130732860478724,False,-0.036271861991706913,HIGH < NORMAL < LOW,0.036271861991706913,True,-0.16272585046423824,0.09411382732788695,5000,False
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,NORMAL,392,35.721111112,0.0911252834489796,1.3210790188648163,49.48979591836735,0.7576002290979381,-0.5618855218838383,False,-0.036271861991706913,HIGH < NORMAL < LOW,0.036271861991706913,True,-0.16272585046423824,0.09411382732788695,5000,False
FULL,robustness,5,5_GJ_Port_Log2,GBPJPY,Short,HIGH,387,24.618888887,0.06361469996640827,1.203605855359912,50.90439276485789,0.7387478849441624,-0.6363918128789473,False,-0.036271861991706913,HIGH < NORMAL < LOW,0.036271861991706913,True,-0.16272585046423824,0.09411382732788695,5000,False
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,LOW,142,25.356,0.17856338028169016,1.5046974522292993,55.633802816901415,0.9569113924050633,-0.7974603174603175,False,-0.12743679800320917,HIGH < LOW < NORMAL,0.2597435475916489,True,-0.3778591020002548,0.1358636920313992,5000,False
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,NORMAL,154,47.874,0.3108701298701299,1.9844540407156077,59.09090909090909,1.0604835164835165,-0.771904761904762,False,-0.12743679800320917,HIGH < LOW < NORMAL,0.2597435475916489,True,-0.3778591020002548,0.1358636920313992,5000,False
FULL,robustness,6,6_GJ_Old_Mon,GBPJPY,Long,HIGH,158,8.078,0.051126582278481006,1.1190567428150333,44.936708860759495,1.0694084507042254,-0.7798850574712644,False,-0.12743679800320917,HIGH < LOW < NORMAL,0.2597435475916489,True,-0.3778591020002548,0.1358636920313992,5000,False
FULL,robustness,7,7_GJ_Mon_Blitz,GBPJPY,Long,LOW,181,10.850769228999999,0.05994900126519336,1.5749337678731543,56.353591160220994,0.2914102564313725,-0.23889970793670887,False,-0.024292646770628146,HIGH < LOW < NORMAL,0.029126627857390085,True,-0.10626563742222267,0.05651553248880222,5000,False
