Label,Trades,WinRate,PF,TotalPips,MaxDD,RoMD,AvgPips
5_GJ_Port_Log2,1196,50.5,1.292,9646.2,850.5,11.34,8.07
1_EJ_Log1,889,56.81,1.524,8582.6,747.7,11.48,9.65
3_EJ_NightBlitz_21,991,56.71,1.43,5109.7,382.2,13.37,5.16
2_EJ_NightBlitz_20,991,56.1,1.39,5037.0,343.1,14.68,5.08
4_GJ_Port_Log1,918,56.75,1.411,4922.3,335.2,14.68,5.36
12_UJ_Short_Core,528,57.77,2.079,4286.3,190.0,22.56,8.12
6_GJ_Old_Mon,468,52.14,1.446,3911.2,657.4,5.95,8.36
7_GJ_Mon_Blitz,566,54.77,1.339,3020.5,721.1,4.19,5.34
8_AJ_Core1,518,55.41,1.388,2934.1,337.4,8.7,5.66
13_UJ_Fix_MidWeek,187,60.43,2.526,1712.6,81.4,21.04,9.16
11_AJ_SatB,352,51.42,1.395,1551.6,329.2,4.71,4.41
9_AJ_Core2,258,51.16,1.477,1402.4,290.5,4.83,5.44
14_UJ_Sat_3rd,69,71.01,3.677,1269.8,73.2,17.35,18.4
16_UJ_T10A,58,65.52,2.23,501.5,54.5,9.2,8.65
15_UJ_Sat_Aug,64,51.56,1.643,348.0,72.4,4.81,5.44
10_AJ_SatA,353,47.31,1.113,228.7,354.2,0.65,0.65
