TradeID,StrategyNo,Strategy,Symbol,Direction,EntryTime,R,DailyDate,DailyIndex,LastM1,AvailableAt,ATR20,RV20,ReferenceStart,ReferenceEnd,primaryPercentile,robustnessPercentile,primary,robustness
0,8,8_AJ_Core1,AUDJPY,Long,2015-01-05 08:01:00,-0.667142857,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
1,20,20_EA_1A_MonTue_Short,EURAUD,Short,2015-01-05 10:01:00,-1.0,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
2,1,1_EJ_Log1,EURJPY,Long,2015-01-05 13:55:00,-1.0,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
3,7,7_GJ_Mon_Blitz,GBPJPY,Long,2015-01-05 18:02:00,-1.0,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
4,2,2_EJ_NightBlitz_20,EURJPY,Long,2015-01-05 20:56:00,-1.0,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
5,21,21_GA_B_3,GBPAUD,Long,2015-01-05 21:02:00,-0.550909091,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
6,3,3_EJ_NightBlitz_21,EURJPY,Long,2015-01-05 21:56:00,-0.274666667,2015-01-03,1,2015-01-03 06:59:00,2015-01-04,,,,2015-01-02,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
7,4,4_GJ_Port_Log1,GBPJPY,Long,2015-01-06 00:00:00,0.173076923,2015-01-05,2,2015-01-05 23:59:00,2015-01-06,,,,2015-01-03,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
8,5,5_GJ_Port_Log2,GBPJPY,Short,2015-01-06 09:55:00,1.895555556,2015-01-05,2,2015-01-05 23:59:00,2015-01-06,,,,2015-01-03,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
11,17,17_EA_1B_Wed_Short,EURAUD,Short,2015-01-07 09:59:00,1.098571429,2015-01-06,3,2015-01-06 23:59:00,2015-01-07,,,,2015-01-05,,,INSUFFICIENT_VOL_HISTORY,INSUFFICIENT_VOL_HISTORY
