Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,PooledDelta,EqualWeightedDelta
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,0.03986314781358367,0.11476402485244182,5000,0.07721527644253542,0.07086444847243023
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,0.03940960069760941,0.14230731150879974,5000,0.09068273494557484,0.09023045054798505
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,0.004340974435175235,0.10680568364825792,5000,0.054431626037698466,0.04621680946717862
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.02780606864073386,0.11834243753814037,5000,0.07355776345404205,0.07954611341033649
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,0.08249909282550734,0.05981505673327678
FULL,robustness,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,22,SUPPORTED,0.03031064612271839,0.10226551023601713,5000,0.0671720919273382,0.06567443960016295
FULL,robustness,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,13,SUPPORTED,0.037119304121486875,0.13109239629950958,5000,0.0847247131866958,0.0837605604744788
FULL,robustness,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,NOT_SUPPORTED,-0.007572135877313567,0.09136814907432177,5000,0.041872061551061546,0.04265574030557912
FULL,robustness,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.027096349031259917,0.11294118799388768,5000,0.07097398503663616,0.07606719536182979
FULL,robustness,Short,11,5|9|10|11|12|17|18|20|23|27|28,8,SUPPORTED,0.008386223228049926,0.11817466075289448,5000,0.062013484631214755,0.052447295903496054
