Period,Method,Group,EligibleStrategies,EligibleIDs,SameSignStrategies,Support,CILow,CIHigh,ValidBootstraps,Aggregation,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,0.03986314781358367,0.11476402485244182,5000,trade_weighted,LOW,6539.0,381.09145051400003,0.05827977527358924,1.3155750084181612,53.861446704389046,0.4510792674307212,-0.4020005756914114,False,0.07721527644253542
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.062045719635556634,,,,,,0.07086444847243023
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,0.03986314781358367,0.11476402485244182,5000,trade_weighted,NORMAL,4115.0,331.285808804,0.08050687941773997,1.379063102894392,55.407047387606326,0.5286163738429824,-0.4788819307167123,False,0.07721527644253542
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.08103799771815126,,,,,,0.07086444847243023
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,0.03986314781358367,0.11476402485244182,5000,trade_weighted,HIGH,4428.0,599.972088999,0.13549505171612466,1.553177673659385,55.26196928635954,0.688420149692685,-0.5486049657556904,False,0.07721527644253542
FULL,primary,Portfolio,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,21,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.13291016810798686,,,,,,0.07086444847243023
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,0.03940960069760941,0.14230731150879974,5000,trade_weighted,LOW,3659.0,260.1831316,0.0711077156600164,1.3730076559185789,54.57775348455862,0.4795747233079619,-0.4212123133128019,False,0.09068273494557484
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.07055940192514835,,,,,,0.09023045054798505
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,0.03940960069760941,0.14230731150879974,5000,trade_weighted,NORMAL,2412.0,235.815165207,0.09776748142910448,1.4530819995831887,55.55555555555556,0.5643912174216418,-0.48778731596813496,False,0.09068273494557484
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.10159564601233721,,,,,,0.09023045054798505
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,0.03940960069760941,0.14230731150879974,5000,trade_weighted,HIGH,2647.0,428.259322753,0.16179045060559125,1.65236461052118,56.101246694370985,0.7304590325191919,-0.5664127183244176,False,0.09068273494557484
FULL,primary,JPY,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,12,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.1607898524731334,,,,,,0.09023045054798505
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,0.004340974435175235,0.10680568364825792,5000,trade_weighted,LOW,2880.0,120.908318914,0.04198205517847223,1.2370369589145138,52.951388888888886,0.4137642343901639,-0.378399212560089,False,0.054431626037698466
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05121012399425808,,,,,,0.04621680946717862
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,0.004340974435175235,0.10680568364825792,5000,trade_weighted,NORMAL,1703.0,95.470643597,0.05606027222372285,1.270079832688571,55.1967116852613,0.4776181925712766,-0.4663462498944591,False,0.054431626037698466
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.05487371807100556,,,,,,0.04621680946717862
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,0.004340974435175235,0.10680568364825792,5000,trade_weighted,HIGH,1781.0,171.712766246,0.0964136812161707,1.4010859008983594,54.01459854014598,0.6235264480322246,-0.5233736879718827,False,0.054431626037698466
FULL,primary,AUD_nonJPY,11,17|18|19|20|21|22|23|24|25|27|28,9,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.0974269334614367,,,,,,0.04621680946717862
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.02780606864073386,0.11834243753814037,5000,trade_weighted,LOW,3898.0,230.71481271,0.05918799710364289,1.350790163428599,55.13083632632119,0.41340863710190784,-0.37777159587708214,False,0.07355776345404205
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.05857759062015557,,,,,,0.07954611341033649
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.02780606864073386,0.11834243753814037,5000,trade_weighted,NORMAL,2318.0,155.53511183,0.06709884030629854,1.3380369980343634,55.91026747195858,0.47503688263271604,-0.4524215221848574,False,0.07355776345404205
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,NORMAL,,,0.06383401684523098,,,,,,0.07954611341033649
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,0.02780606864073386,0.11834243753814037,5000,trade_weighted,HIGH,2609.0,346.333689295,0.13274576055768494,1.6047430439578674,57.2633192794174,0.6151467898226238,-0.5150140419964029,False,0.07355776345404205
FULL,primary,Long,14,1|2|3|4|6|7|8|13|19|21|22|24|25|26,14,SUPPORTED,,,0,strategy_equal_weighted,HIGH,,,0.13812370403049207,,,,,,0.07954611341033649
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,trade_weighted,LOW,2641.0,150.376637804,0.056939279744036356,1.2734571240498724,51.98788337750852,0.5100408002614711,-0.4353993515083135,False,0.08249909282550734
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,,,0,strategy_equal_weighted,LOW,,,0.06645970201879436,,,,,,0.05981505673327678
FULL,primary,Short,11,5|9|10|11|12|17|18|20|23|27|28,7,SUPPORTED,0.02450545643618383,0.141577418344082,5000,trade_weighted,NORMAL,1797.0,175.750696974,0.09780227989649415,1.4246757058402075,54.757929883138566,0.5991844842174797,-0.5121866775940593,False,0.08249909282550734
