Period,Method,Scope,Regime,Trades,TotalTrades,CoveragePct
FULL,primary,Portfolio,LOW,6539,16298,40.1214872990551
FULL,primary,Portfolio,NORMAL,4115,16298,25.248496748067247
FULL,primary,Portfolio,HIGH,4428,16298,27.168977788685726
FULL,primary,Portfolio,INSUFFICIENT_VOL_HISTORY,1216,16298,7.461038164191926
FULL,primary,JPY,LOW,3659,9420,38.84288747346073
FULL,primary,JPY,NORMAL,2412,9420,25.605095541401273
FULL,primary,JPY,HIGH,2647,9420,28.099787685774945
FULL,primary,JPY,INSUFFICIENT_VOL_HISTORY,702,9420,7.452229299363057
FULL,primary,AUD_nonJPY,LOW,2880,6878,41.87263739459145
FULL,primary,AUD_nonJPY,NORMAL,1703,6878,24.760104681593486
FULL,primary,AUD_nonJPY,HIGH,1781,6878,25.894155277697006
FULL,primary,AUD_nonJPY,INSUFFICIENT_VOL_HISTORY,514,6878,7.473102646118058
FULL,primary,Long,LOW,3898,9540,40.859538784067084
FULL,primary,Long,NORMAL,2318,9540,24.29769392033543
FULL,primary,Long,HIGH,2609,9540,27.348008385744233
FULL,primary,Long,INSUFFICIENT_VOL_HISTORY,715,9540,7.49475890985325
FULL,primary,Short,LOW,2641,6758,39.07960935187925
FULL,primary,Short,NORMAL,1797,6758,26.590707309854988
FULL,primary,Short,HIGH,1819,6758,26.916247410476473
FULL,primary,Short,INSUFFICIENT_VOL_HISTORY,501,6758,7.413435927789287
FULL,primary,1,LOW,361,852,42.370892018779344
FULL,primary,1,NORMAL,195,852,22.887323943661972
FULL,primary,1,HIGH,235,852,27.582159624413144
FULL,primary,1,INSUFFICIENT_VOL_HISTORY,61,852,7.159624413145541
FULL,primary,2,LOW,438,1029,42.565597667638485
FULL,primary,2,NORMAL,222,1029,21.574344023323615
FULL,primary,2,HIGH,294,1029,28.57142857142857
FULL,primary,2,INSUFFICIENT_VOL_HISTORY,75,1029,7.288629737609329
FULL,primary,3,LOW,437,1029,42.46841593780369
FULL,primary,3,NORMAL,222,1029,21.574344023323615
FULL,primary,3,HIGH,295,1029,28.668610301263364
FULL,primary,3,INSUFFICIENT_VOL_HISTORY,75,1029,7.288629737609329
FULL,primary,4,LOW,360,956,37.65690376569037
FULL,primary,4,NORMAL,249,956,26.04602510460251
FULL,primary,4,HIGH,268,956,28.03347280334728
FULL,primary,4,INSUFFICIENT_VOL_HISTORY,79,956,8.263598326359832
FULL,primary,5,LOW,462,1252,36.90095846645367
FULL,primary,5,NORMAL,339,1252,27.076677316293928
FULL,primary,5,HIGH,360,1252,28.753993610223645
FULL,primary,5,INSUFFICIENT_VOL_HISTORY,91,1252,7.268370607028754
FULL,primary,6,LOW,198,491,40.32586558044807
FULL,primary,6,NORMAL,133,491,27.08757637474542
FULL,primary,6,HIGH,124,491,25.254582484725052
FULL,primary,6,INSUFFICIENT_VOL_HISTORY,36,491,7.3319755600814664
FULL,primary,7,LOW,228,589,38.70967741935484
FULL,primary,7,NORMAL,164,589,27.843803056027166
FULL,primary,7,HIGH,153,589,25.97623089983022
FULL,primary,7,INSUFFICIENT_VOL_HISTORY,44,589,7.470288624787775
FULL,primary,8,LOW,224,590,37.96610169491525
FULL,primary,8,NORMAL,168,590,28.474576271186443
FULL,primary,8,HIGH,153,590,25.932203389830512
FULL,primary,8,INSUFFICIENT_VOL_HISTORY,45,590,7.627118644067797
FULL,primary,9,LOW,111,340,32.64705882352941
FULL,primary,9,NORMAL,100,340,29.411764705882355
FULL,primary,9,HIGH,105,340,30.88235294117647
FULL,primary,9,INSUFFICIENT_VOL_HISTORY,24,340,7.0588235294117645
FULL,primary,10,LOW,141,403,34.98759305210918
FULL,primary,10,NORMAL,116,403,28.78411910669975
FULL,primary,10,HIGH,117,403,29.03225806451613
FULL,primary,10,INSUFFICIENT_VOL_HISTORY,29,403,7.196029776674938
FULL,primary,11,LOW,142,403,35.235732009925556
FULL,primary,11,NORMAL,116,403,28.78411910669975
FULL,primary,11,HIGH,117,403,29.03225806451613
FULL,primary,11,INSUFFICIENT_VOL_HISTORY,28,403,6.9478908188585615
FULL,primary,12,LOW,207,546,37.91208791208791
FULL,primary,12,NORMAL,145,546,26.55677655677656
FULL,primary,12,HIGH,151,546,27.655677655677657
FULL,primary,12,INSUFFICIENT_VOL_HISTORY,43,546,7.875457875457875
FULL,primary,13,LOW,88,223,39.46188340807175
FULL,primary,13,NORMAL,60,223,26.905829596412556
FULL,primary,13,HIGH,59,223,26.45739910313901
FULL,primary,13,INSUFFICIENT_VOL_HISTORY,16,223,7.174887892376682
FULL,primary,14,LOW,30,73,41.0958904109589
FULL,primary,14,NORMAL,17,73,23.28767123287671
FULL,primary,14,HIGH,19,73,26.027397260273972
FULL,primary,14,INSUFFICIENT_VOL_HISTORY,7,73,9.58904109589041
FULL,primary,15,LOW,14,70,20.0
FULL,primary,15,NORMAL,18,70,25.71428571428571
FULL,primary,15,HIGH,33,70,47.14285714285714
FULL,primary,15,INSUFFICIENT_VOL_HISTORY,5,70,7.142857142857142
FULL,primary,16,LOW,22,60,36.666666666666664
FULL,primary,16,NORMAL,13,60,21.666666666666668
FULL,primary,16,HIGH,19,60,31.666666666666664
FULL,primary,16,INSUFFICIENT_VOL_HISTORY,6,60,10.0
FULL,primary,17,LOW,139,351,39.6011396011396
FULL,primary,17,NORMAL,95,351,27.065527065527068
FULL,primary,17,HIGH,91,351,25.925925925925924
FULL,primary,17,INSUFFICIENT_VOL_HISTORY,26,351,7.4074074074074066
FULL,primary,18,LOW,411,953,43.12696747114376
FULL,primary,18,NORMAL,245,953,25.70828961175236
FULL,primary,18,HIGH,227,953,23.819517313746065
FULL,primary,18,INSUFFICIENT_VOL_HISTORY,70,953,7.345225603357817
FULL,primary,19,LOW,279,703,39.68705547652916
FULL,primary,19,NORMAL,190,703,27.027027027027028
FULL,primary,19,HIGH,178,703,25.320056899004268
FULL,primary,19,INSUFFICIENT_VOL_HISTORY,56,703,7.965860597439544
FULL,primary,20,LOW,351,770,45.58441558441558
FULL,primary,20,NORMAL,188,770,24.415584415584416
FULL,primary,20,HIGH,174,770,22.597402597402596
