Period,Method,StrategyNo,Strategy,Symbol,Direction,Regime,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE,HighMinusLowAvgR,MaxMinusMinAvgR,Eligible,CILow,CIHigh,ValidBootstraps,ClearDependence
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,LOW,331,30.685714276,0.09270608542598187,1.399412409891638,57.09969788519638,0.568851095973545,-0.5410362173450705,False,0.1520808819906848,0.1520808819906848,True,0.0046474551839853,0.2993684292027136,5000,True
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,NORMAL,231,32.897142861,0.14241187385714285,1.571400213449862,58.00865800865801,0.6751492537686568,-0.5935346097319587,False,0.1520808819906848,0.1520808819906848,True,0.0046474551839853,0.2993684292027136,5000,True
FULL,robustness,1,1_EJ_Log1,EURJPY,Long,HIGH,228,55.811428571,0.24478696741666667,1.8966308638321179,60.08771929824561,0.8617309697664234,-0.6840188383186813,False,0.1520808819906848,0.1520808819906848,True,0.0046474551839853,0.2993684292027136,5000,True
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,LOW,399,41.531111131,0.10408799782205515,1.425388082344812,57.89473684210527,0.6024338625021645,-0.584617431778443,False,0.01646166849949962,0.020074061531886872,True,-0.10754380496482226,0.1364414961640452,5000,False
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,NORMAL,271,27.228888898,0.1004756047896679,1.3329257690319203,54.24354243542435,0.7416024188367347,-0.6595698925080645,False,0.01646166849949962,0.020074061531886872,True,-0.10754380496482226,0.1364414961640452,5000,False
FULL,robustness,2,2_EJ_NightBlitz_20,EURJPY,Long,HIGH,283,34.115555569,0.12054966632155477,1.3870219579550964,56.8904593639576,0.7594064873105589,-0.7225318761311476,False,0.01646166849949962,0.020074061531886872,True,-0.10754380496482226,0.1364414961640452,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,LOW,398,28.102666664,0.07060971523618091,1.5307330092883267,57.537688442211056,0.35394468703493454,-0.31706986028143713,False,0.02936211569691767,0.06832115443125356,True,-0.046316398643581634,0.10293951185268894,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,NORMAL,271,8.577333332,0.03165067650184502,1.179352068683452,54.981549815498155,0.37853243844295303,-0.3919999999672131,False,0.02936211569691767,0.06832115443125356,True,-0.046316398643581634,0.10293951185268894,5000,False
FULL,robustness,3,3_EJ_NightBlitz_21,EURJPY,Long,HIGH,284,28.391999984999998,0.09997183093309858,1.6320007119380286,58.098591549295776,0.44433939386666665,-0.383965811991453,False,0.02936211569691767,0.06832115443125356,True,-0.046316398643581634,0.10293951185268894,5000,False
FULL,robustness,4,4_GJ_Port_Log1,GBPJPY,Long,LOW,349,4.728461533,0.013548600381088825,1.145912457073713,52.72206303724928,0.2018185618804348,-0.19640093244242424,False,0.057738164284352356,0.057738164284352356,True,0.008152297920066392,0.10713487574025386,5000,True
