Period,Method,Scope,Quintile,Trades,TotalTrades,CoveragePct
FULL,primary,Portfolio,Q1,4785,16298,29.359430604982208
FULL,primary,Portfolio,Q2,2626,16298,16.112406430236838
FULL,primary,Portfolio,Q3,2510,16298,15.400662657994847
FULL,primary,Portfolio,Q4,2195,16298,13.467910173027365
FULL,primary,Portfolio,Q5,2966,16298,18.198551969566818
FULL,primary,Portfolio,INSUFFICIENT_VOL_HISTORY,1216,16298,7.461038164191926
FULL,primary,JPY,Q1,2665,9420,28.290870488322717
FULL,primary,JPY,Q2,1492,9420,15.83864118895966
FULL,primary,JPY,Q3,1432,9420,15.201698513800425
FULL,primary,JPY,Q4,1369,9420,14.532908704883226
FULL,primary,JPY,Q5,1760,9420,18.683651804670912
FULL,primary,JPY,INSUFFICIENT_VOL_HISTORY,702,9420,7.452229299363057
FULL,primary,AUD_nonJPY,Q1,2120,6878,30.822913637685375
FULL,primary,AUD_nonJPY,Q2,1134,6878,16.487350974120385
FULL,primary,AUD_nonJPY,Q3,1078,6878,15.673160802558883
FULL,primary,AUD_nonJPY,Q4,826,6878,12.009305030532131
FULL,primary,AUD_nonJPY,Q5,1206,6878,17.534166908985167
FULL,primary,AUD_nonJPY,INSUFFICIENT_VOL_HISTORY,514,6878,7.473102646118058
FULL,primary,Long,Q1,2896,9540,30.356394129979037
FULL,primary,Long,Q2,1523,9540,15.964360587002096
FULL,primary,Long,Q3,1348,9540,14.129979035639412
FULL,primary,Long,Q4,1292,9540,13.542976939203355
FULL,primary,Long,Q5,1766,9540,18.51153039832285
FULL,primary,Long,INSUFFICIENT_VOL_HISTORY,715,9540,7.49475890985325
FULL,primary,Short,Q1,1889,6758,27.952056821544836
FULL,primary,Short,Q2,1103,6758,16.32139686297721
FULL,primary,Short,Q3,1162,6758,17.194436223734833
FULL,primary,Short,Q4,903,6758,13.361941402781888
FULL,primary,Short,Q5,1200,6758,17.756732761171946
FULL,primary,Short,INSUFFICIENT_VOL_HISTORY,501,6758,7.413435927789287
FULL,primary,1,Q1,261,852,30.633802816901408
FULL,primary,1,Q2,151,852,17.72300469483568
FULL,primary,1,Q3,101,852,11.854460093896714
FULL,primary,1,Q4,120,852,14.084507042253522
FULL,primary,1,Q5,158,852,18.544600938967136
FULL,primary,1,INSUFFICIENT_VOL_HISTORY,61,852,7.159624413145541
FULL,primary,2,Q1,322,1029,31.292517006802722
FULL,primary,2,Q2,175,1029,17.006802721088434
FULL,primary,2,Q3,114,1029,11.078717201166182
FULL,primary,2,Q4,151,1029,14.674441205053451
