Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Quintile,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE
FULL,primary,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,2665.0,140.705682512,0.05279762946041276,1.2732500214098392,54.25891181988744,0.45341598993153526,-0.42381385920082304,False
FULL,primary,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,1492.0,158.095115255,0.1059618734953083,1.5604967112337245,56.03217158176944,0.5265043493145933,-0.4319487301255742,False
FULL,primary,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,1432.0,151.360813406,0.10569889204329609,1.482183702053481,55.237430167597765,0.5882019716548672,-0.4920171570109719,False
FULL,primary,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,1369.0,182.09237566299998,0.13301123130971512,1.585136882602862,55.73411249086925,0.6465118976592398,-0.5160799373980101,False
FULL,primary,JPY,Group,,,JPY,trade_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,1760.0,292.003632724,0.16591115495681819,1.6454980708651137,56.022727272727266,0.7549423145243408,-0.5852127935278137,False
FULL,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.050044214808035885,,,,,
FULL,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.1128123369230098,,,,,
FULL,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.11085849288945979,,,,,
FULL,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.1320501467886214,,,,,
FULL,primary,JPY,Group,,,JPY,strategy_equal_weighted,True,14,1|2|3|4|5|6|7|8|9|10|11|12|13|26,False,ORDERED_POSITIVE_SUPPORTED,Q5,,,0.16280451618386158,,,,,
FULL,primary,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,2120.0,73.09732108099999,0.03447986843443396,1.195839214765298,52.264150943396224,0.402842082517148,-0.370289391218254,False
FULL,primary,AUD_nonJPY,Group,,,AUD_nonJPY,trade_weighted,True,11,17|18|19|20|21|22|23|24|25|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,1134.0,47.456492068,0.04184875843738977,1.2185289637288306,54.232804232804234,0.4302762421024391,-0.42414725942382814,False
