Symbol,DailyDate,DailyIndex,LastM1,AvailableAt,Open,High,Low,Close,M1Count,ATR20,IndependentATR20,RV20,IndependentRV20,ReferenceStart,ReferenceEnd,primary,robustness,RepresentativeEntry,Status,primaryNumerator,primaryQuintile,robustnessQuintile,robustnessNumerator
USDJPY,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,122.717,122.986,122.573,122.606,420,0.7002000000000003,0.7002000000000003,0.05827696999031772,0.05827696999031779,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,,PASS,158,Q2,INSUFFICIENT_VOL_HISTORY,
USDJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,122.238,123.135,122.221,123.062,1020,0.6935500000000004,0.6935500000000004,0.055756299672980486,0.055756299672980555,2015-01-26,2015-11-14,LOW,LOW,,PASS,150,Q2,Q2,116.0
USDJPY,2022-01-19,2197,2022-01-19 23:59:00,2022-01-20,114.522,114.788,114.206,114.351,1440,0.5435499999999969,0.5435499999999969,0.05426895629912315,0.05426895629912313,2021-03-31,2022-01-18,HIGH,HIGH,2022-01-20 09:55:00,PASS,368,Q4,Q4,354.0
EURJPY,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,131.778,132.088,131.65,131.983,420,0.9138999999999982,0.9138999999999982,0.05255473179077434,0.05255473179077422,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,2015-11-16 13:55:00,PASS,30,Q1,INSUFFICIENT_VOL_HISTORY,
EURJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,131.241,132.208,130.639,131.728,1020,0.9388499999999965,0.9388499999999965,0.05013102084413639,0.05013102084413627,2015-01-26,2015-11-14,LOW,LOW,,PASS,52,Q1,Q1,0.0
EURJPY,2022-01-04,2184,2022-01-04 23:59:00,2022-01-05,130.362,131.313,130.022,131.165,1440,0.6820500000000045,0.6820500000000045,0.05179565277703466,0.05179565277703484,2021-03-16,2022-01-03,HIGH,HIGH,2022-01-05 13:55:00,PASS,356,Q4,Q4,336.0
GBPJPY,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,186.759,186.979,186.48,186.695,420,1.119250000000001,1.119250000000001,0.0487482274539,0.04874822745389987,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,2015-11-16 15:45:00,PASS,0,Q1,INSUFFICIENT_VOL_HISTORY,
GBPJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,186.109,187.166,185.981,186.964,1020,1.1263500000000009,1.1263500000000009,0.04829770281205315,0.04829770281205303,2015-01-26,2015-11-14,LOW,LOW,2015-11-17 00:00:00,PASS,2,Q1,Q1,0.0
GBPJPY,2022-01-03,2183,2022-01-03 23:59:00,2022-01-04,155.636,155.918,155.115,155.198,1015,0.9547999999999988,0.9547999999999988,0.06153405407866691,0.06153405407866656,2021-03-15,2022-01-01,NORMAL,NORMAL,2022-01-04 00:00:00,PASS,222,Q3,Q2,178.0
GBPJPY,2026-09-07,3644,2026-09-07 23:59:00,2026-09-08,210.709,211.211,208.644,208.991,1080,1.2007500000000035,1.2007500000000035,0.09332974122892504,0.09332974122892473,2025-11-15,2026-09-05,NORMAL,HIGH,2026-09-08 00:00:00,PASS,284,Q3,Q5,482.0
AUDJPY,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,87.348,87.575,87.178,87.338,420,0.753550000000002,0.753550000000002,0.08294149131210514,0.08294149131210501,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,2015-11-16 08:01:00,PASS,30,Q1,INSUFFICIENT_VOL_HISTORY,
AUDJPY,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,87.028,87.606,86.813,87.213,1020,0.7270500000000013,0.7270500000000013,0.07891855873101127,0.07891855873101114,2015-01-26,2015-11-14,LOW,LOW,,PASS,16,Q1,Q1,22.0
AUDJPY,2022-01-05,2185,2022-01-05 23:59:00,2022-01-06,83.868,84.171,83.756,84.07,1440,0.6579000000000008,0.6579000000000008,0.0823851262133197,0.08238512621331925,2021-03-17,2022-01-04,NORMAL,NORMAL,2022-01-06 17:14:00,PASS,292,Q3,Q3,262.0
AUDUSD,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,0.71172,0.71303,0.71058,0.71263,420,0.006623499999999999,0.006623499999999999,0.09209187663032745,0.09209187663032739,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,,PASS,4,Q1,INSUFFICIENT_VOL_HISTORY,
AUDUSD,2015-11-16,272,2015-11-16 23:59:00,2015-11-17,0.71185,0.71321,0.70866,0.7087,1019,0.006357500000000005,0.006357500000000005,0.09346973609673576,0.09346973609673569,2015-01-26,2015-11-14,LOW,LOW,,PASS,0,Q1,Q1,58.0
AUDUSD,2022-01-08,2188,2022-01-08 06:54:00,2022-01-09,0.71677,0.71876,0.71523,0.71812,415,0.0046899999999999884,0.0046899999999999884,0.08204374704070237,0.0820437470407024,2021-03-20,2022-01-07,LOW,HIGH,2022-01-10 10:00:00,PASS,2,Q1,Q4,380.0
EURAUD,2015-11-14,271,2015-11-14 06:59:00,2015-11-15,1.50826,1.51207,1.50413,1.50968,420,0.01419349999999998,0.01419349999999998,0.09764405428595772,0.0976440542859576,2015-01-24,2015-11-13,LOW,INSUFFICIENT_VOL_HISTORY,2015-11-16 09:59:00,PASS,106,Q2,INSUFFICIENT_VOL_HISTORY,
