Period,Method,Scope,ScopeType,StrategyNo,Strategy,Group,Aggregation,Eligible,EligibleStrategies,EligibleIDs,PrespecifiedSubgroup,Support,Quintile,Trades,TotalR,AvgR,PF,WinRate,AvgWinR,AvgLossR,LOW_SAMPLE
FULL,primary,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,4785.0,213.803003593,0.044681923425914316,1.2407188506161975,53.37513061650993,0.43147554771730623,-0.39954365509536666,False
FULL,primary,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,2626.0,205.55160732299998,0.07827555495925362,1.4117406570404292,55.25514089870526,0.4857184871950379,-0.42852010094163095,False
FULL,primary,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,2510.0,240.013109951,0.09562275296852589,1.4524814769883607,55.69721115537849,0.5511091100979971,-0.47830245803967547,False
FULL,primary,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,2195.0,227.080519965,0.10345353984738041,1.4541216766113014,55.170842824601365,0.6004325846589595,-0.5102483061806122,False
FULL,primary,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q5,2966.0,425.901107485,0.1435944394757249,1.5691817834986252,55.12474713418746,0.7181468800134557,-0.5630316338126411,False
FULL,primary,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.0464476895463019,,,,,
FULL,primary,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.0835279506639755,,,,,
FULL,primary,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.09645023842722827,,,,,
FULL,primary,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.0995278494533063,,,,,
FULL,primary,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q5,,,0.14269069265467482,,,,,
FULL,robustness,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,4099.0,189.831972786,0.04631177672261527,1.2398830768507358,52.76896804098561,0.4536218478049006,-0.41109199169662336,False
FULL,robustness,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,2919.0,225.004107146,0.07708259922781774,1.4099605358759688,56.149366221308675,0.4721460895210494,-0.43012800437225707,False
FULL,robustness,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,2660.0,251.644170568,0.09460307164210525,1.453749618761794,55.82706766917293,0.5429174008491583,-0.4740069826435898,False
FULL,robustness,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,2386.0,257.916736567,0.10809586612196144,1.4936565255100431,54.10729253981559,0.6044761095546087,-0.4788835205022915,False
FULL,robustness,Portfolio,Group,,,Portfolio,trade_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q5,3009.0,386.535839771,0.12845990022299766,1.5172378227360837,55.30076437354603,0.6813963953419471,-0.5568612236050671,False
FULL,robustness,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q1,,,0.05277779156807266,,,,,
FULL,robustness,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q2,,,0.0761470567097417,,,,,
FULL,robustness,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q3,,,0.09887223500197759,,,,,
FULL,robustness,Portfolio,Group,,,Portfolio,strategy_equal_weighted,True,25,1|2|3|4|5|6|7|8|9|10|11|12|13|17|18|19|20|21|22|23|24|25|26|27|28,False,ORDERED_POSITIVE_SUPPORTED,Q4,,,0.09512716444863883,,,,,
