Method,Candidate,Period,Trades,StartCapital,FinalCapital,NetProfitJPY,ReturnPct,MaxDDJPY,MaxDDPct,WorstDayPct,WorstWeekPct,MoneyRoMD,MoneyPF,SkippedTrades,MeanNominalRiskPct,MeanExecutedRiskPct,MeanNominalRiskDeltaVsR0,FinalCapitalDeltaVsR0
primary,R0_FIXED_090,Historical,9756,500000,328319119.1445947339136640678278815594885,327819119.1445947339136640678278815594885,65563.82382891894678273281356557631189770,22653381.5725619719818022271130248856763,22.48912162462093580012084622881394805188,-10.79999999999999999999999999999999999995,-13.01025214785214785214785214785214785214,14.47108980593223668923181649511554887233,1.316184576184125558245818926488523216772,0,0.90,0.90,0.00,0E-31
primary,R0_FIXED_090,RecentA,2767,500000,7939790.172490333287908664771067839754932,7439790.172490333287908664771067839754932,1487.958034498066657581732954213567950986,939536.800445310913492910873026241222416,19.03113534427170164287651367273534296207,-9.792000000000000000000000000000000000028,-11.54196148851148851148851148851148851152,7.918572395423049507952300687836740847669,1.491020640197342787568324497623536071591,0,0.90,0.90,0.00,0E-33
primary,R0_FIXED_090,RecentB,2780,500000,5217243.625448253847286268146778461870236,4717243.625448253847286268146778461870236,943.4487250896507694572536293556923740472,431274.495142928098273343508720341597065,14.49107143461417286724016738174732401568,-3.948032967032967032967032967032967032964,-6.372322106840527893159472106840527893153,10.93791466589026671984036263248271059549,1.470756875822242847708301907929414032708,0,0.90,0.90,0.00,0E-33
primary,R0_FIXED_090,Monitor2026,995,500000,580959.1371718445531092167790562583437473,80959.1371718445531092167790562583437473,16.19182743436891062184335581125166874946,103127.0485675544328601624115252759967353,15.97977972087418962561467525873085579403,-4.216980894887358599661770074712200985674,-4.857343356643356643356643356643356643365,0.7850427050553224976490693692260760264322,1.076177295231572469677838274662737892074,0,0.90,0.90,0.00,0E-34
primary,R1_MILD,Historical,9756,500000,355439194.3096154414337035566572556308084,354939194.3096154414337035566572556308084,70987.83886192308828674071133145112616168,27775138.9459529584475745777577259777835,18.16991021757330363585578080751133609389,-13.20000000000000000000000000000000000001,-13.01025214785214785214785214785214785214,12.77902497626686711902616289839645342196,1.316316843756316870235177685207902791132,0,0.8669229192291922919229192291922919229192,0.8669229192291922919229192291922919229192,-0.0330770807708077080770807708077080770808,27120075.1650207075200394888293740713199
primary,R1_MILD,RecentA,2767,500000,9370807.128406958555967907920292771200584,8870807.128406958555967907920292771200584,1774.161425681391711193581584058554240117,956656.007581548195227461769042713547180,16.40540768428628189139534710925970762948,-8.316000000000000000000000000000000000002,-9.561654101454101454101454101454101454100,9.272724007485819973084821303236514357574,1.539326152489666105005448500996825038117,0,0.9102638236357065413805565594506685941453,0.9102638236357065413805565594506685941453,0.0102638236357065413805565594506685941453,1431016.955916625268059243149224931445652
primary,R1_MILD,RecentB,2780,500000,5799253.466943957325058595434039424737900,5299253.466943957325058595434039424737900,1059.850693388791465011719086807884947580,507948.914697550699643103660446784457601,14.61570620372995230257842691402827800471,-3.701954554496626503513396401041022009542,-6.459622106840527893159472106840527893162,10.43265043710016616656737907165470644290,1.487186880610744566358150647346745150588,0,0.8746762589928057553956834532374100719424,0.8746762589928057553956834532374100719424,-0.0253237410071942446043165467625899280576,582009.841495703477772327287260962867664
primary,R1_MILD,Monitor2026,995,500000,612187.3300142063108825857389686967612456,112187.3300142063108825857389686967612456,22.43746600284126217651714779373935224912,85172.4880133437894500186995720744155291,13.09531762620307184454392981848075084022,-4.130375394991431253052897451214931592580,-4.158672072372072372072372072372072372068,1.317178030500061998604556471120759009399,1.108018766060737401942169071350515216214,0,0.8575879396984924623115577889447236180905,0.8575879396984924623115577889447236180905,-0.0424120603015075376884422110552763819095,31228.1928423617577733689599124384174983
primary,R2_MODERATE,Historical,9756,500000,378734072.4851963538136057316984095280361,378234072.4851963538136057316984095280361,75646.81449703927076272114633968190560722,34206073.9707458208469522987825357649085,20.17039141414141414141414141414141414157,-15.60000000000000000000000000000000000001,-13.01025214785214785214785214785214785214,11.05751197312719343536585423091616060094,1.314552559277572383025850383102110361210,0,0.8338458384583845838458384583845838458385,0.8338458384583845838458384583845838458385,-0.0661541615416154161541615416154161541615,50414953.3406016198999416638705279685476
primary,R2_MODERATE,RecentA,2767,500000,10965995.62379209691204957209733276261649,10465995.62379209691204957209733276261649,2093.199124758419382409914419466552523298,946002.964439857546342772628228339614805,14.79834391008243259631087923084648948675,-8.108638888888888888888888888888888888873,-9.396765945165945165945165945165945165946,11.06338565227347770212348414719927298832,1.595542715955135671052601693267587249171,0,0.9205276472714130827611131189013371882906,0.9205276472714130827611131189013371882906,0.0205276472714130827611131189013371882906,3026205.451301763624140907326264922861558
primary,R2_MODERATE,RecentB,2780,500000,6402330.620330525247349446255356119569352,5902330.620330525247349446255356119569352,1180.466124066105049469889251071223913870,594743.499454384791892058599940779983620,14.73563652198863597357450797428864109607,-4.060259007900513906661760363189775510201,-7.247970274170274170274170274170274170269,9.924161635638386570807638348862227581923,1.505197369664474021572643611596071587733,0,0.8493525179856115107913669064748201438849,0.8493525179856115107913669064748201438849,-0.0506474820143884892086330935251798561151,1185086.994882271400063178108577657699116
primary,R2_MODERATE,Monitor2026,995,500000,644222.5245193474805409833763268436882356,144222.5245193474805409833763268436882356,28.84450490386949610819667526536873764712,74572.6601530122222026048423936611468575,11.60906661459172625681883544074609453501,-4.243698941369809977002846248887438667553,-4.013027976993766467450677976993766467450,1.933986587355525404346341977176898938242,1.142706831575917880664202638664602384338,0,0.8151758793969849246231155778894472361809,0.8151758793969849246231155778894472361809,-0.0848241206030150753768844221105527638191,63263.3873475029274317665972705853444883
primary,F1_Q1_OFF,Historical,7024,500000,100247175.7696578440402732840044276344962,99747175.7696578440402732840044276344962,19949.43515393156880805465680088552689924,6558799.00199669030247133604135799901409,17.93801426426244019486357672011884865228,-10.79999999999999999999999999999999999998,-13.01025214785214785214785214785214785214,15.20814645170432658503353985931134201298,1.338570850572659894298752182961325891972,2732,0.6479704797047970479704797047970479704797,0.90,-0.2520295202952029520295202952029520295203,-228071943.3749368898733907838234539249923
