Method,Candidate,Period,Trades,SkippedTrades,MeanNominalRiskPct,MeanExecutedRiskPct,MeanNominalRiskDeltaVsR0
primary,R0_FIXED_090,ALL,16298,0,0.90,0.90,0.00
primary,R0_FIXED_090,Historical,9756,0,0.90,0.90,0.00
primary,R0_FIXED_090,RecentA,2767,0,0.90,0.90,0.00
primary,R0_FIXED_090,RecentB,2780,0,0.90,0.90,0.00
primary,R0_FIXED_090,Monitor2026,995,0,0.90,0.90,0.00
primary,R1_MILD,ALL,16298,0,0.8750337464719597496625352804025033746472,0.8750337464719597496625352804025033746472,-0.0249662535280402503374647195974966253528
primary,R1_MILD,Historical,9756,0,0.8669229192291922919229192291922919229192,0.8669229192291922919229192291922919229192,-0.0330770807708077080770807708077080770808
primary,R1_MILD,RecentA,2767,0,0.9102638236357065413805565594506685941453,0.9102638236357065413805565594506685941453,0.0102638236357065413805565594506685941453
primary,R1_MILD,RecentB,2780,0,0.8746762589928057553956834532374100719424,0.8746762589928057553956834532374100719424,-0.0253237410071942446043165467625899280576
primary,R1_MILD,Monitor2026,995,0,0.8575879396984924623115577889447236180905,0.8575879396984924623115577889447236180905,-0.0424120603015075376884422110552763819095
primary,R2_MODERATE,ALL,16298,0,0.8500674929439194993250705608050067492944,0.8500674929439194993250705608050067492944,-0.0499325070560805006749294391949932507056
primary,R2_MODERATE,Historical,9756,0,0.8338458384583845838458384583845838458385,0.8338458384583845838458384583845838458385,-0.0661541615416154161541615416154161541615
primary,R2_MODERATE,RecentA,2767,0,0.9205276472714130827611131189013371882906,0.9205276472714130827611131189013371882906,0.0205276472714130827611131189013371882906
primary,R2_MODERATE,RecentB,2780,0,0.8493525179856115107913669064748201438849,0.8493525179856115107913669064748201438849,-0.0506474820143884892086330935251798561151
primary,R2_MODERATE,Monitor2026,995,0,0.8151758793969849246231155778894472361809,0.8151758793969849246231155778894472361809,-0.0848241206030150753768844221105527638191
primary,F1_Q1_OFF,ALL,11513,4785,0.6357651245551601423487544483985765124555,0.90,-0.2642348754448398576512455516014234875445
primary,F1_Q1_OFF,Historical,7024,2732,0.6479704797047970479704797047970479704797,0.90,-0.2520295202952029520295202952029520295203
primary,F1_Q1_OFF,RecentA,2083,684,0.6775207806288398988073726057101554029635,0.90,-0.2224792193711601011926273942898445970365
primary,F1_Q1_OFF,RecentB,1815,965,0.5875899280575539568345323741007194244604,0.90,-0.3124100719424460431654676258992805755396
primary,F1_Q1_OFF,Monitor2026,591,404,0.5345728643216080402010050251256281407035,0.90,-0.3654271356783919597989949748743718592965
robustness,R0_FIXED_090,ALL,16298,0,0.90,0.90,0.00
robustness,R0_FIXED_090,Historical,9756,0,0.90,0.90,0.00
robustness,R0_FIXED_090,RecentA,2767,0,0.90,0.90,0.00
robustness,R0_FIXED_090,RecentB,2780,0,0.90,0.90,0.00
robustness,R0_FIXED_090,Monitor2026,995,0,0.90,0.90,0.00
robustness,R1_MILD,ALL,16298,0,0.8833537857405816664621425941833353785741,0.8833537857405816664621425941833353785741,-0.0166462142594183335378574058166646214259
robustness,R1_MILD,Historical,9756,0,0.8810168101681016810168101681016810168102,0.8810168101681016810168101681016810168102,-0.0189831898318983189831898318983189831898
robustness,R1_MILD,RecentA,2767,0,0.9058185760751716660643295988435128297795,0.9058185760751716660643295988435128297795,0.0058185760751716660643295988435128297795
robustness,R1_MILD,RecentB,2780,0,0.8742086330935251798561151079136690647482,0.8742086330935251798561151079136690647482,-0.0257913669064748201438848920863309352518
robustness,R1_MILD,Monitor2026,995,0,0.8693467336683417085427135678391959798995,0.8693467336683417085427135678391959798995,-0.0306532663316582914572864321608040201005
robustness,R2_MODERATE,ALL,16298,0,0.8667075714811633329242851883666707571481,0.8667075714811633329242851883666707571481,-0.0332924285188366670757148116333292428519
robustness,R2_MODERATE,Historical,9756,0,0.8620336203362033620336203362033620336203,0.8620336203362033620336203362033620336203,-0.0379663796637966379663796637966379663797
robustness,R2_MODERATE,RecentA,2767,0,0.9116371521503433321286591976870256595591,0.9116371521503433321286591976870256595591,0.0116371521503433321286591976870256595591
robustness,R2_MODERATE,RecentB,2780,0,0.8484172661870503597122302158273381294964,0.8484172661870503597122302158273381294964,-0.0515827338129496402877697841726618705036
robustness,R2_MODERATE,Monitor2026,995,0,0.8386934673366834170854271356783919597990,0.8386934673366834170854271356783919597990,-0.0613065326633165829145728643216080402010
robustness,F1_Q1_OFF,ALL,12199,4099,0.6736470732605227635292673947723647073261,0.90,-0.2263529267394772364707326052276352926739
robustness,F1_Q1_OFF,Historical,7428,2328,0.6852398523985239852398523985239852398524,0.90,-0.2147601476014760147601476014760147601476
robustness,F1_Q1_OFF,RecentA,2135,632,0.6944344054933140585471629924105529454283,0.90,-0.2055655945066859414528370075894470545717
robustness,F1_Q1_OFF,RecentB,1929,851,0.6244964028776978417266187050359712230216,0.90,-0.2755035971223021582733812949640287769784
robustness,F1_Q1_OFF,Monitor2026,707,288,0.6394974874371859296482412060301507537688,0.90,-0.2605025125628140703517587939698492462312
