Method,Candidate,Period,Check,Status,Trades
primary,R0_FIXED_090,ALL,Independent all trades and metrics,PASS,16298
primary,R0_FIXED_090,Historical,Independent all trades and metrics,PASS,9756
primary,R0_FIXED_090,RecentA,Independent all trades and metrics,PASS,2767
primary,R0_FIXED_090,RecentB,Independent all trades and metrics,PASS,2780
primary,R0_FIXED_090,Monitor2026,Independent all trades and metrics,PASS,995
primary,R1_MILD,ALL,Independent all trades and metrics,PASS,16298
primary,R1_MILD,Historical,Independent all trades and metrics,PASS,9756
primary,R1_MILD,RecentA,Independent all trades and metrics,PASS,2767
primary,R1_MILD,RecentB,Independent all trades and metrics,PASS,2780
primary,R1_MILD,Monitor2026,Independent all trades and metrics,PASS,995
primary,R2_MODERATE,ALL,Independent all trades and metrics,PASS,16298
primary,R2_MODERATE,Historical,Independent all trades and metrics,PASS,9756
primary,R2_MODERATE,RecentA,Independent all trades and metrics,PASS,2767
primary,R2_MODERATE,RecentB,Independent all trades and metrics,PASS,2780
primary,R2_MODERATE,Monitor2026,Independent all trades and metrics,PASS,995
primary,F1_Q1_OFF,ALL,Independent all trades and metrics,PASS,11513
primary,F1_Q1_OFF,Historical,Independent all trades and metrics,PASS,7024
primary,F1_Q1_OFF,RecentA,Independent all trades and metrics,PASS,2083
primary,F1_Q1_OFF,RecentB,Independent all trades and metrics,PASS,1815
primary,F1_Q1_OFF,Monitor2026,Independent all trades and metrics,PASS,591
robustness,R0_FIXED_090,ALL,Independent all trades and metrics,PASS,16298
robustness,R0_FIXED_090,Historical,Independent all trades and metrics,PASS,9756
robustness,R0_FIXED_090,RecentA,Independent all trades and metrics,PASS,2767
robustness,R0_FIXED_090,RecentB,Independent all trades and metrics,PASS,2780
robustness,R0_FIXED_090,Monitor2026,Independent all trades and metrics,PASS,995
robustness,R1_MILD,ALL,Independent all trades and metrics,PASS,16298
robustness,R1_MILD,Historical,Independent all trades and metrics,PASS,9756
robustness,R1_MILD,RecentA,Independent all trades and metrics,PASS,2767
robustness,R1_MILD,RecentB,Independent all trades and metrics,PASS,2780
robustness,R1_MILD,Monitor2026,Independent all trades and metrics,PASS,995
robustness,R2_MODERATE,ALL,Independent all trades and metrics,PASS,16298
robustness,R2_MODERATE,Historical,Independent all trades and metrics,PASS,9756
robustness,R2_MODERATE,RecentA,Independent all trades and metrics,PASS,2767
robustness,R2_MODERATE,RecentB,Independent all trades and metrics,PASS,2780
robustness,R2_MODERATE,Monitor2026,Independent all trades and metrics,PASS,995
robustness,F1_Q1_OFF,ALL,Independent all trades and metrics,PASS,12199
robustness,F1_Q1_OFF,Historical,Independent all trades and metrics,PASS,7428
robustness,F1_Q1_OFF,RecentA,Independent all trades and metrics,PASS,2135
robustness,F1_Q1_OFF,RecentB,Independent all trades and metrics,PASS,1929
robustness,F1_Q1_OFF,Monitor2026,Independent all trades and metrics,PASS,707
