Symbol,Period,ExpectedOffset,NewTimestampMinusOldMinutes,Compared,IntrabarReturnCorrelation,MatchesExpectedPattern
AUDJPY,autumn_mismatch,60,60,7126,0.9487694674472601,True
AUDJPY,spring_mismatch,60,60,21406,0.9633371640500507,True
AUDJPY,summer,0,0,27165,0.9801389156817566,True
AUDJPY,winter,0,0,21578,0.9480661654458215,True
AUDJPY,winter_again,0,0,21581,0.9586574981311756,True
AUDUSD,autumn_mismatch,60,60,7120,0.9752633939173747,True
AUDUSD,spring_mismatch,60,60,21352,0.9720119210359953,True
AUDUSD,summer,0,0,27220,0.9817996668228997,True
AUDUSD,winter,0,0,21562,0.9368243865181526,True
AUDUSD,winter_again,0,0,21554,0.9716143988425315,True
EURAUD,autumn_mismatch,60,60,7132,0.9420275532585123,True
EURAUD,spring_mismatch,60,60,21386,0.9116349707943957,True
EURAUD,summer,0,0,27200,0.9790087775093474,True
EURAUD,winter,0,0,21556,0.886103408506332,True
EURAUD,winter_again,0,0,21580,0.9305795244077054,True
EURJPY,autumn_mismatch,60,60,7128,0.9679350419918825,True
EURJPY,spring_mismatch,60,60,21410,0.9796960551182812,True
EURJPY,summer,0,0,27237,0.9766967509848239,True
EURJPY,winter,0,0,21579,0.966810390810129,True
EURJPY,winter_again,0,0,21577,0.9612839574423511,True
GBPAUD,autumn_mismatch,60,60,7127,0.9050678739171836,True
GBPAUD,spring_mismatch,60,60,21360,0.9186530401422808,True
GBPAUD,summer,0,0,27016,0.9688442947183099,True
GBPAUD,winter,0,0,21527,0.8632809126122487,True
GBPAUD,winter_again,0,0,21551,0.9193810305035941,True
GBPJPY,autumn_mismatch,60,60,7129,0.9423436186493312,True
GBPJPY,spring_mismatch,60,60,21412,0.9663082723536155,True
GBPJPY,summer,0,0,27105,0.9697701463487358,True
GBPJPY,winter,0,0,21571,0.9536665200062077,True
GBPJPY,winter_again,0,0,21568,0.9357741043726859,True
USDJPY,autumn_mismatch,60,60,7122,0.975608577586418,True
USDJPY,spring_mismatch,60,60,21398,0.9552588027962803,True
USDJPY,summer,0,0,27271,0.9837130747333516,True
USDJPY,winter,0,0,21567,0.933418696935459,True
USDJPY,winter_again,0,0,21568,0.9590246784324035,True
